Question	question	Question
ve	ve	ve
seen	seen	seen
many	mani	many
strange	strang	strange
things	thing	thing
happen	happen	happen
in	in	in
Washington	washington	Washington
in	in	in
connection	connect	connection
with	with	with
preparations	prepar	preparation
for	for	for
visits	visit	visit
or	or	or
talks	talk	talk
by	by	by
our	our	our
foreign	foreign	foreign
ministers	minist	minister
.	.	.
The	the	The
US	us	US
Department	depart	Department
of	of	of
State	state	State
has	has	ha
more	more	more
than	than	than
once	onc	once
asked	ask	asked
us	us	u
not	not	not
to	to	to
announce	announc	announce
planned	plan	planned
visits	visit	visit
until	until	until
the	the	the
last	last	last
minute	minut	minute
.	.	.
This	this	This
is	is	is
not	not	not
our	our	our
tradition	tradit	tradition
.	.	.
We	we	We
have	have	have
been	been	been
operating	oper	operating
openly	open	openly
for	for	for
years	year	year
,	,	,
but	but	but
we	we	we
have	have	have
respected	respect	respected
the	the	the
requests	request	request
we	we	we
have	have	have
received	receiv	received
from	from	from
our	our	our
colleagues	colleagu	colleague
in	in	in
Washington	washington	Washington
in	in	in
the	the	the
past	past	past
few	few	few
years	year	year
.	.	.
But	but	But
what	what	what
happened	happen	happened
after	after	after
that	that	that
?	?	?
First	first	First
,	,	,
the	the	the
US	us	US
Department	depart	Department
of	of	of
State	state	State
asked	ask	asked
us	us	u
to	to	to
keep	keep	keep
the	the	the
planned	plan	planned
visit	visit	visit
quiet	quiet	quiet
and	and	and
not	not	not
to	to	to
announce	announc	announce
it	it	it
until	until	until
the	the	the
last	last	last
possible	possibl	possible
minute	minut	minute
,	,	,
until	until	until
we	we	we
coordinated	coordin	coordinated
the	the	the
date	date	date
.	.	.
We	we	We
did	did	did
as	as	a
they	they	they
asked	ask	asked
.	.	.
But	but	But
a	a	a
day	day	day
or	or	or
two	two	two
later	later	later
the	the	the
information	inform	information
was	was	wa
leaked	leak	leaked
by	by	by
the	the	the
US	us	US
State	state	State
Department	depart	Department
and	and	and
sometimes	sometim	sometimes
by	by	by
the	the	the
US	us	US
administration	administr	administration
.	.	.
Frankly	frank	Frankly
,	,	,
this	this	this
put	put	put
Russia	russia	Russia
and	and	and
the	the	the
media	media	medium
in	in	in
a	a	a
strange	strang	strange
situation	situat	situation
,	,	,
because	becaus	because
they	they	they
didn	didn	didn
t	t	t
know	know	know
who	who	who
to	to	to
believe	believ	believe
the	the	the
official	offici	official
agencies	agenc	agency
or	or	or
the	the	the
many	mani	many
leaks	leak	leak
.	.	.
It	it	It
is	is	is
difficult	difficult	difficult
to	to	to
say	say	say
if	if	if
this	this	this
diplomatic	diplomat	diplomatic
communication	communic	communication
is	is	is
a	a	a
US	us	US
tradition	tradit	tradition
or	or	or
the	the	the
latest	latest	latest
technique	techniqu	technique
.	.	.
But	but	But
it	it	it
definitely	definit	definitely
doesn	doesn	doesn
t	t	t
correspond	correspond	correspond
to	to	to
our	our	our
traditions	tradit	tradition
.	.	.
We	we	We
believe	believ	believe
that	that	that
everything	everyth	everything
we	we	we
coordinate	coordin	coordinate
should	should	should
be	be	be
made	made	made
available	avail	available
to	to	to
the	the	the
media	media	medium
in	in	in
accordance	accord	accordance
with	with	with
diplomatic	diplomat	diplomatic
procedure	procedur	procedure
.	.	.
When	when	When
we	we	we
coordinate	coordin	coordinate
a	a	a
visit	visit	visit
and	and	and
the	the	the
date	date	date
for	for	for
announcing	announc	announcing
it	it	it
,	,	,
the	the	the
information	inform	information
should	should	should
be	be	be
made	made	made
public	public	public
calmly	calm	calmly
and	and	and
as	as	a
agreed	agre	agreed
.	.	.
This	this	This
is	is	is
what	what	what
we	we	we
do	do	do
in	in	in
relations	relat	relation
with	with	with
our	our	our
colleagues	colleagu	colleague
from	from	from
other	other	other
countries	countri	country
.	.	.
As	as	As
I	i	I
said	said	said
,	,	,
such	such	such
cases	case	case
in	in	in
our	our	our
relations	relat	relation
with	with	with
the	the	the
US	us	US
Department	depart	Department
of	of	of
State	state	State
have	have	have
become	becom	become
a	a	a
bad	bad	bad
tradition	tradit	tradition
over	over	over
the	the	the
past	past	past
few	few	few
years	year	year
.	.	.
So	so	So
,	,	,
I	i	I
can	can	can
say	say	say
in	in	in
response	respons	response
to	to	to
your	your	your
question	question	question
that	that	that
we	we	we
will	will	will
make	make	make
the	the	the
date	date	date
and	and	and
format	format	format
of	of	of
contacts	contact	contact
between	between	between
the	the	the
Russian	russian	Russian
and	and	and
US	us	US
foreign	foreign	foreign
ministers	minist	minister
public	public	public
after	after	after
we	we	we
coordinate	coordin	coordinate
them	them	them
.	.	.
We	we	We
won	won	won
t	t	t
keep	keep	keep
them	them	them
quiet	quiet	quiet
.	.	.
At	at	At
this	this	this
point	point	point
,	,	,
I	i	I
don	don	don
t	t	t
have	have	have
any	ani	any
information	inform	information
I	i	I
can	can	can
share	share	share
with	with	with
you	you	you
.	.	.
I	i	I
can	can	can
say	say	say
that	that	that
this	this	this
visit	visit	visit
and	and	and
such	such	such
contacts	contact	contact
are	are	are
possible	possibl	possible
in	in	in
principle	principl	principle
,	,	,
but	but	but
it	it	it
would	would	would
be	be	be
premature	prematur	premature
to	to	to
talk	talk	talk
about	about	about
timeframes	timefram	timeframes
.	.	.
Also	also	Also
,	,	,
I	i	I
would	would	would
like	like	like
to	to	to
say	say	say
that	that	that
if	if	if
the	the	the
practice	practic	practice
of	of	of
leaking	leak	leaking
information	inform	information
that	that	that
concerns	concern	concern
not	not	not
just	just	just
the	the	the
United	unit	United
States	state	States
but	but	but
also	also	also
Russia	russia	Russia
,	,	,
which	which	which
has	has	ha
become	becom	become
a	a	a
tradition	tradit	tradition
in	in	in
Washington	washington	Washington
in	in	in
the	the	the
past	past	past
few	few	few
years	year	year
,	,	,
continues	continu	continues
,	,	,
there	there	there
will	will	will
come	come	come
a	a	a
day	day	day
when	when	when
the	the	the
media	media	medium
will	will	will
publish	publish	publish
leaks	leak	leak
about	about	about
the	the	the
things	thing	thing
that	that	that
Washington	washington	Washington
asked	ask	asked
us	us	u
to	to	to
keep	keep	keep
secret	secret	secret
,	,	,
for	for	for
example	exampl	example
,	,	,
things	thing	thing
that	that	that
happened	happen	happened
during	dure	during
President	presid	President
Obama	obama	Obama
s	s	s
terms	term	term
in	in	in
office	offic	office
.	.	.
Believe	believ	Believe
me	me	me
,	,	,
this	this	this
could	could	could
be	be	be
very	veri	very
interesting	interest	interesting
information	inform	information
.	.	.
Our	our	Our
American	american	American
colleagues	colleagu	colleague
must	must	must
decide	decid	decide
if	if	if
they	they	they
respect	respect	respect
the	the	the
diplomatic	diplomat	diplomatic
procedure	procedur	procedure
,	,	,
if	if	if
they	they	they
keep	keep	keep
their	their	their
word	word	word
on	on	on
the	the	the
arrangements	arrang	arrangement
made	made	made
between	between	between
us	us	u
,	,	,
primarily	primarili	primarily
arrangements	arrang	arrangement
made	made	made
at	at	at
their	their	their
own	own	own
request	request	request
,	,	,
or	or	or
we	we	we
create	creat	create
a	a	a
few	few	few
very	veri	very
nice	nice	nice
surprises	surpris	surprise
for	for	for
each	each	each
other	other	other
.	.	.
Read	read	Read
more	more	more
Gateway	gateway	Gateway
Pundit	pundit	Pundit
