As	as	As
pointed	point	pointed
this	this	this
out	out	out
on	on	on
Saturday	saturday	Saturday
in	in	in
a	a	a
special	special	special
press	press	press
conference	confer	conference
.	.	.
Trump	trump	Trump
s	s	s
crowd	crowd	crowd
was	was	wa
huge	huge	huge
and	and	and
every	everi	every
bit	bit	bit
as	as	a
big	big	big
as	as	a
Obama	obama	Obama
s	s	s
crowd	crowd	crowd
in	in	in
2009	2009	2009
.	.	.
Also	also	Also
,	,	,
in	in	in
CNN	cnn	CNN
s	s	s
article	articl	article
they	they	they
say	say	say
that	that	that
Obama	obama	Obama
had	had	had
1	1	1
.	.	.
8	8	8
million	million	million
people	peopl	people
in	in	in
2009	2009	2009
.	.	.
This	this	This
is	is	is
now	now	now
refuted	refut	refuted
and	and	and
is	is	is
more	more	more
likely	like	likely
closer	closer	closer
to	to	to
800	800	800
,	,	,
000	000	000
.	.	.
The	the	The
mainstream	mainstream	mainstream
media	media	medium
is	is	is
trying	tri	trying
to	to	to
create	creat	create
a	a	a
narrative	narrat	narrative
that	that	that
Donald	donald	Donald
Trump	trump	Trump
s	s	s
inauguration	inaugur	inauguration
was	was	wa
a	a	a
failure	failur	failure
by	by	by
comparing	compar	comparing
it	it	it
to	to	to
Obama	obama	Obama
s	s	s
first	first	first
inauguration	inaugur	inauguration
and	and	and
saying	say	saying
that	that	that
twice	twice	twice
as	as	a
many	mani	many
people	peopl	people
showed	show	showed
up	up	up
to	to	to
his	his	his
inauguration	inaugur	inauguration
that	that	that
attended	attend	attended
Trump	trump	Trump
s	s	s
inauguration	inaugur	inauguration
.	.	.
In	in	In
order	order	order
to	to	to
better	better	better
compare	compar	compare
both	both	both
inaugurations	inaugur	inauguration
,	,	,
let	let	let
s	s	s
take	take	take
a	a	a
look	look	look
at	at	at
the	the	the
facts	fact	fact
and	and	and
let	let	let
s	s	s
also	also	also
look	look	look
at	at	at
the	the	the
events	event	event
surrounding	surround	surrounding
both	both	both
inaugurations	inaugur	inauguration
.	.	.
Crowd	crowd	Crowd
Counting	count	Counting
Guru	guru	Guru
Stephen	stephen	Stephen
Doig	doig	Doig
has	has	ha
come	come	come
forward	forward	forward
to	to	to
offer	offer	offer
his	his	his
insights	insight	insight
into	into	into
the	the	the
crowd	crowd	crowd
sizes	size	size
at	at	at
both	both	both
inaugurations	inaugur	inauguration
.	.	.
From	from	From
Fast	fast	Fast
Company	compani	Company
Satellites	satellit	Satellites
will	will	will
by	by	by
flying	fli	flying
over	over	over
Trump	trump	Trump
s	s	s
inauguration	inaugur	inauguration
,	,	,
as	as	a
they	they	they
did	did	did
in	in	in
2009	2009	2009
.	.	.
Journalism	journal	Journalism
professor	professor	professor
Stephen	stephen	Stephen
Doig	doig	Doig
,	,	,
one	one	one
of	of	of
the	the	the
gurus	gurus	guru
of	of	of
crowd	crowd	crowd
counting	count	counting
,	,	,
used	use	used
an	an	an
image	imag	image
from	from	from
satellite	satellit	satellite
company	compani	company
GeoEye	geoey	GeoEye
to	to	to
estimate	estim	estimate
a	a	a
crowd	crowd	crowd
of	of	of
800	800	800
,	,	,
000	000	000
people	peopl	people
for	for	for
Obama	obama	Obama
s	s	s
first	first	first
Inauguration	inaugur	Inauguration
.	.	.
Official	offici	Official
estimates	estim	estimate
for	for	for
the	the	the
event	event	event
,	,	,
though	though	though
,	,	,
were	were	were
over	over	over
twice	twice	twice
as	as	a
high	high	high
,	,	,
at	at	at
1	1	1
.	.	.
8	8	8
million	million	million
,	,	,
which	which	which
may	may	may
actually	actual	actually
be	be	be
impossible	imposs	impossible
,	,	,
say	say	say
researchers	research	researcher
.	.	.
DDIS	ddis	DDIS
modeled	model	modeled
how	how	how
big	big	big
a	a	a
very	veri	very
tightly	tight	tightly
packed	pack	packed
crowd	crowd	crowd
of	of	of
a	a	a
million	million	million
people	peopl	people
would	would	would
stretch	stretch	stretch
back	back	back
from	from	from
the	the	the
Capitol	capitol	Capitol
building	build	building
along	along	along
the	the	the
Mall	mall	Mall
It	it	It
would	would	would
extend	extend	extend
across	across	across
the	the	the
Potomac	potomac	Potomac
River	river	River
into	into	into
Virginia	virginia	Virginia
.	.	.
Attendance	attend	Attendance
at	at	at
Trump	trump	Trump
s	s	s
inauguration	inaugur	inauguration
is	is	is
forecast	forecast	forecast
to	to	to
be	be	be
up	up	up
to	to	to
800	800	800
,	,	,
000	000	000
,	,	,
according	accord	according
to	to	to
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
Armed	arm	Armed
Forces	forc	Forces
Joint	joint	Joint
Task	task	Task
Force	forc	Force
,	,	,
which	which	which
supports	support	support
the	the	the
ceremony	ceremoni	ceremony
.	.	.
When	when	When
final	final	final
numbers	number	number
come	come	come
in	in	in
,	,	,
the	the	the
800	800	800
,	,	,
000	000	000
estimated	estim	estimated
for	for	for
Trump	trump	Trump
may	may	may
also	also	also
prove	prove	prove
wildly	wild	wildly
optimistic	optimist	optimistic
.	.	.
Translation	translat	Translation
?	?	?
The	the	The
claims	claim	claim
that	that	that
Obama	obama	Obama
s	s	s
first	first	first
inauguration	inaugur	inauguration
drew	drew	drew
a	a	a
crowd	crowd	crowd
of	of	of
1	1	1
.	.	.
8	8	8
million	million	million
people	peopl	people
is	is	is
fake	fake	fake
news	news	news
at	at	at
best	best	best
.	.	.
It	it	It
also	also	also
means	mean	mean
that	that	that
the	the	the
difference	differ	difference
in	in	in
crowd	crowd	crowd
sizes	size	size
is	is	is
significantly	signific	significantly
smaller	smaller	smaller
than	than	than
what	what	what
the	the	the
mainstream	mainstream	mainstream
media	media	medium
is	is	is
reporting	report	reporting
.	.	.
According	accord	According
to	to	to
the	the	the
mainstream	mainstream	mainstream
media	media	medium
Obama	obama	Obama
had	had	had
over	over	over
a	a	a
million	million	million
more	more	more
people	peopl	people
attend	attend	attend
his	his	his
inauguration	inaugur	inauguration
than	than	than
attended	attend	attended
Trump	trump	Trump
s	s	s
inauguration	inaugur	inauguration
.	.	.
While	while	While
Obama	obama	Obama
s	s	s
crowd	crowd	crowd
was	was	wa
bigger	bigger	bigger
,	,	,
the	the	the
reality	realiti	reality
is	is	is
it	it	it
was	was	wa
only	onli	only
bigger	bigger	bigger
by	by	by
a	a	a
few	few	few
hundred	hundr	hundred
thousand	thousand	thousand
people	peopl	people
,	,	,
it	it	it
wasn	wasn	wasn
t	t	t
bigger	bigger	bigger
by	by	by
over	over	over
a	a	a
million	million	million
people	peopl	people
.	.	.
Comparing	compar	Comparing
Apples	appl	Apples
To	to	To
Oranges	orang	Oranges
There	there	There
are	are	are
two	two	two
very	veri	very
important	import	important
things	thing	thing
to	to	to
remember	rememb	remember
when	when	when
comparing	compar	comparing
the	the	the
crowd	crowd	crowd
sizes	size	size
.	.	.
#1	#1	#1
The	the	The
Weather	weather	Weather
Was	was	Was
DifferentWhile	differentwhil	DifferentWhile
Barack	barack	Barack
Obama	obama	Obama
s	s	s
first	first	first
inauguration	inaugur	inauguration
was	was	wa
slightly	slight	slightly
colder	colder	colder
than	than	than
Donald	donald	Donald
Trump	trump	Trump
s	s	s
inauguration	inaugur	inauguration
by	by	by
roughly	rough	roughly
10	10	10
F	f	F
,	,	,
Obama	obama	Obama
s	s	s
inauguration	inaugur	inauguration
was	was	wa
bright	bright	bright
and	and	and
sunny	sunni	sunny
.	.	.
Trump	trump	Trump
s	s	s
inauguration	inaugur	inauguration
was	was	wa
anything	anyth	anything
but	but	but
bright	bright	bright
and	and	and
sunny	sunni	sunny
,	,	,
Trump	trump	Trump
s	s	s
inauguration	inaugur	inauguration
was	was	wa
cloudy	cloudi	cloudy
and	and	and
rainy	raini	rainy
.	.	.
Weather	weather	Weather
plays	play	play
a	a	a
factor	factor	factor
when	when	when
people	peopl	people
decide	decid	decide
to	to	to
attend	attend	attend
an	an	an
outdoor	outdoor	outdoor
event	event	event
.	.	.
#2	#2	#2
Violent	violent	Violent
Liberals	liber	Liberals
Attacked	attack	Attacked
At	at	At
Trump	trump	Trump
s	s	s
InaugurationThis	inaugurationthi	InaugurationThis
can	can	can
t	t	t
be	be	be
overstated	overst	overstated
.	.	.
When	when	When
Barack	barack	Barack
Obama	obama	Obama
held	held	held
his	his	his
first	first	first
inauguration	inaugur	inauguration
,	,	,
protesters	protest	protester
didn	didn	didn
t	t	t
burn	burn	burn
limo	limo	limo
s	s	s
,	,	,
break	break	break
windows	window	window
at	at	at
businesses	busi	business
,	,	,
hit	hit	hit
supporters	support	supporter
,	,	,
and	and	and
police	polic	police
didn	didn	didn
t	t	t
have	have	have
to	to	to
use	use	use
percussion	percuss	percussion
grenades	grenad	grenade
.	.	.
All	all	All
of	of	of
these	these	these
things	thing	thing
transpired	transpir	transpired
at	at	at
Trump	trump	Trump
s	s	s
Inauguration	inaugur	Inauguration
by	by	by
violent	violent	violent
and	and	and
hypocritical	hypocrit	hypocritical
liberals	liber	liberal
.	.	.
More	more	More
than	than	than
200	200	200
people	peopl	people
were	were	were
arrested	arrest	arrested
for	for	for
their	their	their
violent	violent	violent
acts	act	act
at	at	at
the	the	the
Trump	trump	Trump
Inauguration	inaugur	Inauguration
.	.	.
Watch	watch	Watch
here	here	here
as	as	a
a	a	a
young	young	young
female	femal	female
reporter	report	reporter
is	is	is
trapped	trap	trapped
in	in	in
a	a	a
doorway	doorway	doorway
by	by	by
anarchists	anarchist	anarchist
protesting	protest	protesting
Trump	trump	Trump
s	s	s
inauguration	inaugur	inauguration
.	.	.
This	this	This
is	is	is
a	a	a
perfect	perfect	perfect
example	exampl	example
of	of	of
why	whi	why
Trump	trump	Trump
supporters	support	supporter
were	were	were
afraid	afraid	afraid
to	to	to
go	go	go
to	to	to
DC	dc	DC
for	for	for
his	his	his
inauguration	inaugur	inauguration
A	a	A
simple	simpl	simple
google	googl	google
search	search	search
for	for	for
how	how	how
many	mani	many
people	peopl	people
arrested	arrest	arrested
at	at	at
Obama	obama	Obama
s	s	s
first	first	first
inauguration	inaugur	inauguration
yielded	yield	yielded
no	no	no
arrest	arrest	arrest
numbers	number	number
in	in	in
the	the	the
first	first	first
few	few	few
pages	page	page
.	.	.
Why	whi	Why
is	is	is
that	that	that
?	?	?
Because	becaus	Because
there	there	there
were	were	were
few	few	few
if	if	if
any	ani	any
at	at	at
all	all	all
.	.	.
Trump	trump	Trump
supporters	support	supporter
have	have	have
been	been	been
the	the	the
victims	victim	victim
of	of	of
violent	violent	violent
attacks	attack	attack
by	by	by
liberals	liber	liberal
around	around	around
the	the	the
country	countri	country
for	for	for
many	mani	many
months	month	month
,	,	,
people	peopl	people
were	were	were
calling	call	calling
for	for	for
Trump	trump	Trump
to	to	to
be	be	be
assassinated	assassin	assassinated
.	.	.
Without	without	Without
question	question	question
many	mani	many
people	peopl	people
were	were	were
seriously	serious	seriously
concerned	concern	concerned
for	for	for
their	their	their
safety	safeti	safety
with	with	with
these	these	these
liberals	liber	liberal
showing	show	showing
up	up	up
to	to	to
cause	caus	cause
violence	violenc	violence
.	.	.
The	the	The
entire	entir	entire
week	week	week
leading	lead	leading
up	up	up
to	to	to
the	the	the
inauguration	inaugur	inauguration
was	was	wa
filled	fill	filled
with	with	with
warnings	warn	warning
that	that	that
police	polic	police
were	were	were
expecting	expect	expecting
a	a	a
rowdy	rowdi	rowdy
crowd	crowd	crowd
of	of	of
protesters	protest	protester
.	.	.
It	it	It
is	is	is
easy	easi	easy
to	to	to
draw	draw	draw
the	the	the
conclusion	conclus	conclusion
that	that	that
many	mani	many
people	peopl	people
most	most	most
likely	like	likely
didn	didn	didn
t	t	t
attend	attend	attend
for	for	for
the	the	the
simple	simpl	simple
fact	fact	fact
they	they	they
were	were	were
concerned	concern	concerned
about	about	about
a	a	a
potential	potenti	potential
attack	attack	attack
taking	take	taking
place	place	place
.	.	.
GPIt	gpit	GPIt
s	s	s
pretty	pretti	pretty
clear	clear	clear
that	that	that
Trump	trump	Trump
had	had	had
at	at	at
least	least	least
as	as	a
many	mani	many
participants	particip	participant
at	at	at
his	his	his
inauguration	inaugur	inauguration
as	as	a
Obama	obama	Obama
did	did	did
in	in	in
2009	2009	2009
,	,	,
and	and	and
very	veri	very
possible	possibl	possible
that	that	that
Trump	trump	Trump
had	had	had
even	even	even
more	more	more
.	.	.
