Now	now	Now
soon	soon	soon
as	as	a
it	it	it
was	was	wa
realized	realiz	realized
,	,	,
but	but	but
Spicer	spicer	Spicer
pathetically	pathet	pathetically
latched	latch	latched
onto	onto	onto
that	that	that
one	one	one
incident	incid	incident
as	as	a
proof	proof	proof
of	of	of
fake	fake	fake
news	news	news
.	.	.
Spicer	spicer	Spicer
whined	whine	whined
On	on	On
Friday	friday	Friday
,	,	,
the	the	the
president	presid	president
was	was	wa
having	have	having
a	a	a
great	great	great
discussion	discuss	discussion
at	at	at
the	the	the
G7	g7	G7
and	and	and
someone	someon	someone
from	from	from
the	the	the
BBC	bbc	BBC
,	,	,
and	and	and
ultimately	ultim	ultimately
an	an	an
incoming	incom	incoming
reporter	report	reporter
for	for	for
the	the	the
New	new	New
York	york	York
Times	time	Times
retweeted	retweet	retweeted
that	that	that
the	the	the
president	presid	president
was	was	wa
being	be	being
rude	rude	rude
by	by	by
disrespecting	disrespect	disrespecting
the	the	the
Italian	italian	Italian
prime	prime	prime
minister	minist	minister
.	.	.
When	when	When
in	in	in
fact	fact	fact
,	,	,
you	you	you
all	all	all
in	in	in
all	all	all
of	of	of
the	the	the
meetings	meet	meeting
watched	watch	watched
the	the	the
president	presid	president
with	with	with
that	that	that
one	one	one
earpiece	earpiec	earpiece
that	that	that
s	s	s
been	been	been
used	use	used
by	by	by
all	all	all
the	the	the
other	other	other
presidents	presid	president
That	that	That
s	s	s
just	just	just
fake	fake	fake
!	!	!
Spicer	spicer	Spicer
s	s	s
example	exampl	example
was	was	wa
beyond	beyond	beyond
ridiculous	ridicul	ridiculous
,	,	,
and	and	and
reporters	report	reporter
not	not	not
only	onli	only
reminded	remind	reminded
him	him	him
that	that	that
the	the	the
inaccurate	inaccur	inaccurate
tweet	tweet	tweet
had	had	had
been	been	been
corrected	correct	corrected
,	,	,
but	but	but
that	that	that
it	it	it
hadn	hadn	hadn
t	t	t
gone	gone	gone
any	ani	any
further	further	further
to	to	to
major	major	major
newspapers	newspap	newspaper
.	.	.
But	but	But
Spicer	spicer	Spicer
was	was	wa
beyond	beyond	beyond
reasoning	reason	reasoning
with	with	with
.	.	.
He	he	He
fired	fire	fired
back	back	back
,	,	,
looking	look	looking
as	as	a
if	if	if
a	a	a
meltdown	meltdown	meltdown
was	was	wa
just	just	just
moments	moment	moment
away	away	away
I	i	I
was	was	wa
asked	ask	asked
to	to	to
give	give	give
an	an	an
example	exampl	example
,	,	,
and	and	and
I	i	I
did	did	did
it	it	it
.	.	.
And	and	And
when	when	when
another	anoth	another
reporter	report	reporter
said	said	said
the	the	the
BBC	bbc	BBC
reporter	report	reporter
s	s	s
tweet	tweet	tweet
didn	didn	didn
t	t	t
affect	affect	affect
how	how	how
Trump	trump	Trump
s	s	s
overseas	oversea	overseas
trip	trip	trip
was	was	wa
covered	cover	covered
,	,	,
Spicer	spicer	Spicer
s	s	s
reply	repli	reply
was	was	wa
nothing	noth	nothing
but	but	but
disrespectful	disrespect	disrespectful
and	and	and
dismissive	dismiss	dismissive
.	.	.
He	he	He
replied	repli	replied
sarcastically	sarcast	sarcastically
Well	well	Well
,	,	,
thank	thank	thank
you	you	you
,	,	,
I	i	I
appreciate	appreci	appreciate
it	it	it
,	,	,
you	you	you
get	get	get
to	to	to
decide	decid	decide
what	what	what
is	is	is
big	big	big
and	and	and
what	what	what
is	is	is
not	not	not
.	.	.
A	a	A
lot	lot	lot
of	of	of
things	thing	thing
have	have	have
been	been	been
pushed	push	pushed
out	out	out
based	base	based
on	on	on
unnamed	unnam	unnamed
unaccountable	unaccount	unaccountable
sources	sourc	source
that	that	that
is	is	is
very	veri	very
troubling	troubl	troubling
.	.	.
Clearly	clear	Clearly
,	,	,
Spicer	spicer	Spicer
forgot	forgot	forgot
that	that	that
his	his	his
own	own	own
boss	boss	bos
is	is	is
the	the	the
king	king	king
of	of	of
using	use	using
anonymous	anonym	anonymous
sources	sourc	source
and	and	and
perpetuating	perpetu	perpetuating
fake	fake	fake
news	news	news
.	.	.
You	you	You
can	can	can
watch	watch	watch
Spicer	spicer	Spicer
fight	fight	fight
with	with	with
reporters	report	reporter
below	below	below
Featured	featur	Featured
image	imag	image
via	via	via
Win	win	Win
McNamee	mcname	McNamee
Getty	getti	Getty
Images	imag	Images
