Canadian	canadian	Canadian
Once	onc	Once
again	again	again
,	,	,
Trump	trump	Trump
embarrasses	embarrass	embarrasses
himself	himself	himself
and	and	and
the	the	the
United	unit	United
States	state	States
.	.	.

Throwing	throw	Throwing
a	a	a
temper	temper	temper
tantrum	tantrum	tantrum
will	will	will
not	not	not
achieve	achiev	achieve
anything	anyth	anything
except	except	except
negative	negat	negative
results	result	result
.	.	.
Featured	featur	Featured
Image	imag	Image
Getty	getti	Getty
Images	imag	Images

