Make	make	Make
deported	deport	deported
less	less	le
than	than	than
1	1	1
percent	percent	percent
of	of	of
foreigners	foreign	foreigner
who	who	who
illegally	illeg	illegally
overstayed	overstay	overstayed
their	their	their
travel	travel	travel
visas	visa	visa
to	to	to
the	the	the
United	unit	United
States	state	States
.	.	.
Babin	babin	Babin
compared	compar	compared
the	the	the
situation	situat	situation
to	to	to
a	a	a
similar	similar	similar
controversy	controversi	controversy
over	over	over
the	the	the
administration	administr	administration
s	s	s
plan	plan	plan
to	to	to
bring	bring	bring
in	in	in
more	more	more
than	than	than
10	10	10
,	,	,
000	000	000
Syrian	syrian	Syrian
refugees	refuge	refugee
over	over	over
the	the	the
next	next	next
year	year	year
.	.	.

Congressional	congression	Congressional
critics	critic	critic
of	of	of
the	the	the
plan	plan	plan
have	have	have
warned	warn	warned
that	that	that
federal	feder	federal
authorities	author	authority
do	do	do
not	not	not
have	have	have
the	the	the
capability	capabl	capability
to	to	to
properly	proper	properly
vet	vet	vet
these	these	these
individuals	individu	individual
for	for	for
ties	tie	tie
to	to	to
terrorism	terror	terrorism
.	.	.

It	it	It
s	s	s
kind	kind	kind
of	of	of
like	like	like
our	our	our
refugee	refuge	refugee
situation	situat	situation
,	,	,
Babin	babin	Babin
said	said	said
.	.	.

It	it	It
s	s	s
very	veri	very
,	,	,
very	veri	very
difficult	difficult	difficult
to	to	to
get	get	get
information	inform	information
about	about	about
how	how	how
these	these	these
refugees	refuge	refugee
are	are	are
brought	brought	brought
into	into	into
our	our	our
country	countri	country
and	and	and
settled	settl	settled
around	around	around
into	into	into
localities	local	locality
without	without	without
the	the	the
knowledge	knowledg	knowledge
of	of	of
the	the	the
local	local	local
citizens	citizen	citizen
.	.	.

When	when	When
U	u	U
.	.	.
S	s	S
.	.	.
cities	citi	city
do	do	do
finally	final	finally
learn	learn	learn
about	about	about
these	these	these
refugees	refuge	refugee
,	,	,
they	they	they
have	have	have
really	realli	really
no	no	no
authority	author	authority
to	to	to
stop	stop	stop
it	it	it
or	or	or
even	even	even
slow	slow	slow
it	it	it
down	down	down
.	.	.

All	all	All
you	you	you
can	can	can
think	think	think
of	of	of
is	is	is
that	that	that
the	the	the
administration	administr	administration
really	realli	really
is	is	is
not	not	not
too	too	too
wild	wild	wild
about	about	about
the	the	the
American	american	American
citizens	citizen	citizen
finding	find	finding
out	out	out
about	about	about
how	how	how
these	these	these
things	thing	thing
operate	oper	operate
.	.	.

At	at	At
least	least	least
179	179	179
,	,	,
029	029	029
criminal	crimin	criminal
illegal	illeg	illegal
aliens	alien	alien
who	who	who
have	have	have
been	been	been
ordered	order	ordered
deported	deport	deported
from	from	from
the	the	the
United	unit	United
States	state	States
continue	continu	continue
to	to	to
roam	roam	roam
free	free	free
,	,	,
according	accord	according
to	to	to
the	the	the
Senate	senat	Senate
Judiciary	judiciari	Judiciary
Committee	committe	Committee
.	.	.
The	the	The
Free	free	Free
Beacon	beacon	Beacon
disclosed	disclos	disclosed
in	in	in
August	august	August
2015	2015	2015
that	that	that
the	the	the
administration	administr	administration
had	had	had
been	been	been
keeping	keep	keeping
the	the	the
release	releas	release
of	of	of
violent	violent	violent
illegal	illeg	illegal
immigrants	immigr	immigrant
a	a	a
secret	secret	secret
from	from	from
U	u	U
.	.	.
S	s	S
.	.	.
towns	town	town
.	.	.

