Kellyanne	kellyann	Kellyanne
Trump	trump	Trump
s	s	s
cabinet	cabinet	cabinet
.	.	.
Todd	todd	Todd
once	onc	once
again	again	again
cornered	corner	cornered
Conway	conway	Conway
and	and	and
demanded	demand	demanded
answers	answer	answer
.	.	.
First	first	First
,	,	,
he	he	he
wanted	want	wanted
to	to	to
know	know	know
how	how	how
she	she	she
would	would	would
react	react	react
if	if	if
Hillary	hillari	Hillary
Clinton	clinton	Clinton
had	had	had
won	won	won
and	and	and
appointed	appoint	appointed
three	three	three
Goldman	goldman	Goldman
Sachs	sach	Sachs
alums	alum	alum
.	.	.

She	she	She
claimed	claim	claimed
that	that	that
she	she	she
wouldn	wouldn	wouldn
t	t	t
have	have	have
whined	whine	whined
about	about	about
but	but	but
we	we	we
all	all	all
know	know	know
Trump	trump	Trump
and	and	and
all	all	all
of	of	of
his	his	his
supporters	support	supporter
would	would	would
be	be	be
throwing	throw	throwing
a	a	a
collective	collect	collective
temper	temper	temper
tantrum	tantrum	tantrum
.	.	.
The	the	The
Todd	todd	Todd
wondered	wonder	wondered
,	,	,
Was	was	Was
the	the	the
trashing	trash	trashing
of	of	of
Goldman	goldman	Goldman
just	just	just
simply	simpli	simply
campaign	campaign	campaign
rhetoric	rhetor	rhetoric
and	and	and
sort	sort	sort
of	of	of
B	b	B
.	.	.
S	s	S
.	.	.
?	?	?

The	the	The
answer	answer	answer
is	is	is
yes	yes	yes
but	but	but
Conway	conway	Conway
again	again	again
went	went	went
with	with	with
the	the	the
whole	whole	whole
he	he	he
was	was	wa
just	just	just
talking	talk	talking
about	about	about
political	polit	political
influence	influenc	influence
line	line	line
,	,	,
and	and	and
Todd	todd	Todd
refused	refus	refused
to	to	to
let	let	let
Conway	conway	Conway
get	get	get
away	away	away
with	with	with
that	that	that
bullshit	bullshit	bullshit
.	.	.

Those	those	Those
are	are	are
political	polit	political
appointments	appoint	appointment
!	!	!

Todd	todd	Todd
exclaimed	exclaim	exclaimed
.	.	.
But	but	But
the	the	the
facts	fact	fact
don	don	don
t	t	t
matter	matter	matter
to	to	to
team	team	team
Trump	trump	Trump
,	,	,
and	and	and
Conway	conway	Conway
simply	simpli	simply
kept	kept	kept
talking	talk	talking
and	and	and
talking	talk	talking
and	and	and
talking	talk	talking
to	to	to
run	run	run
out	out	out
the	the	the
clock	clock	clock
and	and	and
force	forc	force
Todd	todd	Todd
to	to	to
move	move	move
one	one	one
to	to	to
the	the	the
next	next	next
topic	topic	topic
.	.	.
Here	here	Here
s	s	s
the	the	the
video	video	video
via	via	via
YouTube	youtub	YouTube
.	.	.
Once	onc	Once
again	again	again
,	,	,
Donald	donald	Donald
Trump	trump	Trump
gets	get	get
caught	caught	caught
being	be	being
a	a	a
complete	complet	complete
hypocrite	hypocrit	hypocrite
and	and	and
his	his	his
team	team	team
spews	spew	spews
bullshit	bullshit	bullshit
to	to	to
defend	defend	defend
him	him	him
.	.	.

These	these	These
people	peopl	people
have	have	have
no	no	no
shame	shame	shame
and	and	and
their	their	their
supporters	support	supporter
should	should	should
be	be	be
pissed	piss	pissed
.	.	.
Featured	featur	Featured
Image	imag	Image
Screenshot	screenshot	Screenshot

