Did	did	Did
warning	warn	warning
to	to	to
Republicans	republican	Republicans
who	who	who
refuse	refus	refuse
to	to	to
back	back	back
their	their	their
party	parti	party
s	s	s
designated	design	designated
nominee	nomine	nominee
Make	make	Make
no	no	no
mistake	mistak	mistake
,	,	,
Republicans	republican	Republicans
who	who	who
refuse	refus	refuse
to	to	to
stand	stand	stand
behind	behind	behind
their	their	their
party	parti	party
s	s	s
nominee	nomine	nominee
are	are	are
electing	elect	electing
Clinton	clinton	Clinton
,	,	,
whether	whether	whether
they	they	they
cast	cast	cast
their	their	their
ballots	ballot	ballot
for	for	for
her	her	her
or	or	or
not	not	not
.	.	.
I	i	I
have	have	have
a	a	a
message	messag	message
for	for	for
the	the	the
#NeverTrump	#nevertrump	#NeverTrump
crowd	crowd	crowd
Enough	enough	Enough
already	alreadi	already
.	.	.
Donald	donald	Donald
Trump	trump	Trump
is	is	is
our	our	our
presumptive	presumpt	presumptive
nominee	nomine	nominee
and	and	and
it	it	it
is	is	is
time	time	time
to	to	to
get	get	get
over	over	over
wishing	wish	wishing
it	it	it
were	were	were
not	not	not
so	so	so
.	.	.
If	if	If
you	you	you
don	don	don
t	t	t
,	,	,
change	chang	change
your	your	your
social	social	social
media	media	medium
hashtag	hashtag	hashtag
to	to	to
#HillaryGOP.	#hillarygop.	#HillaryGOP.
Via	via	Via
Breitbart	breitbart	Breitbart
