Coming	come	Coming
out	out	out
of	of	of
the	the	the
race	race	race
.	.	.
One	one	One
person	person	person
,	,	,
however	howev	however
,	,	,
saw	saw	saw
the	the	the
delicious	delici	delicious
irony	ironi	irony
in	in	in
Cruz	cruz	Cruz
quitting	quit	quitting
early	earli	early
,	,	,
and	and	and
that	that	that
person	person	person
was	was	wa
Full	full	Full
Frontal	frontal	Frontal
s	s	s
Samantha	samantha	Samantha
Bee	bee	Bee
.	.	.

She	she	She
took	took	took
to	to	to
Twitter	twitter	Twitter
to	to	to
tell	tell	tell
Cruz	cruz	Cruz
what	what	what
he	he	he
should	should	should
have	have	have
done	done	done
with	with	with
his	his	his
campaign	campaign	campaign
.	.	.
Bee	bee	Bee
wrote	wrote	wrote
Shouldn	shouldn	Shouldn
t	t	t
Ted	ted	Ted
Cruz	cruz	Cruz
have	have	have
been	been	been
forced	forc	forced
to	to	to
carry	carri	carry
his	his	his
unviable	unviabl	unviable
campaign	campaign	campaign
to	to	to
term	term	term
?	?	?

Shouldn't	shouldn't	Shouldn't
#TedCruz	#tedcruz	#TedCruz
have	have	have
been	been	been
forced	forc	forced
to	to	to
carry	carri	carry
his	his	his
unviable	unviabl	unviable
campaign	campaign	campaign
to	to	to
term	term	term
?	?	?

Full	full	Full
Frontal	frontal	Frontal
@FullFrontalSamB	@fullfrontalsamb	@FullFrontalSamB
May	may	May
4	4	4
,	,	,
2016Of	2016of	2016Of
course	cours	course
,	,	,
this	this	this
being	be	being
a	a	a
play	play	play
on	on	on
Cruz	cruz	Cruz
s	s	s
ridiculous	ridicul	ridiculous
stance	stanc	stance
on	on	on
abortion	abort	abortion
rights	right	right
.	.	.

The	the	The
man	man	man
claims	claim	claim
he	he	he
stands	stand	stand
up	up	up
for	for	for
women	women	woman
,	,	,
but	but	but
apparently	appar	apparently
that	that	that
means	mean	mean
loving	love	loving
women	women	woman
so	so	so
much	much	much
that	that	that
he	he	he
s	s	s
the	the	the
person	person	person
to	to	to
make	make	make
all	all	all
of	of	of
their	their	their
health	health	health
decisions	decis	decision
.	.	.

He	he	He
s	s	s
also	also	also
been	been	been
one	one	one
of	of	of
the	the	the
key	key	key
reasons	reason	reason
the	the	the
Planned	plan	Planned
Parenthood	parenthood	Parenthood
myth	myth	myth
of	of	of
baby	babi	baby
body	bodi	body
parts	part	part
has	has	ha
gone	gone	gone
on	on	on
for	for	for
so	so	so
long	long	long
.	.	.
Ted	ted	Ted
Cruz	cruz	Cruz
is	is	is
a	a	a
liar	liar	liar
and	and	and
a	a	a
smarmy	smarmi	smarmy
salesman	salesman	salesman
that	that	that
just	just	just
couldn	couldn	couldn
t	t	t
figure	figur	figure
out	out	out
how	how	how
to	to	to
sell	sell	sell
himself	himself	himself
to	to	to
the	the	the
American	american	American
voting	vote	voting
public	public	public
.	.	.

He	he	He
was	was	wa
so	so	so
bad	bad	bad
,	,	,
in	in	in
fact	fact	fact
,	,	,
that	that	that
he	he	he
couldn	couldn	couldn
t	t	t
even	even	even
make	make	make
himself	himself	himself
look	look	look
good	good	good
next	next	next
to	to	to
Donald	donald	Donald
Trump	trump	Trump
.	.	.
Bee	bee	Bee
also	also	also
tweeted	tweet	tweeted
At	at	At
least	least	least
the	the	the
#TedCruz	#tedcruz	#TedCruz
campaign	campaign	campaign
died	die	died
as	as	a
it	it	it
lived	live	lived
under	under	under
Trump's	trump	Trump's
heel	heel	heel
while	while	while
Republicans	republican	Republicans
looked	look	looked
on	on	on
with	with	with
indifference	indiffer	indifference
.	.	.

Full	full	Full
Frontal	frontal	Frontal
@FullFrontalSamB	@fullfrontalsamb	@FullFrontalSamB
May	may	May
4	4	4
,	,	,
2016Good	2016good	2016Good
on	on	on
Samantha	samantha	Samantha
Bee	bee	Bee
for	for	for
pointing	point	pointing
out	out	out
such	such	such
delicious	delici	delicious
irony	ironi	irony
.	.	.

Never	never	Never
stop	stop	stop
being	be	being
you	you	you
.	.	.
Featured	featur	Featured
Photo	photo	Photo
by	by	by
Frederick	frederick	Frederick
M	m	M
.	.	.

Brown	brown	Brown
Getty	getti	Getty
Images	imag	Images
Twitter	twitter	Twitter

