A	a	A
racist	racist	racist
.	.	.
Donald	donald	Donald
Trump	trump	Trump
is	is	is
not	not	not
a	a	a
racist	racist	racist
,	,	,
but	but	but
Donald	donald	Donald
Trump	trump	Trump
is	is	is
not	not	not
afraid	afraid	afraid
.	.	.
Don	don	Don
t	t	t
vote	vote	vote
for	for	for
a	a	a
Cuban	cuban	Cuban
;	;	;
vote	vote	vote
for	for	for
Donald	donald	Donald
Trump	trump	Trump
.	.	.
This	this	This
call	call	call
is	is	is
not	not	not
authorized	author	authorized
by	by	by
Donald	donald	Donald
Trump	trump	Trump
.	.	.
The	the	The
group	group	group
also	also	also
placed	place	placed
calls	call	call
to	to	to
Iowa	iowa	Iowa
voters	voter	voter
ahead	ahead	ahead
of	of	of
the	the	the
state	state	state
caucus	caucus	caucus
.	.	.
Iowa	iowa	Iowa
resident	resid	resident
,	,	,
David	david	David
Dwyer	dwyer	Dwyer
,	,	,
uploaded	upload	uploaded
a	a	a
recording	record	recording
of	of	of
the	the	the
call	call	call
to	to	to
Facebook	facebook	Facebook
in	in	in
January	januari	January
.	.	.
!	!	!
CDATA	cdata	CDATA
!	!	!
CDATA	cdata	CDATA
function	function	function
d	d	d
,	,	,
s	s	s
,	,	,
id	id	id
var	var	var
js	js	j
,	,	,
fjs	fjs	fjs
d	d	d
.	.	.
getElementsByTagName	getelementsbytagnam	getElementsByTagName
s	s	s
0	0	0
;	;	;
if	if	if
d	d	d
.	.	.
getElementById	getelementbyid	getElementById
id	id	id
return	return	return
;	;	;
js	js	j
d	d	d
.	.	.
createElement	createel	createElement
s	s	s
;	;	;
js	js	j
.	.	.
id	id	id
id	id	id
;	;	;
js	js	j
.	.	.
src	src	src
connect	connect	connect
.	.	.
facebook	facebook	facebook
.	.	.
net	net	net
en_US	en_us	en_US
sdk	sdk	sdk
.	.	.
js	js	j
"#xfbml=1&#038;version=v2.3"";"	"#xfbml=1&#038;version=v2.3"";"	"#xfbml=1&#038;version=v2.3"";"
fjs	fjs	fjs
.	.	.
parentNode	parentnod	parentNode
.	.	.
insertBefore	insertbefor	insertBefore
js	js	j
,	,	,
fjs	fjs	fjs
;	;	;
document	document	document
,	,	,
'script'	script	'script'
,	,	,
'facebook-jssdk'	facebook-jssdk	'facebook-jssdk'
;	;	;
gt	gt	gt
;	;	;
Signs	sign	Signs
that	that	that
it	it	it
s	s	s
going	go	going
to	to	to
be	be	be
a	a	a
long	long	long
time	time	time
until	until	until
the	the	the
February	februari	February
caucuses	caucus	caucus
in	in	in
Iowa	iowa	Iowa
I	i	I
get	get	get
a	a	a
robo	robo	robo
call	call	call
from	from	from
White	white	White
Nationalists	nationalist	Nationalists
for	for	for
Trump	trump	Trump
.	.	.
Sigh	sigh	Sigh
.	.	.
Posted	post	Posted
by	by	by
David	david	David
Dwyer	dwyer	Dwyer
on	on	on
Saturday	saturday	Saturday
,	,	,
January	januari	January
9	9	9
,	,	,
2016Donald	2016donald	2016Donald
Trump	trump	Trump
has	has	ha
the	the	the
white	white	white
supremacist	supremacist	supremacist
vote	vote	vote
all	all	all
tied	tie	tied
up	up	up
,	,	,
much	much	much
to	to	to
the	the	the
dismay	dismay	dismay
of	of	of
the	the	the
other	other	other
Republican	republican	Republican
candidates	candid	candidate
.	.	.
Trump	trump	Trump
has	has	ha
doubled	doubl	doubled
-down	-down	-down
on	on	on
the	the	the
party	parti	party
s	s	s
long	long	long
history	histori	history
of	of	of
using	use	using
dog	dog	dog
-whistle	-whistl	-whistle
politics	polit	politics
to	to	to
appeal	appeal	appeal
to	to	to
the	the	the
lowest	lowest	lowest
element	element	element
of	of	of
society	societi	society
.	.	.
Instead	instead	Instead
of	of	of
dog	dog	dog
-whistles	-whistl	-whistles
,	,	,
Trump	trump	Trump
has	has	ha
brought	brought	brought
the	the	the
Republican	republican	Republican
party	parti	party
s	s	s
racist	racist	racist
views	view	view
to	to	to
the	the	the
forefront	forefront	forefront
,	,	,
using	use	using
a	a	a
giant	giant	giant
bullhorn	bullhorn	bullhorn
.	.	.
The	the	The
candidate	candid	candidate
s	s	s
racist	racist	racist
comments	comment	comment
about	about	about
Hispanics	hispan	Hispanics
,	,	,
Blacks	black	Blacks
,	,	,
Muslims	muslim	Muslims
,	,	,
Asians	asian	Asians
,	,	,
along	along	along
with	with	with
every	everi	every
other	other	other
group	group	group
that	that	that
white	white	white
KKKristian	kkkristian	KKKristian
society	societi	society
loves	love	love
to	to	to
blame	blame	blame
for	for	for
the	the	the
problems	problem	problem
caused	caus	caused
by	by	by
their	their	their
own	own	own
party	parti	party
,	,	,
has	has	ha
rocketed	rocket	rocketed
Trump	trump	Trump
straight	straight	straight
to	to	to
the	the	the
head	head	head
of	of	of
the	the	the
pack	pack	pack
or	or	or
Super	super	Super
PAC	pac	PAC
.	.	.
It	it	It
makes	make	make
sense	sens	sense
.	.	.
After	after	After
all	all	all
,	,	,
conservative	conserv	conservative
voters	voter	voter
have	have	have
been	been	been
answering	answer	answering
the	the	the
GOP	gop	GOP
s	s	s
more	more	more
-subtle	-subtl	-subtle
calls	call	call
,	,	,
packed	pack	packed
with	with	with
racist	racist	racist
innuendo	innuendo	innuendo
,	,	,
for	for	for
a	a	a
very	veri	very
long	long	long
time	time	time
.	.	.
Right	right	Right
-wing	-wing	-wing
voters	voter	voter
are	are	are
frustrated	frustrat	frustrated
and	and	and
angry	angri	angry
at	at	at
mainstream	mainstream	mainstream
conservatives	conserv	conservative
,	,	,
whom	whom	whom
they	they	they
see	see	see
as	as	a
too	too	too
concerned	concern	concerned
with	with	with
political	polit	political
correctness	correct	correctness
,	,	,
to	to	to
come	come	come
right	right	right
out	out	out
and	and	and
say	say	say
what	what	what
they	they	they
mean	mean	mean
.	.	.
They	they	They
re	re	re
sick	sick	sick
and	and	and
tired	tire	tired
of	of	of
their	their	their
political	polit	political
leaders	leader	leader
denying	deni	denying
and	and	and
walking	walk	walking
back	back	back
racist	racist	racist
comments	comment	comment
.	.	.
They	they	They
want	want	want
Trump	trump	Trump
s	s	s
brand	brand	brand
of	of	of
honesty	honesti	honesty
and	and	and
sincerity	sincer	sincerity
.	.	.
They	they	They
want	want	want
the	the	the
GOP	gop	GOP
to	to	to
openly	open	openly
promote	promot	promote
the	the	the
party	parti	party
s	s	s
racists	racist	racist
views	view	view
,	,	,
helping	help	helping
to	to	to
make	make	make
their	their	their
hate	hate	hate
seem	seem	seem
more	more	more
acceptable	accept	acceptable
,	,	,
and	and	and
mainstream	mainstream	mainstream
.	.	.
To	to	To
hell	hell	hell
with	with	with
the	the	the
dog	dog	dog
-whistles	-whistl	-whistles
.	.	.
With	with	With
Trump	trump	Trump
they	they	they
have	have	have
a	a	a
leader	leader	leader
who	who	who
will	will	will
blast	blast	blast
their	their	their
white	white	white
supremacist	supremacist	supremacist
views	view	view
on	on	on
a	a	a
bullhorn	bullhorn	bullhorn
,	,	,
and	and	and
that	that	that
s	s	s
exactly	exact	exactly
what	what	what
they	they	they
want	want	want
.	.	.
Image	imag	Image
credit	credit	credit
from	from	from
Gage	gage	Gage
Skidmore	skidmor	Skidmore
,	,	,
via	via	via
Flickr	flickr	Flickr
