You	you	You
York	york	York
?	?	?
How	how	How
many	mani	many
more	more	more
operations	oper	operation
like	like	like
this	this	this
one	one	one
exist	exist	exist
along	along	along
the	the	the
longest	longest	longest
undefended	undefend	undefended
international	intern	international
border	border	border
in	in	in
the	the	the
world	world	world
?	?	?
