Buckle	buckl	Buckle
These	these	These
refugees	refuge	refugee
will	will	will
be	be	be
coming	come	coming
outside	outsid	outside
the	the	the
refugee	refuge	refugee
resettlement	resettl	resettlement
program	program	program
so	so	so
they	they	they
would	would	would
not	not	not
be	be	be
counted	count	counted
under	under	under
the	the	the
government	govern	government
cap	cap	cap
of	of	of
10	10	10
,	,	,
000	000	000
.	.	.
These	these	These
alternative	altern	alternative
legal	legal	legal
pathways	pathway	pathway
or	or	or
sponsorships	sponsorship	sponsorship
will	will	will
be	be	be
under	under	under
employment	employ	employment
visas	visa	visa
,	,	,
training	train	training
,	,	,
student	student	student
visas	visa	visa
and	and	and
scholarships	scholarship	scholarship
,	,	,
visiting	visit	visiting
scholars	scholar	scholar
etc	etc	etc
,	,	,
Nayla	nayla	Nayla
Rush	rush	Rush
,	,	,
senior	senior	senior
researcher	research	researcher
at	at	at
the	the	the
Center	center	Center
for	for	for
Immigration	immigr	Immigration
Studies	studi	Studies
,	,	,
told	told	told
The	the	The
Daily	daili	Daily
Caller	caller	Caller
.	.	.
Rush	rush	Rush
added	ad	added
,	,	,
remember	rememb	remember
,	,	,
the	the	the
aim	aim	aim
is	is	is
to	to	to
bring	bring	bring
as	as	a
many	mani	many
Syrian	syrian	Syrian
refugees	refuge	refugee
as	as	a
possible	possibl	possible
.	.	.
10	10	10
,	,	,
000	000	000
is	is	is
the	the	the
limit	limit	limit
this	this	this
Fiscal	fiscal	Fiscal
Year	year	Year
under	under	under
the	the	the
refugee	refuge	refugee
resettlement	resettl	resettlement
program	program	program
.	.	.
No	no	No
limit	limit	limit
to	to	to
these	these	these
private	privat	private
sponsorships	sponsorship	sponsorship
,	,	,
more	more	more
importantly	import	importantly
,	,	,
to	to	to
traceability	traceabl	traceability
.	.	.
At	at	At
a	a	a
United	unit	United
Nations	nation	Nations
summit	summit	summit
on	on	on
September	septemb	September
20	20	20
,	,	,
Obama	obama	Obama
is	is	is
going	go	going
to	to	to
push	push	push
for	for	for
double	doubl	double
the	the	the
number	number	number
of	of	of
resettlement	resettl	resettlement
slots	slot	slot
and	and	and
alternative	altern	alternative
legal	legal	legal
pathways	pathway	pathway
for	for	for
admission	admiss	admission
that	that	that
are	are	are
available	avail	available
to	to	to
refugees	refuge	refugee
,	,	,
and	and	and
increase	increas	increase
the	the	the
number	number	number
of	of	of
countries	countri	country
accepting	accept	accepting
significant	signific	significant
numbers	number	number
of	of	of
refugees	refuge	refugee
.	.	.
Via	via	Via
Daily	daili	Daily
Caller	caller	Caller
