What	what	What
Anaheim	anaheim	Anaheim
Hills	hill	Hills
turning	turn	turning
the	the	the
sky	sky	sky
orange	orang	orange
to	to	to
match	match	match
the	the	the
pumpkins	pumpkin	pumpkin
at	at	at
Disneyland	disneyland	Disneyland
https://t.co/rScMRkma63	https://t.co/rscmrkma63	https://t.co/rScMRkma63
pic.twitter.com/zr2jXy6jBT	pic.twitter.com/zr2jxy6jbt	pic.twitter.com/zr2jXy6jBT
Jake	jake	Jake
Tapper	tapper	Tapper
@jaketapper	@jaketapp	@jaketapper
October	octob	October
9	9	9
,	,	,
2017Sorry	2017sorri	2017Sorry
Jake	jake	Jake
,	,	,
but	but	but
there	there	there
s	s	s
nothing	noth	nothing
cute	cute	cute
about	about	about
that	that	that
image	imag	image
when	when	when
real	real	real
people	peopl	people
are	are	are
suffering	suffer	suffering
the	the	the
loss	loss	loss
of	of	of
lives	live	life
and	and	and
their	their	their
homes	home	home
as	as	a
we	we	we
speak	speak	speak
.	.	.
The	the	The
orange	orang	orange
sky	sky	sky
is	is	is
not	not	not
just	just	just
a	a	a
cute	cute	cute
backdrop	backdrop	backdrop
for	for	for
carved	carv	carved
pumpkins	pumpkin	pumpkin
in	in	in
Disneyland	disneyland	Disneyland
.	.	.
Maybe	mayb	Maybe
this	this	this
visual	visual	visual
will	will	will
put	put	put
things	thing	thing
in	in	in
perspective	perspect	perspective
for	for	for
you	you	you
#CanyonFire2	#canyonfire2	#CanyonFire2
has	has	ha
burned	burn	burned
2	2	2
,	,	,
000	000	000
acres	acr	acre
,	,	,
is	is	is
0	0	0
percent	percent	percent
contained	contain	contained
;	;	;
more	more	more
residents	resid	resident
urged	urg	urged
to	to	to
get	get	get
ready	readi	ready
to	to	to
evacuate	evacu	evacuate
https://t.co/RHeVjIGDYq	https://t.co/rhevjigdyq	https://t.co/RHeVjIGDYq
pic.twitter.com/vvDGfRmhau	pic.twitter.com/vvdgfrmhau	pic.twitter.com/vvDGfRmhau
KTLA	ktla	KTLA
@KTLA	@ktla	@KTLA
October	octob	October
9	9	9
,	,	,
2017Twitter	2017twitter	2017Twitter
users	user	user
,	,	,
some	some	some
of	of	of
whom	whom	whom
are	are	are
California	california	California
residents	resid	resident
,	,	,
immediately	immedi	immediately
went	went	went
after	after	after
Tapper	tapper	Tapper
for	for	for
his	his	his
insensitive	insensit	insensitive
remarks	remark	remark
Here	here	Here
s	s	s
our	our	our
reply	repli	reply
to	to	to
Tapper	tapper	Tapper
s	s	s
tweet	tweet	tweet
Apparently	appar	Apparently
,	,	,
Tapper	tapper	Tapper
didn	didn	didn
t	t	t
care	care	care
for	for	for
our	our	our
reply	repli	reply
to	to	to
his	his	his
tweet	tweet	tweet
,	,	,
as	as	a
he	he	he
promptly	prompt	promptly
blocked	block	blocked
us	us	u
