During	dure	During
and	and	and
sexual	sexual	sexual
orientation	orient	orientation
because	becaus	because
he	he	he
apparently	appar	apparently
believes	believ	belief
only	onli	only
white	white	white
straight	straight	straight
men	men	men
deserve	deserv	deserve
civil	civil	civil
rights	right	right
.	.	.
He	he	He
also	also	also
claimed	claim	claimed
it	it	it
was	was	wa
only	onli	only
a	a	a
joke	joke	joke
.	.	.
So	so	So
they	they	they
always	alway	always
attach	attach	attach
people	peopl	people
,	,	,
the	the	the
reading	read	reading
public	public	public
,	,	,
the	the	the
news	news	news
consuming	consum	consuming
public	public	public
,	,	,
has	has	ha
been	been	been
conditioned	condit	conditioned
to	to	to
attach	attach	attach
the	the	the
words	word	word
civil	civil	civil
rights	right	right
to	to	to
race	race	race
.	.	.
Now	now	Now
it	it	it
s	s	s
being	be	being
expanded	expand	expanded
.	.	.
Civil	civil	Civil
rights	right	right
,	,	,
gay	gay	gay
marriage	marriag	marriage
;	;	;
civil	civil	civil
rights	right	right
,	,	,
transgender	transgend	transgender
bathroom	bathroom	bathroom
rights	right	right
;	;	;
civil	civil	civil
rights	right	right
,	,	,
whatever	whatev	whatever
the	the	the
left	left	left
wants	want	want
.	.	.
Except	except	Except
over	over	over
here	here	here
,	,	,
rape	rape	rape
has	has	ha
become	becom	become
a	a	a
safety	safeti	safety
issue	issu	issue
.	.	.
But	but	But
over	over	over
here	here	here
this	this	this
stuff	stuff	stuff
is	is	is
a	a	a
civil	civil	civil
rights	right	right
if	if	if
,	,	,
when	when	when
you	you	you
hear	hear	hear
the	the	the
left	left	left
equate	equat	equate
anything	anyth	anything
with	with	with
civil	civil	civil
rights	right	right
,	,	,
what	what	what
you	you	you
should	should	should
learn	learn	learn
is	is	is
this	this	this
is	is	is
how	how	how
they	they	they
are	are	are
attempting	attempt	attempting
to	to	to
corrupt	corrupt	corrupt
the	the	the
culture	cultur	culture
.	.	.
And	and	And
they	they	they
re	re	re
doing	do	doing
it	it	it
under	under	under
the	the	the
banner	banner	banner
of	of	of
civil	civil	civil
rights	right	right
,	,	,
which	which	which
is	is	is
supposed	suppos	supposed
to	to	to
shut	shut	shut
you	you	you
up	up	up
.	.	.
It	it	It
is	is	is
supposed	suppos	supposed
to	to	to
silence	silenc	silence
opposition	opposit	opposition
,	,	,
because	becaus	because
nobody	nobodi	nobody
with	with	with
a	a	a
brain	brain	brain
is	is	is
ever	ever	ever
supposed	suppos	supposed
to	to	to
violate	violat	violate
civil	civil	civil
rights	right	right
.	.	.
Never	never	Never
,	,	,
anybody	anybodi	anybody
with	with	with
a	a	a
brain	brain	brain
would	would	would
know	know	know
never	never	never
to	to	to
oppose	oppos	oppose
anything	anyth	anything
that	that	that
says	say	say
civil	civil	civil
rights	right	right
attached	attach	attached
to	to	to
it	it	it
.	.	.
Which	which	Which
is	is	is
why	whi	why
the	the	the
joke	joke	joke
,	,	,
you	you	you
could	could	could
legalize	legal	legalize
whatever	whatev	whatever
you	you	you
want	want	want
by	by	by
calling	call	calling
it	it	it
the	the	the
Civil	civil	Civil
Rights	right	Rights
Act	act	Act
of	of	of
2016	2016	2016
,	,	,
because	becaus	because
nobody	nobodi	nobody
would	would	would
have	have	have
the	the	the
guts	gut	gut
to	to	to
vote	vote	vote
against	against	against
it	it	it
.	.	.
Because	becaus	Because
if	if	if
they	they	they
did	did	did
you	you	you
d	d	d
have	have	have
the	the	the
media	media	medium
,	,	,
Democrats	democrat	Democrats
running	run	running
around	around	around
,	,	,
saying	say	saying
so	so	so
-and-so	-and-so	-and-so
voted	vote	voted
against	against	against
the	the	the
Civil	civil	Civil
Rights	right	Rights
Act	act	Act
of	of	of
2016	2016	2016
denying	deni	denying
all	all	all
of	of	of
our	our	our
citizens	citizen	citizen
equal	equal	equal
rights	right	right
,	,	,
blah	blah	blah
blah	blah	blah
blah	blah	blah
blah	blah	blah
blah	blah	blah
.	.	.
Here	here	Here
s	s	s
the	the	the
audio	audio	audio
via	via	via
Media	media	Media
Matters	matter	Matters
.	.	.
In	in	In
his	his	his
effort	effort	effort
to	to	to
slander	slander	slander
Democrats	democrat	Democrats
,	,	,
Limbaugh	limbaugh	Limbaugh
also	also	also
claimed	claim	claimed
that	that	that
rape	rape	rape
has	has	ha
become	becom	become
a	a	a
safety	safeti	safety
issue	issu	issue
for	for	for
conservatives	conserv	conservative
.	.	.
First	first	First
of	of	of
all	all	all
,	,	,
Limbaugh	limbaugh	Limbaugh
seems	seem	seems
to	to	to
be	be	be
admitting	admit	admitting
that	that	that
conservatives	conserv	conservative
never	never	never
cared	care	cared
about	about	about
rape	rape	rape
before	befor	before
.	.	.
And	and	And
second	second	second
,	,	,
if	if	if
conservatives	conserv	conservative
really	realli	really
believe	believ	believe
rape	rape	rape
is	is	is
a	a	a
safety	safeti	safety
issue	issu	issue
,	,	,
perhaps	perhap	perhaps
they	they	they
should	should	should
stop	stop	stop
aiding	aid	aiding
and	and	and
rewarding	reward	rewarding
rapists	rapist	rapist
by	by	by
not	not	not
forcing	forc	forcing
rape	rape	rape
victims	victim	victim
to	to	to
carry	carri	carry
rape	rape	rape
pregnancies	pregnanc	pregnancy
to	to	to
term	term	term
.	.	.
Furthermore	furthermor	Furthermore
,	,	,
they	they	they
can	can	can
repeal	repeal	repeal
laws	law	law
that	that	that
allow	allow	allow
rapists	rapist	rapist
to	to	to
seek	seek	seek
custody	custodi	custody
and	and	and
visitation	visit	visitation
rights	right	right
.	.	.
Or	or	Or
how	how	how
about	about	about
believing	believ	believing
women	women	woman
when	when	when
they	they	they
say	say	say
they	they	they
were	were	were
raped	rape	raped
instead	instead	instead
of	of	of
saying	say	saying
they	they	they
were	were	were
asking	ask	asking
for	for	for
it	it	it
.	.	.
The	the	The
fact	fact	fact
is	is	is
that	that	that
there	there	there
have	have	have
been	been	been
zero	zero	zero
instances	instanc	instance
of	of	of
a	a	a
transgender	transgend	transgender
person	person	person
doing	do	doing
anything	anyth	anything
but	but	but
using	use	using
the	the	the
restroom	restroom	restroom
like	like	like
a	a	a
normal	normal	normal
person	person	person
.	.	.
They	they	They
certainly	certain	certainly
haven	haven	haven
t	t	t
sexually	sexual	sexually
assaulted	assault	assaulted
anyone	anyon	anyone
.	.	.
And	and	And
that	that	that
s	s	s
throughout	throughout	throughout
the	the	the
17	17	17
states	state	state
and	and	and
over	over	over
200	200	200
cities	citi	city
that	that	that
have	have	have
transgender	transgend	transgender
protection	protect	protection
in	in	in
place	place	place
.	.	.
In	in	In
fact	fact	fact
,	,	,
the	the	the
only	onli	only
men	men	men
who	who	who
have	have	have
gone	gone	gone
into	into	into
a	a	a
restroom	restroom	restroom
to	to	to
scare	scare	scare
women	women	woman
and	and	and
children	children	child
are	are	are
the	the	the
ones	one	one
being	be	being
purposely	purpos	purposely
sent	sent	sent
in	in	in
there	there	there
by	by	by
the	the	the
Family	famili	Family
Research	research	Research
Council	council	Council
,	,	,
a	a	a
right	right	right
-wing	-wing	-wing
group	group	group
trying	tri	trying
to	to	to
instill	instil	instill
fear	fear	fear
of	of	of
transgender	transgend	transgender
people	peopl	people
by	by	by
pretending	pretend	pretending
there	there	there
is	is	is
a	a	a
problem	problem	problem
with	with	with
them	them	them
using	use	using
the	the	the
bathroom	bathroom	bathroom
that	that	that
corresponds	correspond	corresponds
to	to	to
their	their	their
gender	gender	gender
identity	ident	identity
.	.	.
But	but	But
get	get	get
ready	readi	ready
,	,	,
folks	folk	folk
.	.	.
It	it	It
won	won	won
t	t	t
be	be	be
long	long	long
before	befor	before
a	a	a
conservative	conserv	conservative
lawmaker	lawmak	lawmaker
takes	take	take
Limbaugh	limbaugh	Limbaugh
seriously	serious	seriously
like	like	like
usual	usual	usual
and	and	and
literally	liter	literally
writes	write	writes
a	a	a
bill	bill	bill
to	to	to
legalize	legal	legalize
rape	rape	rape
by	by	by
excusing	excus	excusing
it	it	it
as	as	a
a	a	a
civil	civil	civil
rights	right	right
issue	issu	issue
.	.	.
And	and	And
the	the	the
way	way	way
Republicans	republican	Republicans
have	have	have
treated	treat	treated
rape	rape	rape
victims	victim	victim
over	over	over
the	the	the
years	year	year
,	,	,
you	you	you
know	know	know
they	they	they
are	are	are
considering	consid	considering
it	it	it
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
screenshot	screenshot	screenshot
