While	while	While
working	work	working
for	for	for
a	a	a
foreign	foreign	foreign
government	govern	government
could	could	could
cause	caus	cause
a	a	a
conflict	conflict	conflict
of	of	of
interest	interest	interest
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
Mark	mark	Mark
Makela	makela	Makela
Getty	getti	Getty
Images	imag	Images
.	.	.
