Thanks	thank	Thanks
Mainstream	mainstream	Mainstream
news	news	news
channels	channel	channel
rarely	rare	rarely
draw	draw	draw
attention	attent	attention
to	to	to
the	the	the
negative	negat	negative
side	side	side
of	of	of
abortion	abort	abortion
,	,	,
but	but	but
CBS	cbs	CBS
News	news	News
did	did	did
so	so	so
this	this	this
week	week	week
with	with	with
a	a	a
report	report	report
about	about	about
Iceland	iceland	Iceland
s	s	s
near	near	near
100	100	100
-percent	-percent	-percent
abortion	abort	abortion
rate	rate	rate
for	for	for
babies	babi	baby
with	with	with
Down	down	Down
syndrome	syndrom	syndrome
.	.	.
few	few	few
countries	countri	country
have	have	have
come	come	come
as	as	a
close	close	close
to	to	to
eradicating	erad	eradicating
Down	down	Down
syndrome	syndrom	syndrome
births	birth	birth
as	as	a
Iceland	iceland	Iceland
,	,	,
the	the	the
report	report	report
begins	begin	begin
.	.	.
Since	sinc	Since
prenatal	prenat	prenatal
screening	screen	screening
tests	test	test
were	were	were
introduced	introduc	introduced
in	in	in
Iceland	iceland	Iceland
in	in	in
the	the	the
early	earli	early
2000s	2000s	2000s
,	,	,
the	the	the
vast	vast	vast
majority	major	majority
of	of	of
women	women	woman
close	close	close
to	to	to
100	100	100
percent	percent	percent
who	who	who
received	receiv	received
a	a	a
positive	posit	positive
test	test	test
for	for	for
Down	down	Down
syndrome	syndrom	syndrome
terminated	termin	terminated
their	their	their
pregnancy	pregnanc	pregnancy
.	.	.
Just	just	Just
a	a	a
handful	hand	handful
of	of	of
children	children	child
with	with	with
Down	down	Down
syndrome	syndrom	syndrome
have	have	have
been	been	been
born	born	born
in	in	in
Iceland	iceland	Iceland
in	in	in
the	the	the
past	past	past
decade	decad	decade
.	.	.
Two	two	Two
are	are	are
born	born	born
each	each	each
year	year	year
,	,	,
on	on	on
average	averag	average
,	,	,
but	but	but
the	the	the
rest	rest	rest
are	are	are
killed	kill	killed
in	in	in
the	the	the
womb	womb	womb
.	.	.
For	for	For
most	most	most
of	of	of
the	the	the
children	children	child
who	who	who
were	were	were
born	born	born
,	,	,
their	their	their
mothers	mother	mother
decided	decid	decided
not	not	not
to	to	to
have	have	have
prenatal	prenat	prenatal
screening	screen	screening
tests	test	test
.	.	.
This	this	This
deadly	dead	deadly
discrimination	discrimin	discrimination
against	against	against
babies	babi	baby
with	with	with
disabilities	disabl	disability
is	is	is
a	a	a
problem	problem	problem
in	in	in
countries	countri	country
across	across	across
the	the	the
world	world	world
,	,	,
not	not	not
just	just	just
Iceland	iceland	Iceland
.	.	.
In	in	In
2014	2014	2014
,	,	,
the	the	the
Danish	danish	Danish
government	govern	government
reported	report	reported
98	98	98
percent	percent	percent
of	of	of
unborn	unborn	unborn
babies	babi	baby
who	who	who
tested	test	tested
positive	posit	positive
for	for	for
Down	down	Down
syndrome	syndrom	syndrome
were	were	were
aborted	abort	aborted
.	.	.
CBS	cbs	CBS
reports	report	report
the	the	the
rate	rate	rate
in	in	in
France	franc	France
was	was	wa
77	77	77
percent	percent	percent
in	in	in
2015	2015	2015
,	,	,
90	90	90
percent	percent	percent
in	in	in
the	the	the
United	unit	United
Kingdom	kingdom	Kingdom
and	and	and
67	67	67
percent	percent	percent
in	in	in
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
between	between	between
1995	1995	1995
and	and	and
2011	2011	2011
.	.	.
Some	some	Some
put	put	put
the	the	the
rate	rate	rate
even	even	even
higher	higher	higher
in	in	in
the	the	the
United	unit	United
States	state	States
,	,	,
but	but	but
it	it	it
is	is	is
difficult	difficult	difficult
to	to	to
determine	determin	determine
the	the	the
exact	exact	exact
number	number	number
because	becaus	because
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
government	govern	government
does	doe	doe
not	not	not
keep	keep	keep
detailed	detail	detailed
statistics	statist	statistic
about	about	about
abortion	abort	abortion
.	.	.
In	in	In
many	mani	many
of	of	of
these	these	these
countries	countri	country
,	,	,
late	late	late
-term	-term	-term
abortions	abort	abortion
are	are	are
legal	legal	legal
in	in	in
cases	case	case
of	of	of
fetal	fetal	fetal
anomalies	anomali	anomaly
,	,	,
such	such	such
as	as	a
Down	down	Down
syndrome	syndrom	syndrome
.	.	.
The	the	The
UK	uk	UK
,	,	,
for	for	for
example	exampl	example
,	,	,
prohibits	prohibit	prohibits
abortions	abort	abortion
after	after	after
24	24	24
weeks	week	week
but	but	but
allows	allow	allows
wide	wide	wide
exceptions	except	exception
for	for	for
late	late	late
-term	-term	-term
abortions	abort	abortion
involving	involv	involving
fetal	fetal	fetal
anomalies	anomali	anomaly
.	.	.
Iceland	iceland	Iceland
hospital	hospit	hospital
counselor	counselor	counselor
Helga	helga	Helga
Sol	sol	Sol
Olafsdottir	olafsdottir	Olafsdottir
does	doe	doe
not	not	not
see	see	see
any	ani	any
problem	problem	problem
with	with	with
the	the	the
fact	fact	fact
that	that	that
so	so	so
many	mani	many
women	women	woman
are	are	are
having	have	having
their	their	their
unborn	unborn	unborn
babies	babi	baby
aborted	abort	aborted
because	becaus	because
of	of	of
Down	down	Down
syndrome	syndrom	syndrome
.	.	.
This	this	This
systematic	systemat	systematic
discrimination	discrimin	discrimination
is	is	is
simply	simpli	simply
a	a	a
woman	woman	woman
s	s	s
choice	choic	choice
in	in	in
her	her	her
mind	mind	mind
.	.	.
The	the	The
issue	issu	issue
is	is	is
not	not	not
gray	gray	gray
.	.	.
It	it	It
s	s	s
very	veri	very
clearly	clear	clearly
wrong	wrong	wrong
,	,	,
says	say	say
Penny	penni	Penny
Nace	nace	Nace
,	,	,
president	presid	president
and	and	and
CEO	ceo	CEO
of	of	of
Concerned	concern	Concerned
Women	women	Women
for	for	for
America	america	America
.	.	.
This	this	This
is	is	is
eugenics	eugen	eugenics
and	and	and
barbarianism	barbarian	barbarianism
at	at	at
best	best	best
,	,	,
Nace	nace	Nace
said	said	said
.	.	.
These	these	These
individuals	individu	individual
have	have	have
no	no	no
less	less	le
worth	worth	worth
than	than	than
anyone	anyon	anyone
else	els	else
.	.	.
Iceland	iceland	Iceland
and	and	and
many	mani	many
other	other	other
countries	countri	country
are	are	are
killing	kill	killing
human	human	human
beings	be	being
in	in	in
abortions	abort	abortion
simply	simpli	simply
because	becaus	because
they	they	they
have	have	have
a	a	a
disability	disabl	disability
.	.	.
Down	down	Down
syndrome	syndrom	syndrome
varies	vari	varies
in	in	in
severity	sever	severity
,	,	,
but	but	but
most	most	most
people	peopl	people
with	with	with
the	the	the
genetic	genet	genetic
disorder	disord	disorder
live	live	live
into	into	into
their	their	their
60s	60s	60
.	.	.
Some	some	Some
even	even	even
live	live	live
on	on	on
their	their	their
own	own	own
,	,	,
hold	hold	hold
down	down	down
jobs	job	job
,	,	,
go	go	go
to	to	to
college	colleg	college
and	and	and
get	get	get
married	marri	married
.	.	.
For	for	For
entire	entir	entire
story	stori	story
Life	life	Life
NewsPOWERFUL	newspow	NewsPOWERFUL
TESTIMONY	testimoni	TESTIMONY
Stephens	stephen	Stephens
testified	testifi	testified
before	befor	before
the	the	the
House	hous	House
Appropriations	appropri	Appropriations
Subcommittee	subcommitte	Subcommittee
on	on	on
Labor	labor	Labor
,	,	,
Health	health	Health
and	and	and
Human	human	Human
Services	servic	Services
,	,	,
Education	educ	Education
,	,	,
and	and	and
Related	relat	Related
Agencies	agenc	Agencies
to	to	to
discuss	discuss	discus
the	the	the
state	state	state
of	of	of
medical	medic	medical
research	research	research
on	on	on
Down	down	Down
syndrome	syndrom	syndrome
.	.	.
He	he	He
directly	direct	directly
addressed	address	addressed
those	those	those
who	who	who
believe	believ	believe
fetuses	fetus	fetus
diagnosed	diagnos	diagnosed
with	with	with
Down	down	Down
syndrome	syndrom	syndrome
should	should	should
be	be	be
aborted	abort	aborted
,	,	,
a	a	a
practice	practic	practice
common	common	common
in	in	in
some	some	some
countries	countri	country
such	such	such
as	as	a
Iceland	iceland	Iceland
and	and	and
Denmark	denmark	Denmark
.	.	.
Iceland	iceland	Iceland
is	is	is
close	close	close
to	to	to
eliminating	elimin	eliminating
Down	down	Down
syndrome	syndrom	syndrome
births	birth	birth
through	through	through
abortion	abort	abortion
.	.	.
Since	sinc	Since
the	the	the
introduction	introduct	introduction
of	of	of
prenatal	prenat	prenatal
screening	screen	screening
tests	test	test
to	to	to
the	the	the
country	countri	country
in	in	in
the	the	the
early	earli	early
2000s	2000s	2000s
,	,	,
close	close	close
to	to	to
100	100	100
percent	percent	percent
of	of	of
women	women	woman
whose	whose	whose
pregnancies	pregnanc	pregnancy
test	test	test
positive	posit	positive
for	for	for
Down	down	Down
syndrome	syndrom	syndrome
have	have	have
chosen	chosen	chosen
to	to	to
have	have	have
an	an	an
abortion	abort	abortion
.	.	.
Whatever	whatev	Whatever
you	you	you
learn	learn	learn
today	today	today
,	,	,
please	pleas	please
remember	rememb	remember
this	this	this
I	i	I
am	am	am
a	a	a
man	man	man
with	with	with
Down	down	Down
syndrome	syndrom	syndrome
and	and	and
my	my	my
life	life	life
is	is	is
worth	worth	worth
living	live	living
,	,	,
Stephens	stephen	Stephens
told	told	told
lawmakers	lawmak	lawmaker
on	on	on
the	the	the
committee	committe	committee
.	.	.
I	i	I
completely	complet	completely
understand	understand	understand
that	that	that
the	the	the
people	peopl	people
pushing	push	pushing
this	this	this
particular	particular	particular
final	final	final
solution	solut	solution
are	are	are
saying	say	saying
that	that	that
people	peopl	people
like	like	like
me	me	me
should	should	should
not	not	not
exist	exist	exist
,	,	,
Stephens	stephen	Stephens
said	said	said
.	.	.
That	that	That
view	view	view
is	is	is
deeply	deepli	deeply
prejudiced	prejud	prejudiced
by	by	by
an	an	an
outdated	outdat	outdated
idea	idea	idea
of	of	of
life	life	life
with	with	with
Down	down	Down
syndrome	syndrom	syndrome
.	.	.
Stephens	stephen	Stephens
mentioned	mention	mentioned
some	some	some
of	of	of
his	his	his
accomplishments	accomplish	accomplishment
,	,	,
including	includ	including
his	his	his
award	award	award
-winning	-win	-winning
film	film	film
and	and	and
television	televis	television
career	career	career
and	and	and
speaking	speak	speaking
tours	tour	tour
,	,	,
before	befor	before
joking	joke	joking
about	about	about
visiting	visit	visiting
the	the	the
White	white	White
House	hous	House
.	.	.
I	i	I
have	have	have
been	been	been
to	to	to
the	the	the
White	white	White
House	hous	House
twice	twice	twice
and	and	and
I	i	I
didn	didn	didn
t	t	t
have	have	have
to	to	to
jump	jump	jump
the	the	the
fence	fenc	fence
either	either	either
time	time	time
,	,	,
Stephens	stephen	Stephens
said	said	said
.	.	.
Seriously	serious	Seriously
,	,	,
I	i	I
don	don	don
t	t	t
feel	feel	feel
I	i	I
should	should	should
have	have	have
to	to	to
justify	justifi	justify
my	my	my
existence	exist	existence
,	,	,
he	he	he
added	ad	added
.	.	.
Is	is	Is
there	there	there
really	realli	really
no	no	no
place	place	place
for	for	for
us	us	u
in	in	in
the	the	the
world	world	world
?	?	?
Stephens	stephen	Stephens
then	then	then
spoke	spoke	spoke
about	about	about
how	how	how
Down	down	Down
syndrome	syndrom	syndrome
may	may	may
help	help	help
with	with	with
dementia	dementia	dementia
and	and	and
cancer	cancer	cancer
research	research	research
,	,	,
as	as	a
well	well	well
as	as	a
how	how	how
families	famili	family
with	with	with
someone	someon	someone
with	with	with
Down	down	Down
syndrome	syndrom	syndrome
are	are	are
happier	happier	happier
than	than	than
most	most	most
others	other	others
in	in	in
society	societi	society
.	.	.
Read	read	Read
more	more	more
WFB	wfb	WFB
