Al	al	Al
every	everi	every
vote	vote	vote
they	they	they
can	can	can
get	get	get
.	.	.
Trump	trump	Trump
s	s	s
biographer	biograph	biographer
,	,	,
Tony	toni	Tony
Schwartz	schwartz	Schwartz
,	,	,
who	who	who
was	was	wa
the	the	the
real	real	real
author	author	author
of	of	of
Trump	trump	Trump
s	s	s
The	the	The
Art	art	Art
of	of	of
the	the	the
Deal	deal	Deal
,	,	,
has	has	ha
hope	hope	hope
.	.	.

He	he	He
tweeted	tweet	tweeted
that	that	that
trump	trump	trump
will	will	will
resign	resign	resign
before	befor	before
the	the	the
end	end	end
of	of	of
the	the	the
year	year	year
.	.	.
The	the	The
circle	circl	circle
is	is	is
closing	close	closing
at	at	at
blinding	blind	blinding
speed	speed	speed
.	.	.

Trump	trump	Trump
is	is	is
going	go	going
to	to	to
resign	resign	resign
and	and	and
declare	declar	declare
victory	victori	victory
before	befor	before
Mueller	mueller	Mueller
and	and	and
congress	congress	congress
leave	leav	leave
him	him	him
no	no	no
choice	choic	choice
.	.	.

Tony	toni	Tony
Schwartz	schwartz	Schwartz
@tonyschwartz	@tonyschwartz	@tonyschwartz
August	august	August
16	16	16
,	,	,
2017Let	2017let	2017Let
s	s	s
hope	hope	hope
he	he	he
s	s	s
right	right	right
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
Neilson	neilson	Neilson
Barnard	barnard	Barnard
Getty	getti	Getty
Images	imag	Images

