Sometimes	sometim	Sometimes
race	race	race
,	,	,
gender	gender	gender
of	of	of
sexual	sexual	sexual
orientation	orient	orientation
would	would	would
tend	tend	tend
to	to	to
disagree	disagre	disagree
with	with	with
the	the	the
horrendous	horrend	horrendous
statements	statement	statement
both	both	both
Robertson	robertson	Robertson
and	and	and
Cruz	cruz	Cruz
regularly	regular	regularly
state	state	state
.	.	.
However	howev	However
,	,	,
it	it	it
is	is	is
not	not	not
at	at	at
all	all	all
surprising	surpris	surprising
that	that	that
Cruz	cruz	Cruz
would	would	would
pander	pander	pander
to	to	to
his	his	his
idiot	idiot	idiot
base	base	base
of	of	of
voters	voter	voter
with	with	with
such	such	such
a	a	a
moronic	moron	moronic
suggestion	suggest	suggestion
as	as	a
Robertson	robertson	Robertson
at	at	at
the	the	the
UN	un	UN
.	.	.
His	his	His
pandering	pander	pandering
knows	know	know
no	no	no
bounds	bound	bound
,	,	,
as	as	a
was	was	wa
evident	evid	evident
when	when	when
he	he	he
went	went	went
full	full	full
camo	camo	camo
in	in	in
Robertson	robertson	Robertson
s	s	s
official	offici	official
endorsement	endors	endorsement
of	of	of
him	him	him
.	.	.
Needless	needless	Needless
to	to	to
say	say	say
,	,	,
this	this	this
is	is	is
something	someth	something
we	we	we
should	should	should
not	not	not
fret	fret	fret
over	over	over
,	,	,
because	becaus	because
Ted	ted	Ted
Cruz	cruz	Cruz
will	will	will
not	not	not
be	be	be
president	presid	president
if	if	if
the	the	the
American	american	American
voters	voter	voter
have	have	have
anything	anyth	anything
to	to	to
say	say	say
about	about	about
it	it	it
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
flickr	flickr	flickr
