Gallup	gallup	Gallup
he	he	he
will	will	will
be	be	be
good	good	good
for	for	for
country	countri	country
.	.	.
However	howev	However
,	,	,
the	the	the
majority	major	majority
of	of	of
respondents	respond	respondent
are	are	are
somehow	somehow	somehow
optimistic	optimist	optimistic
about	about	about
his	his	his
presidency	presid	presidency
,	,	,
and	and	and
think	think	think
he	he	he
will	will	will
be	be	be
good	good	good
for	for	for
the	the	the
economy	economi	economy
they	they	they
probably	probabl	probably
haven	haven	haven
t	t	t
heard	heard	heard
about	about	about
his	his	his
20	20	20
percent	percent	percent
tariff	tariff	tariff
on	on	on
Mexican	mexican	Mexican
imports	import	import
.	.	.
Tim	tim	Tim
Malloy	malloy	Malloy
,	,	,
assistant	assist	assistant
director	director	director
of	of	of
the	the	the
Quinnipiac	quinnipiac	Quinnipiac
University	univers	University
Poll	poll	Poll
,	,	,
said	said	said
Stumbling	stumbl	Stumbling
out	out	out
of	of	of
the	the	the
blocks	block	block
,	,	,
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
is	is	is
considered	consid	considered
a	a	a
divider	divid	divider
not	not	not
a	a	a
uniter	unit	uniter
,	,	,
flunking	flunk	flunking
on	on	on
honesty	honesti	honesty
,	,	,
empathy	empathi	empathy
and	and	and
level	level	level
headedness	headed	headedness
,	,	,
while	while	while
his	his	his
predecessor	predecessor	predecessor
sees	see	see
his	his	his
legacy	legaci	legacy
burnished	burnish	burnished
by	by	by
better	better	better
and	and	and
better	better	better
numbers	number	number
every	everi	every
polling	poll	polling
cycle	cycl	cycle
.	.	.
But	but	But
voters	voter	voter
are	are	are
optimistic	optimist	optimistic
in	in	in
general	general	general
and	and	and
confident	confid	confident
he	he	he
will	will	will
help	help	help
the	the	the
economy	economi	economy
.	.	.
Being	be	Being
unfavorably	unfavor	unfavorably
compared	compar	compared
to	to	to
President	presid	President
Obama	obama	Obama
will	will	will
no	no	no
doubt	doubt	doubt
hurt	hurt	hurt
Trump	trump	Trump
s	s	s
fragile	fragil	fragile
,	,	,
thin	thin	thin
-skinned	-skin	-skinned
ego	ego	ego
.	.	.
The	the	The
American	american	American
people	peopl	people
are	are	are
not	not	not
liking	like	liking
what	what	what
they	they	they
re	re	re
seeing	see	seeing
from	from	from
the	the	the
authoritarian	authoritarian	authoritarian
-in-chief	-in-chief	-in-chief
.	.	.
Judging	judg	Judging
by	by	by
how	how	how
it	it	it
s	s	s
going	go	going
right	right	right
now	now	now
,	,	,
it	it	it
will	will	will
only	onli	only
continue	continu	continue
to	to	to
get	get	get
worse	wors	worse
.	.	.
So	so	So
far	far	far
,	,	,
Trump	trump	Trump
has	has	ha
signaled	signal	signaled
that	that	that
he	he	he
has	has	ha
no	no	no
desire	desir	desire
whatsoever	whatsoev	whatsoever
to	to	to
change	chang	change
his	his	his
ways	way	way
.	.	.
We	we	We
re	re	re
stuck	stuck	stuck
with	with	with
a	a	a
fact	fact	fact
-suppressing	-suppress	-suppressing
,	,	,
executive	execut	executive
-order	-order	-order
signing	sign	signing
,	,	,
loudmouthed	loudmouth	loudmouthed
fascist	fascist	fascist
for	for	for
the	the	the
foreseeable	forese	foreseeable
future	futur	future
.	.	.
Featured	featur	Featured
image	imag	image
by	by	by
Alex	alex	Alex
Wong	wong	Wong
via	via	via
Getty	getti	Getty
Images	imag	Images
