Republican	republican	Republican
support	support	support
?	?	?

Trump	trump	Trump
said	said	said
Well	well	Well
,	,	,
I	i	I
have	have	have
to	to	to
look	look	look
at	at	at
the	the	the
group	group	group
.	.	.

I	i	I
mean	mean	mean
,	,	,
I	i	I
don	don	don
t	t	t
know	know	know
what	what	what
group	group	group
you	you	you
re	re	re
talking	talk	talking
about	about	about
.	.	.

You	you	You
wouldn	wouldn	wouldn
t	t	t
want	want	want
me	me	me
to	to	to
condemn	condemn	condemn
a	a	a
group	group	group
that	that	that
I	i	I
know	know	know
nothing	noth	nothing
about	about	about
.	.	.

I	i	I
d	d	d
have	have	have
to	to	to
look	look	look
.	.	.

If	if	If
you	you	you
would	would	would
send	send	send
me	me	me
a	a	a
list	list	list
of	of	of
the	the	the
groups	group	group
,	,	,
I	i	I
will	will	will
do	do	do
research	research	research
on	on	on
them	them	them
,	,	,
and	and	and
certainly	certain	certainly
I	i	I
would	would	would
disavow	disavow	disavow
if	if	if
I	i	I
thought	thought	thought
that	that	that
there	there	there
was	was	wa
something	someth	something
wrong	wrong	wrong
.	.	.

The	the	The
Ku	ku	Ku
Klux	klux	Klux
Klan	klan	Klan
,	,	,
Tapper	tapper	Tapper
interrupted	interrupt	interrupted
.	.	.

Trump	trump	Trump
replied	repli	replied
You	you	You
may	may	may
have	have	have
some	some	some
groups	group	group
in	in	in
there	there	there
that	that	that
are	are	are
totally	total	totally
fine	fine	fine
,	,	,
and	and	and
it	it	it
would	would	would
be	be	be
very	veri	very
unfair	unfair	unfair
.	.	.

So	so	So
,	,	,
give	give	give
me	me	me
a	a	a
list	list	list
of	of	of
groups	group	group
and	and	and
I	i	I
ll	ll	ll
let	let	let
you	you	you
know	know	know
.	.	.

Okay	okay	Okay
,	,	,
I	i	I
m	m	m
just	just	just
talking	talk	talking
about	about	about
David	david	David
Duke	duke	Duke
and	and	and
the	the	the
Ku	ku	Ku
Klux	klux	Klux
Klan	klan	Klan
here	here	here
,	,	,
said	said	said
Tapper	tapper	Tapper
.	.	.

Honestly	honest	Honestly
,	,	,
I	i	I
don	don	don
t	t	t
know	know	know
David	david	David
Duke	duke	Duke
,	,	,
Trump	trump	Trump
remarked	remark	remarked
.	.	.

I	i	I
don	don	don
t	t	t
believe	believ	believe
I	i	I
ve	ve	ve
ever	ever	ever
met	met	met
him	him	him
.	.	.

I	i	I
m	m	m
pretty	pretti	pretty
sure	sure	sure
I	i	I
didn	didn	didn
t	t	t
meet	meet	meet
him	him	him
,	,	,
and	and	and
I	i	I
just	just	just
don	don	don
t	t	t
know	know	know
anything	anyth	anything
about	about	about
him	him	him
.	.	.

To	to	To
claim	claim	claim
ignorance	ignor	ignorance
is	is	is
Trump	trump	Trump
s	s	s
way	way	way
of	of	of
dodging	dodg	dodging
the	the	the
question	question	question
.	.	.

Trump	trump	Trump
knows	know	know
that	that	that
the	the	the
majority	major	majority
of	of	of
his	his	his
supporters	support	supporter
are	are	are
racists	racist	racist
and	and	and
as	as	a
is	is	is
typical	typic	typical
of	of	of
a	a	a
politician	politician	politician
,	,	,
you	you	you
don	don	don
t	t	t
want	want	want
to	to	to
upset	upset	upset
your	your	your
supporters	support	supporter
.	.	.

Thus	thus	Thus
,	,	,
he	he	he
s	s	s
remained	remain	remained
hush	hush	hush
hush	hush	hush
on	on	on
the	the	the
overwhelming	overwhelm	overwhelming
support	support	support
he	he	he
s	s	s
received	receiv	received
from	from	from
racists	racist	racist
around	around	around
the	the	the
country	countri	country
.	.	.
Trump	trump	Trump
has	has	ha
succeeded	succeed	succeeded
in	in	in
normalizing	normal	normalizing
bigotry	bigotri	bigotry
and	and	and
hatred	hatr	hatred
for	for	for
minorities	minor	minority
.	.	.

It	it	It
s	s	s
going	go	going
to	to	to
be	be	be
up	up	up
to	to	to
each	each	each
of	of	of
us	us	u
,	,	,
should	should	should
he	he	he
become	becom	become
the	the	the
Republican	republican	Republican
nominee	nomine	nominee
,	,	,
to	to	to
go	go	go
out	out	out
and	and	and
vote	vote	vote
against	against	against
him	him	him
in	in	in
the	the	the
general	general	general
election	elect	election
.	.	.

Featured	featur	Featured
image	imag	image
via	via	via
screen	screen	screen
capture	captur	capture
.	.	.

