According	accord	According
It	it	It
can	can	can
t	t	t
be	be	be
leaked	leak	leaked
information	inform	information
and	and	and
fake	fake	fake
news	news	news
.	.	.
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
yesterday	yesterday	yesterday
you	you	you
were	were	were
saying	say	saying
it	it	it
was	was	wa
leaked	leak	leaked
information	inform	information
.	.	.
It	it	It
can	can	can
t	t	t
be	be	be
leaked	leak	leaked
information	inform	information
and	and	and
fake	fake	fake
news	news	news
.	.	.
Matt	matt	Matt
Haig	haig	Haig
@matthaig1	@matthaig1	@matthaig1
February	februari	February
16	16	16
,	,	,
2017	2017	2017
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
You	you	You
know	know	know
what	what	what
s	s	s
not	not	not
fake	fake	fake
news	news	news
?	?	?
Your	your	Your
approval	approv	approval
rating	rate	rating
https://t.co/MOjPG26MIu	https://t.co/mojpg26miu	https://t.co/MOjPG26MIu
Brandon	brandon	Brandon
Neely	neeli	Neely
@BrandonTXNeely	@brandontxne	@BrandonTXNeely
February	februari	February
16	16	16
,	,	,
2017	2017	2017
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
You	you	You
should	should	should
release	releas	release
your	your	your
taxes	tax	tax
to	to	to
prove	prove	prove
to	to	to
the	the	the
Dems	dem	Dems
and	and	and
failing	fail	failing
lying	lie	lying
media	media	medium
you	you	you
have	have	have
ZERO	zero	ZERO
financial	financi	financial
entanglement	entangl	entanglement
with	with	with
Russia	russia	Russia
Evan	evan	Evan
Dashevsky	dashevski	Dashevsky
@haldash	@haldash	@haldash
February	februari	February
16	16	16
,	,	,
2017	2017	2017
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
#TrumpLied?	#trumplied?	#TrumpLied?
#FlynnGhazi	#flynnghazi	#FlynnGhazi
#RiggedElection	#riggedelect	#RiggedElection
#WaterGate	#waterg	#WaterGate
#maddow	#maddow	#maddow
pic.twitter.com/k2NYaW8e3B	pic.twitter.com/k2nyaw8e3b	pic.twitter.com/k2NYaW8e3B
Diva	diva	Diva
@sammypolsen12	@sammypolsen12	@sammypolsen12
February	februari	February
16	16	16
,	,	,
2017	2017	2017
.	.	.
@mikd33	@mikd33	@mikd33
@jules_su	@jules_su	@jules_su
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
General	general	General
Mattisjust	mattisjust	Mattisjust
CONFIRMED	confirm	CONFIRMED
Russian	russian	Russian
involvement	involv	involvement
in	in	in
election	elect	election
.	.	.
You	you	You
gonna	gonna	gonna
ask	ask	ask
for	for	for
HIS	his	HIS
resignation	resign	resignation
too	too	too
?	?	?
JustJanis	justjani	JustJanis
@jsavite	@jsavit	@jsavite
February	februari	February
16	16	16
,	,	,
2017	2017	2017
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
but	but	but
the	the	the
FBI	fbi	FBI
isn	isn	isn
t	t	t
the	the	the
democrats	democrat	democrat
Brandon	brandon	Brandon
Keating	keat	Keating
@BrandonTalks	@brandontalk	@BrandonTalks
February	februari	February
16	16	16
,	,	,
2017	2017	2017
.	.	.
@mikd33	@mikd33	@mikd33
@jules_su	@jules_su	@jules_su
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
General	general	General
Mattisjust	mattisjust	Mattisjust
CONFIRMED	confirm	CONFIRMED
Russian	russian	Russian
involvement	involv	involvement
in	in	in
election	elect	election
.	.	.
You	you	You
gonna	gonna	gonna
ask	ask	ask
for	for	for
HIS	his	HIS
resignation	resign	resignation
too	too	too
?	?	?
JustJanis	justjani	JustJanis
@jsavite	@jsavit	@jsavite
February	februari	February
16	16	16
,	,	,
2017	2017	2017
.	.	.
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
Russia	russia	Russia
,	,	,
if	if	if
you	you	you
re	re	re
listening	listen	listening
,	,	,
I	i	I
hope	hope	hope
you	you	you
re	re	re
able	abl	able
to	to	to
find	find	find
the	the	the
30	30	30
,	,	,
000	000	000
emails	email	email
that	that	that
are	are	are
missing	miss	missing
.	.	.
https://t.co/3tMzMn2EN6	https://t.co/3tmzmn2en6	https://t.co/3tMzMn2EN6
Shannon	shannon	Shannon
Watts	watt	Watts
@shannonrwatts	@shannonrwatt	@shannonrwatts
February	februari	February
16	16	16
,	,	,
2017	2017	2017
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
You	you	You
have	have	have
literally	liter	literally
fired	fire	fired
3	3	3
advisors	advisor	advisor
because	becaus	because
of	of	of
their	their	their
ties	tie	tie
to	to	to
Russia	russia	Russia
.	.	.
The	the	The
only	onli	only
fake	fake	fake
news	news	news
is	is	is
you	you	you
being	be	being
a	a	a
legitimate	legitim	legitimate
president	presid	president
Matthew	matthew	Matthew
A	a	A
.	.	.
Cherry	cherri	Cherry
@MatthewACherry	@matthewacherri	@MatthewACherry
February	februari	February
16	16	16
,	,	,
2017	2017	2017
You	you	You
fuck	fuck	fuck
nut	nut	nut
.	.	.
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
you	you	you
fuck	fuck	fuck
nut	nut	nut
nicholasstoller	nicholasstol	nicholasstoller
?	?	?
?	?	?
@nicholasstoller	@nicholasstol	@nicholasstoller
February	februari	February
16	16	16
,	,	,
2017Trump	2017trump	2017Trump
won	won	won
t	t	t
even	even	even
take	take	take
questions	question	question
about	about	about
Flynnghazi	flynnghazi	Flynnghazi
from	from	from
reporters	report	reporter
.	.	.
And	and	And
by	by	by
the	the	the
way	way	way
,	,	,
there	there	there
s	s	s
a	a	a
Russian	russian	Russian
spy	spi	spy
ship	ship	ship
patrolling	patrol	patrolling
off	off	off
the	the	the
coast	coast	coast
of	of	of
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
Presently	present	Presently
,	,	,
it	it	it
s	s	s
near	near	near
Virginia	virginia	Virginia
.	.	.
So	so	So
naturally	natur	naturally
,	,	,
Trump	trump	Trump
is	is	is
planning	plan	planning
to	to	to
hold	hold	hold
a	a	a
rally	ralli	rally
in	in	in
Florida	florida	Florida
.	.	.
Photo	photo	Photo
by	by	by
Isaac	isaac	Isaac
Brekken	brekken	Brekken
Getty	getti	Getty
Images	imag	Images
with	with	with
added	ad	added
tweet	tweet	tweet
.	.	.
