Before	befor	Before
party	parti	party
s	s	s
history	histori	history
We	we	We
re	re	re
going	go	going
to	to	to
hold	hold	hold
everyone	everyon	everyone
accountable	account	accountable
and	and	and
make	make	make
sure	sure	sure
Democrats	democrat	Democrats
have	have	have
to	to	to
answer	answer	answer
to	to	to
the	the	the
American	american	American
people	peopl	people
for	for	for
why	whi	why
they	they	they
don	don	don
t	t	t
want	want	want
voters	voter	voter
to	to	to
have	have	have
a	a	a
say	say	say
in	in	in
this	this	this
process	process	process
.	.	.
What	what	What
s	s	s
really	realli	really
clear	clear	clear
here	here	here
is	is	is
just	just	just
how	how	how
delusional	delusion	delusional
the	the	the
Republican	republican	Republican
Party	parti	Party
is	is	is
.	.	.
They	they	They
keep	keep	keep
saying	say	saying
that	that	that
the	the	the
want	want	want
to	to	to
make	make	make
sure	sure	sure
we	we	we
have	have	have
a	a	a
voice	voic	voice
in	in	in
this	this	this
process	process	process
as	as	a
if	if	if
we	we	we
don	don	don
t	t	t
already	alreadi	already
.	.	.
When	when	When
we	we	we
elected	elect	elected
and	and	and
re	re	re
-elected	-elect	-elected
Barack	barack	Barack
Obama	obama	Obama
we	we	we
did	did	did
so	so	so
with	with	with
the	the	the
full	full	full
knowledge	knowledg	knowledge
that	that	that
he	he	he
would	would	would
have	have	have
the	the	the
responsibility	respons	responsibility
to	to	to
pick	pick	pick
a	a	a
Supreme	suprem	Supreme
Court	court	Court
justice	justic	justice
if	if	if
a	a	a
seat	seat	seat
opened	open	opened
up	up	up
.	.	.
We	we	We
expect	expect	expect
him	him	him
to	to	to
fill	fill	fill
the	the	the
vacancies	vacanc	vacancy
in	in	in
the	the	the
court	court	court
and	and	and
uphold	uphold	uphold
the	the	the
checks	check	check
and	and	and
balances	balanc	balance
that	that	that
our	our	our
founding	found	founding
fathers	father	father
thought	thought	thought
were	were	were
so	so	so
important	import	important
.	.	.
We	we	We
elected	elect	elected
him	him	him
with	with	with
the	the	the
understanding	understand	understanding
that	that	that
he	he	he
would	would	would
be	be	be
president	presid	president
for	for	for
eight	eight	eight
years	year	year
,	,	,
not	not	not
seven	seven	seven
.	.	.
Furthermore	furthermor	Furthermore
,	,	,
I	i	I
ve	ve	ve
heard	heard	heard
the	the	the
GOP	gop	GOP
call	call	call
him	him	him
a	a	a
lame	lame	lame
duck	duck	duck
president	presid	president
even	even	even
though	though	though
it	it	it
is	is	is
only	onli	only
March	march	March
of	of	of
his	his	his
last	last	last
year	year	year
.	.	.
A	a	A
lame	lame	lame
duck	duck	duck
president	presid	president
is	is	is
not	not	not
at	at	at
all	all	all
what	what	what
they	they	they
seem	seem	seem
to	to	to
think	think	think
it	it	it
is	is	is
.	.	.
According	accord	According
to	to	to
Merriam	merriam	Merriam
-Webster	-webster	-Webster
a	a	a
lame	lame	lame
duck	duck	duck
is	is	is
an	an	an
elected	elect	elected
official	offici	official
or	or	or
group	group	group
continuing	continu	continuing
to	to	to
hold	hold	hold
political	polit	political
office	offic	office
during	dure	during
the	the	the
period	period	period
between	between	between
the	the	the
election	elect	election
and	and	and
the	the	the
inauguration	inaugur	inauguration
of	of	of
a	a	a
successor	successor	successor
.	.	.
President	presid	President
Obama	obama	Obama
will	will	will
not	not	not
be	be	be
a	a	a
lame	lame	lame
duck	duck	duck
until	until	until
after	after	after
we	we	we
pick	pick	pick
a	a	a
new	new	new
commander	command	commander
-in-chief	-in-chief	-in-chief
in	in	in
November	novemb	November
.	.	.
So	so	So
,	,	,
even	even	even
by	by	by
their	their	their
very	veri	very
own	own	own
statements	statement	statement
,	,	,
he	he	he
has	has	ha
an	an	an
absolute	absolut	absolute
right	right	right
to	to	to
pick	pick	pick
the	the	the
next	next	next
justice	justic	justice
for	for	for
the	the	the
Supreme	suprem	Supreme
Court	court	Court
.	.	.
Of	of	Of
course	cours	course
,	,	,
it	it	it
is	is	is
the	the	the
GOP	gop	GOP
we	we	we
are	are	are
talking	talk	talking
about	about	about
and	and	and
they	they	they
seem	seem	seem
to	to	to
just	just	just
make	make	make
shit	shit	shit
up	up	up
as	as	a
they	they	they
go	go	go
along	along	along
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
Wikimedia	wikimedia	Wikimedia
Obama	obama	Obama
Flickr	flickr	Flickr
Priebus	priebus	Priebus
