First	first	First
the	the	the
left	left	left
side	side	side
of	of	of
the	the	the
Democratic	democrat	Democratic
Party	parti	Party
that	that	that
would	would	would
like	like	like
to	to	to
see	see	see
you	you	you
ousted	oust	ousted
as	as	a
leader	leader	leader
.	.	.
Pelosi	pelosi	Pelosi
is	is	is
clearly	clear	clearly
hanging	hang	hanging
on	on	on
to	to	to
her	her	her
leadership	leadership	leadership
by	by	by
a	a	a
thread	thread	thread
and	and	and
continues	continu	continues
to	to	to
deny	deni	deny
the	the	the
rift	rift	rift
in	in	in
the	the	the
party	parti	party
.	.	.
Delusional	delusion	Delusional
?	?	?
Oh	oh	Oh
Boy	boy	Boy
!	!	!
Then	then	Then
Reid	reid	Reid
asked	ask	asked
If	if	If
the	the	the
Democrats	democrat	Democrats
were	were	were
to	to	to
retake	retak	retake
the	the	the
House	hous	House
,	,	,
do	do	do
you	you	you
foresee	forese	foresee
a	a	a
challenge	challeng	challenge
to	to	to
your	your	your
leadership	leadership	leadership
?	?	?
Pelosi	pelosi	Pelosi
disagreed	disagre	disagreed
and	and	and
defended	defend	defended
her	her	her
continued	continu	continued
leadership	leadership	leadership
With	with	With
all	all	all
due	due	due
respect	respect	respect
,	,	,
I	i	I
disagree	disagre	disagree
with	with	with
your	your	your
characterization	character	characterization
.	.	.
I	i	I
have	have	have
overwhelming	overwhelm	overwhelming
support	support	support
of	of	of
my	my	my
caucus	caucus	caucus
.	.	.
There	there	There
are	are	are
some	some	some
people	peopl	people
there	there	there
who	who	who
disagree	disagre	disagree
with	with	with
me	me	me
,	,	,
and	and	and
that	that	that
s	s	s
OK	ok	OK
,	,	,
but	but	but
I	i	I
would	would	would
not	not	not
say	say	say
that	that	that
it	it	it
s	s	s
a	a	a
challenge	challeng	challenge
from	from	from
the	the	the
left	left	left
,	,	,
because	becaus	because
I	i	I
am	am	am
on	on	on
the	the	the
left	left	left
.	.	.
It	it	It
gets	get	get
better	better	better
she	she	she
takes	take	take
a	a	a
swipe	swipe	swipe
at	at	at
any	ani	any
challengers	challeng	challenger
to	to	to
her	her	her
leadership	leadership	leadership
by	by	by
saying	say	saying
it	it	it
s	s	s
about	about	about
others	other	others
ambition	ambit	ambition
Yikes	yike	Yikes
!	!	!
She	she	She
s	s	s
not	not	not
going	go	going
down	down	down
without	without	without
a	a	a
fight	fight	fight
!	!	!
Several	sever	Several
Democrats	democrat	Democrats
have	have	have
called	call	called
for	for	for
Pelosi	pelosi	Pelosi
to	to	to
step	step	step
down	down	down
and	and	and
MSNBC	msnbc	MSNBC
called	call	called
the	the	the
situation	situat	situation
an	an	an
ugly	ugli	ugly
divide	divid	divide
in	in	in
the	the	the
party	parti	party
.	.	.
We	we	We
think	think	think
her	her	her
time	time	time
has	has	ha
come	come	come
and	and	and
gone	gone	gone
but	but	but
we	we	we
re	re	re
with	with	with
President	presid	President
Trump	trump	Trump
KEEP	keep	KEEP
HER	her	HER
!	!	!
SHE	she	SHE
S	s	S
GREAT	great	GREAT
FOR	for	FOR
THE	the	THE
GOP	gop	GOP
!	!	!
HERE	here	HERE
S	s	S
ANOTHER	anoth	ANOTHER
RECENT	recent	RECENT
MENTION	mention	MENTION
TO	to	TO
PELOSI	pelosi	PELOSI
ABOUT	about	ABOUT
STEPPING	step	STEPPING
DOWN	down	DOWN
WOW	wow	WOW
!	!	!
Nancy	nanci	Nancy
Pelosi	pelosi	Pelosi
can	can	can
t	t	t
keep	keep	keep
a	a	a
train	train	train
of	of	of
thought	thought	thought
going	go	going
for	for	for
more	more	more
than	than	than
a	a	a
few	few	few
seconds	second	second
.	.	.
She	she	She
stumbles	stumbl	stumble
over	over	over
her	her	her
own	own	own
words	word	word
and	and	and
can	can	can
t	t	t
remember	rememb	remember
what	what	what
she	she	she
just	just	just
said	said	said
.	.	.
She	she	She
gets	get	get
really	realli	really
irritated	irrit	irritated
with	with	with
Meghan	meghan	Meghan
McCain	mccain	McCain
who	who	who
pointed	point	pointed
out	out	out
there	there	there
s	s	s
a	a	a
divide	divid	divide
in	in	in
the	the	the
Democrat	democrat	Democrat
Party	parti	Party
.	.	.
She	she	She
claims	claim	claim
that	that	that
,	,	,
This	this	This
is	is	is
our	our	our
turn	turn	turn
!	!	!
SHE	she	SHE
S	s	S
BANANAS	banana	BANANAS
!	!	!
MEGHAN	meghan	MEGHAN
MCCAIN	mccain	MCCAIN
,	,	,
CO	co	CO
-HOST	-host	-HOST
THE	the	THE
VIEW	view	VIEW
There	there	There
s	s	s
a	a	a
fracture	fractur	fracture
in	in	in
your	your	your
party	parti	party
,	,	,
like	like	like
mine	mine	mine
.	.	.
There	there	There
were	were	were
people	peopl	people
like	like	like
Tim	tim	Tim
Ryan	ryan	Ryan
that	that	that
were	were	were
calling	call	calling
you	you	you
to	to	to
step	step	step
down	down	down
and	and	and
asking	ask	asking
for	for	for
new	new	new
blood	blood	blood
.	.	.
I	i	I
don	don	don
t	t	t
think	think	think
it	it	it
s	s	s
gender	gender	gender
,	,	,
look	look	look
at	at	at
the	the	the
Bernie	berni	Bernie
supporters	support	supporter
versus	versus	versus
Hillary	hillari	Hillary
supporters	support	supporter
.	.	.
PELOSI	pelosi	PELOSI
Let	let	Let
me	me	me
,	,	,
with	with	with
all	all	all
due	due	due
respect	respect	respect
,	,	,
disagree	disagre	disagree
with	with	with
you	you	you
.	.	.
There	there	There
is	is	is
not	not	not
a	a	a
fracture	fractur	fracture
in	in	in
our	our	our
party	parti	party
similar	similar	similar
to	to	to
what	what	what
s	s	s
happening	happen	happening
to	to	to
the	the	the
Republican	republican	Republican
party	parti	party
.	.	.
It	it	It
s	s	s
always	alway	always
been	been	been
a	a	a
dynamic	dynam	dynamic
party	parti	party
.	.	.
That	that	That
s	s	s
the	the	the
vitality	vital	vitality
of	of	of
it	it	it
.	.	.
You	you	You
name	name	name
people	peopl	people
that	that	that
want	want	want
me	me	me
to	to	to
step	step	step
down	down	down
,	,	,
and	and	and
I	i	I
can	can	can
name	name	name
you	you	you
people	peopl	people
in	in	in
my	my	my
caucus	caucus	caucus
that	that	that
want	want	want
me	me	me
to	to	to
stay	stay	stay
.	.	.
If	if	If
Hillary	hillari	Hillary
had	had	had
won	won	won
and	and	and
dealt	dealt	dealt
with	with	with
things	thing	thing
like	like	like
Medicaid	medicaid	Medicaid
,	,	,
MediCare	medicar	MediCare
and	and	and
Affordable	afford	Affordable
Care	care	Care
Act	act	Act
I	i	I
had	had	had
an	an	an
important	import	important
role	role	role
in	in	in
passing	pass	passing
that	that	that
I	i	I
had	had	had
a	a	a
responsibly	respons	responsibly
to	to	to
protect	protect	protect
that	that	that
.	.	.
I	i	I
feel	feel	feel
very	veri	very
confident	confid	confident
in	in	in
what	what	what
I	i	I
m	m	m
doing	do	doing
and	and	and
the	the	the
support	support	support
I	i	I
have	have	have
.	.	.
Please	pleas	Please
don	don	don
t	t	t
think	think	think
it	it	it
s	s	s
anything	anyth	anything
like	like	like
the	the	the
fracture	fractur	fracture
that	that	that
is	is	is
in	in	in
the	the	the
Republican	republican	Republican
party	parti	party
.	.	.
MCCAIN	mccain	MCCAIN
It	it	It
hasn	hasn	hasn
t	t	t
stopped	stop	stopped
us	us	u
from	from	from
winning	win	winning
.	.	.
President	presid	President
Trump	trump	Trump
is	is	is
in	in	in
the	the	the
White	white	White
House	hous	House
.	.	.
There	there	There
s	s	s
a	a	a
break	break	break
down	down	down
someplace	someplac	someplace
.	.	.
PELOSI	pelosi	PELOSI
This	this	This
is	is	is
our	our	our
turn	turn	turn
.	.	.
This	this	This
is	is	is
the	the	the
first	first	first
time	time	time
since	sinc	since
2006	2006	2006
when	when	when
we	we	we
won	won	won
the	the	the
Congress	congress	Congress
,	,	,
and	and	and
I	i	I
was	was	wa
the	the	the
leader	leader	leader
at	at	at
the	the	the
time	time	time
.	.	.
This	this	This
is	is	is
the	the	the
first	first	first
time	time	time
the	the	the
House	hous	House
,	,	,
congressional	congression	congressional
Chuck	chuck	Chuck
and	and	and
I	i	I
,	,	,
we	we	we
are	are	are
the	the	the
ones	one	one
communicating	communic	communicating
with	with	with
the	the	the
American	american	American
people	peopl	people
on	on	on
this	this	this
.	.	.
We	we	We
have	have	have
a	a	a
better	better	better
deal	deal	deal
,	,	,
better	better	better
jobs	job	job
,	,	,
better	better	better
future	futur	future
for	for	for
the	the	the
American	american	American
people	peopl	people
.	.	.
We	we	We
feel	feel	feel
comfortable	comfort	comfortable
with	with	with
that	that	that
.	.	.
We	we	We
have	have	have
to	to	to
get	get	get
the	the	the
message	messag	message
across	across	across
.	.	.
It	it	It
s	s	s
one	one	one
thing	thing	thing
to	to	to
have	have	have
a	a	a
message	messag	message
.	.	.
It	it	It
s	s	s
another	anoth	another
thing	thing	thing
to	to	to
connect	connect	connect
.	.	.
