As	as	As
roughly	rough	roughly
465	465	465
million	million	million
off	off	off
target	target	target
.	.	.
Still	still	Still
,	,	,
the	the	the
Clinton	clinton	Clinton
machine	machin	machine
is	is	is
dominating	domin	dominating
Republicans	republican	Republicans
in	in	in
fundraising	fundrais	fundraising
,	,	,
not	not	not
just	just	just
for	for	for
the	the	the
presidential	presidenti	presidential
candidate	candid	candidate
,	,	,
but	but	but
for	for	for
everyone	everyon	everyone
else	els	else
involved	involv	involved
.	.	.
Clinton	clinton	Clinton
is	is	is
serious	serious	serious
about	about	about
getting	get	getting
stuff	stuff	stuff
done	done	done
she	she	she
knows	know	know
her	her	her
policies	polici	policy
will	will	will
be	be	be
pie	pie	pie
-in-the-sky	-in-the-ski	-in-the-sky
without	without	without
support	support	support
from	from	from
Congress	congress	Congress
.	.	.

So	so	So
what	what	what
does	doe	doe
she	she	she
do	do	do
?	?	?

She	she	She
raises	rais	raise
more	more	more
money	money	money
for	for	for
other	other	other
Democrats	democrat	Democrats
than	than	than
she	she	she
does	doe	doe
for	for	for
herself	herself	herself
.	.	.

Trump	trump	Trump
,	,	,
on	on	on
the	the	the
other	other	other
hand	hand	hand
,	,	,
hoards	hoard	hoard
the	the	the
money	money	money
for	for	for
himself	himself	himself
while	while	while
he	he	he
s	s	s
a	a	a
billionaire	billionair	billionaire
.	.	.

See	see	See
how	how	how
that	that	that
concentration	concentr	concentration
of	of	of
wealth	wealth	wealth
screws	screw	screw
everyone	everyon	everyone
over	over	over
,	,	,
Republicans	republican	Republicans
?	?	?

Ironic	iron	Ironic
,	,	,
isn	isn	isn
t	t	t
it	it	it
.	.	.
Featured	featur	Featured
image	imag	image
Justin	justin	Justin
Sullivan	sullivan	Sullivan
Getty	getti	Getty
Images	imag	Images

