During	dure	During
before	befor	before
Michelle	michell	Michelle
finally	final	finally
responded	respond	responded
,	,	,
And	and	And
also	also	also
to	to	to
our	our	our
military	militari	military
families	famili	family
I	i	I
ve	ve	ve
got	got	got
the	the	the
peanut	peanut	peanut
gallery	galleri	gallery
back	back	back
here	here	here
remaining	remain	remaining
me	me	me
of	of	of
stuff	stuff	stuff
.	.	.
Laughs	laugh	Laughs
Our	our	Our
theme	theme	theme
this	this	this
year	year	year
,	,	,
in	in	in
our	our	our
final	final	final
year	year	year
is	is	is
pretty	pretti	pretty
simple	simpl	simple
,	,	,
it	it	it
s	s	s
Let	let	Let
s	s	s
celebrate	celebr	celebrate
.	.	.
Let	let	Let
s	s	s
celebrate	celebr	celebrate
all	all	all
the	the	the
good	good	good
work	work	work
that	that	that
we	we	we
ve	ve	ve
done	done	done
,	,	,
all	all	all
the	the	the
great	great	great
messaging	messag	messaging
that	that	that
we	we	we
ve	ve	ve
had	had	had
,	,	,
all	all	all
the	the	the
amazing	amaz	amazing
change	chang	change
that	that	that
we	we	we
ve	ve	ve
seen	seen	seen
in	in	in
this	this	this
country	countri	country
.	.	.
