On	on	On
demands	demand	demand
to	to	to
see	see	see
the	the	the
warrant	warrant	warrant
.	.	.
The	the	The
officer	offic	officer
then	then	then
starts	start	start
counting	count	counting
down	down	down
,	,	,
three	three	three
two	two	two
one	one	one
.	.	.

They	they	They
tase	tase	tase
him	him	him
twice	twice	twice
,	,	,
dragging	drag	dragging
him	him	him
out	out	out
of	of	of
the	the	the
vehicle	vehicl	vehicle
and	and	and
slapping	slap	slapping
handcuffs	handcuff	handcuff
on	on	on
him	him	him
.	.	.

All	all	All
the	the	the
while	while	while
Mumford	mumford	Mumford
is	is	is
insisting	insist	insisting
there	there	there
is	is	is
no	no	no
warrant	warrant	warrant
for	for	for
his	his	his
arrest	arrest	arrest
.	.	.

How	how	How
can	can	can
I	i	I
have	have	have
a	a	a
warrant	warrant	warrant
and	and	and
my	my	my
probation	probat	probation
officer	offic	officer
not	not	not
tell	tell	tell
me	me	me
?	?	?

he	he	he
asks	ask	asks
.	.	.
At	at	At
this	this	this
point	point	point
,	,	,
the	the	the
cops	cop	cop
finally	final	finally
get	get	get
around	around	around
to	to	to
checking	check	checking
his	his	his
identification	identif	identification
.	.	.

They	they	They
quickly	quick	quickly
realize	realiz	realize
that	that	that
Mumford	mumford	Mumford
is	is	is
not	not	not
the	the	the
man	man	man
they	they	they
were	were	were
looking	look	looking
for	for	for
and	and	and
immediately	immedi	immediately
begin	begin	begin
to	to	to
try	tri	try
to	to	to
cover	cover	cover
their	their	their
own	own	own
asses	ass	ass
.	.	.
One	one	One
of	of	of
the	the	the
officers	offic	officer
can	can	can
be	be	be
heard	heard	heard
insisting	insist	insisting
to	to	to
the	the	the
crowd	crowd	crowd
of	of	of
bystanders	bystand	bystander
that	that	that
has	has	ha
gathered	gather	gathered
around	around	around
that	that	that
Mumford	mumford	Mumford
looks	look	look
exactly	exact	exactly
like	like	like
Michael	michael	Michael
Clay	clay	Clay
.	.	.
The	the	The
cops	cop	cop
insist	insist	insist
that	that	that
they	they	they
asked	ask	asked
Mumford	mumford	Mumford
for	for	for
his	his	his
ID	id	ID
three	three	three
times	time	time
,	,	,
but	but	but
claim	claim	claim
he	he	he
refused	refus	refused
to	to	to
provide	provid	provide
it	it	it
.	.	.

A	a	A
few	few	few
seconds	second	second
later	later	later
,	,	,
the	the	the
cops	cop	cop
claim	claim	claim
they	they	they
asked	ask	asked
for	for	for
ID	id	ID
four	four	four
times	time	time
.	.	.

As	as	As
the	the	the
video	video	video
shows	show	show
,	,	,
the	the	the
police	polic	police
never	never	never
once	onc	once
asked	ask	asked
Mumford	mumford	Mumford
for	for	for
his	his	his
ID	id	ID
.	.	.
Watch	watch	Watch
the	the	the
video	video	video
below	below	below
,	,	,
courtesy	courtesi	courtesy
of	of	of
the	the	the
Claiborne	claiborn	Claiborne
Firm	firm	Firm
on	on	on
YouTube	youtub	YouTube
.	.	.

As	as	As
Mumford	mumford	Mumford
s	s	s
attorney	attorney	attorney
,	,	,
Will	will	Will
Claiborne	claiborn	Claiborne
told	told	told
the	the	the
Daily	daili	Daily
Beast	beast	Beast
The	the	The
problem	problem	problem
is	is	is
Patrick	patrick	Patrick
Mumford	mumford	Mumford
doesn	doesn	doesn
t	t	t
look	look	look
like	like	like
Michael	michael	Michael
Clay	clay	Clay
,	,	,
he	he	he
ain	ain	ain
t	t	t
Michael	michael	Michael
Clay	clay	Clay
,	,	,
and	and	and
they	they	they
roll	roll	roll
up	up	up
on	on	on
him	him	him
like	like	like
he	he	he
is	is	is
.	.	.

When	when	When
he	he	he
says	say	say
his	his	his
name	name	name
is	is	is
Patrick	patrick	Patrick
,	,	,
they	they	they
don	don	don
t	t	t
believe	believ	believe
him	him	him
.	.	.

If	if	If
they	they	they
had	had	had
had	had	had
adequate	adequ	adequate
training	train	training
,	,	,
they	they	they
would	would	would
have	have	have
known	known	known
not	not	not
all	all	all
black	black	black
men	men	men
look	look	look
the	the	the
same	same	same
.	.	.

Featured	featur	Featured
image	imag	image
via	via	via
video	video	video
screen	screen	screen
capture	captur	capture
via	via	via
the	the	the
Claiborne	claiborn	Claiborne
Firm	firm	Firm
on	on	on
YouTube	youtub	YouTube

