When	when	When
job	job	job
.	.	.
So	so	So
no	no	no
,	,	,
I	i	I
m	m	m
not	not	not
voting	vote	voting
for	for	for
Hillary	hillari	Hillary
because	becaus	because
she	she	she
s	s	s
a	a	a
woman	woman	woman
.	.	.
I	i	I
m	m	m
voting	vote	voting
for	for	for
her	her	her
because	becaus	because
she	she	she
s	s	s
the	the	the
best	best	best
damn	damn	damn
person	person	person
for	for	for
the	the	the
job	job	job
.	.	.
However	howev	However
,	,	,
how	how	how
revolutionary	revolutionari	revolutionary
would	would	would
it	it	it
be	be	be
to	to	to
finally	final	finally
have	have	have
the	the	the
first	first	first
woman	woman	woman
president	presid	president
?	?	?
It	it	It
s	s	s
pretty	pretti	pretty
badass	badass	badass
.	.	.
And	and	And
as	as	a
I	i	I
was	was	wa
going	go	going
to	to	to
keep	keep	keep
this	this	this
solely	sole	solely
to	to	to
my	my	my
page	page	page
it	it	it
became	becam	became
apparent	appar	apparent
when	when	when
Hillary	hillari	Hillary
was	was	wa
accused	accus	accused
of	of	of
ruining	ruin	ruining
the	the	the
Democratic	democrat	Democratic
party	parti	party
with	with	with
her	her	her
ambition	ambit	ambition
,	,	,
that	that	that
this	this	this
really	realli	really
needed	need	needed
to	to	to
be	be	be
seen	seen	seen
again	again	again
,	,	,
because	becaus	because
that	that	that
is	is	is
a	a	a
ridiculously	ridicul	ridiculously
sexist	sexist	sexist
remark	remark	remark
.	.	.
I	i	I
mean	mean	mean
,	,	,
how	how	how
dare	dare	dare
a	a	a
woman	woman	woman
have	have	have
the	the	the
audacity	audac	audacity
to	to	to
be	be	be
ambitious	ambiti	ambitious
enough	enough	enough
to	to	to
seek	seek	seek
the	the	the
White	white	White
House	hous	House
.	.	.
Is	is	Is
that	that	that
ever	ever	ever
asked	ask	asked
of	of	of
men	men	men
?	?	?
Is	is	Is
it	it	it
?	?	?
No	no	No
,	,	,
it	it	it
s	s	s
not	not	not
.	.	.
So	so	So
no	no	no
,	,	,
I	i	I
m	m	m
not	not	not
voting	vote	voting
for	for	for
Hillary	hillari	Hillary
because	becaus	because
she	she	she
s	s	s
a	a	a
woman	woman	woman
,	,	,
but	but	but
I	i	I
sure	sure	sure
as	as	a
hell	hell	hell
am	am	am
voting	vote	voting
for	for	for
a	a	a
woman	woman	woman
with	with	with
ambition	ambit	ambition
and	and	and
the	the	the
go	go	go
-get-it	-get-it	-get-it
attitude	attitud	attitude
that	that	that
she	she	she
has	has	ha
displayed	display	displayed
throughout	throughout	throughout
her	her	her
entire	entir	entire
career	career	career
.	.	.
But	but	But
let	let	let
it	it	it
be	be	be
known	known	known
,	,	,
that	that	that
if	if	if
she	she	she
s	s	s
not	not	not
the	the	the
nominee	nomine	nominee
for	for	for
any	ani	any
reason	reason	reason
,	,	,
I	i	I
will	will	will
vote	vote	vote
blue	blue	blue
no	no	no
matter	matter	matter
who	who	who
,	,	,
because	becaus	because
I	i	I
m	m	m
able	abl	able
to	to	to
be	be	be
an	an	an
adult	adult	adult
and	and	and
realize	realiz	realize
the	the	the
needs	need	need
of	of	of
the	the	the
country	countri	country
are	are	are
far	far	far
more	more	more
important	import	important
than	than	than
just	just	just
the	the	the
needs	need	need
of	of	of
my	my	my
ideal	ideal	ideal
candidate	candid	candidate
winning	win	winning
,	,	,
and	and	and
if	if	if
a	a	a
Republican	republican	Republican
wins	win	win
,	,	,
we	we	we
all	all	all
lose	lose	lose
.	.	.
!	!	!
CDATA	cdata	CDATA
!	!	!
CDATA	cdata	CDATA
!	!	!
CDATA	cdata	CDATA
span	span	span
function	function	function
d	d	d
,	,	,
s	s	s
,	,	,
id	id	id
var	var	var
js	js	j
,	,	,
fjs	fjs	fjs
d	d	d
.	.	.
getElementsByTagName	getelementsbytagnam	getElementsByTagName
s	s	s
0	0	0
;	;	;
if	if	if
d	d	d
.	.	.
getElementById	getelementbyid	getElementById
id	id	id
return	return	return
;	;	;
js	js	j
d	d	d
.	.	.
createElement	createel	createElement
s	s	s
;	;	;
js	js	j
.	.	.
id	id	id
id	id	id
;	;	;
js	js	j
.	.	.
src	src	src
connect	connect	connect
.	.	.
facebook	facebook	facebook
.	.	.
net	net	net
en_US	en_us	en_US
sdk	sdk	sdk
.	.	.
js	js	j
"#xfbml=1&version=v2.3"";"	"#xfbml=1&version=v2.3"";"	"#xfbml=1&version=v2.3"";"
fjs	fjs	fjs
.	.	.
parentNode	parentnod	parentNode
.	.	.
insertBefore	insertbefor	insertBefore
js	js	j
,	,	,
fjs	fjs	fjs
;	;	;
document	document	document
,	,	,
'script'	script	'script'
,	,	,
'facebook-jssdk'	facebook-jssdk	'facebook-jssdk'
;	;	;
gt	gt	gt
;	;	;
I	i	I
can	can	can
t	t	t
begin	begin	begin
to	to	to
tell	tell	tell
you	you	you
how	how	how
many	mani	many
times	time	time
I	i	I
ve	ve	ve
been	been	been
asked	ask	asked
by	by	by
Bernie	berni	Bernie
supporters	support	supporter
if	if	if
I	i	I
m	m	m
voting	vote	voting
for	for	for
Hillary	hillari	Hillary
just	just	just
because	becaus	because
she	she	she
s	s	s
a	a	a
woman	woman	woman
,	,	,
so	so	so
,	,	,
to	to	to
make	make	make
things	thing	thing
easier	easier	easier
,	,	,
here	here	here
s	s	s
my	my	my
response	respons	response
.	.	.
Posted	post	Posted
by	by	by
Opinionated	opinion	Opinionated
Democrat	democrat	Democrat
on	on	on
Tuesday	tuesday	Tuesday
,	,	,
February	februari	February
9	9	9
,	,	,
2016Featured	2016featur	2016Featured
Photo	photo	Photo
by	by	by
Justin	justin	Justin
Sullivan	sullivan	Sullivan
Getty	getti	Getty
Images	imag	Images
