What	what	What
glass	glass	glass
in	in	in
many	mani	many
of	of	of
its	it	it
small	small	small
businesses	busi	business
as	as	a
part	part	part
of	of	of
a	a	a
larger	larger	larger
effort	effort	effort
to	to	to
crack	crack	crack
down	down	down
on	on	on
loitering	loiter	loitering
,	,	,
public	public	public
urination	urin	urination
,	,	,
and	and	and
potential	potenti	potential
drug	drug	drug
sales	sale	sale
but	but	but
the	the	the
potential	potenti	potential
ban	ban	ban
has	has	ha
triggered	trigger	triggered
a	a	a
backlash	backlash	backlash
from	from	from
shopkeepers	shopkeep	shopkeeper
.	.	.
The	the	The
city	citi	city
s	s	s
Public	public	Public
Health	health	Health
and	and	and
Human	human	Human
Services	servic	Services
Committee	committe	Committee
passed	pass	passed
a	a	a
bill	bill	bill
Monday	monday	Monday
enabling	enabl	enabling
Philadelphia	philadelphia	Philadelphia
s	s	s
Department	depart	Department
of	of	of
Licenses	licens	Licenses
and	and	and
Inspections	inspect	Inspections
to	to	to
regulate	regul	regulate
the	the	the
bullet	bullet	bullet
-resistant	-resist	-resistant
barricades	barricad	barricade
that	that	that
stand	stand	stand
between	between	between
customers	custom	customer
and	and	and
cash	cash	cash
registers	regist	register
in	in	in
many	mani	many
neighborhood	neighborhood	neighborhood
corner	corner	corner
stores	store	store
,	,	,
according	accord	according
to	to	to
FOX29	fox29	FOX29
.	.	.

No	no	No
establishment	establish	establishment
required	requir	required
to	to	to
obtain	obtain	obtain
a	a	a
Large	larg	Large
Establishment	establish	Establishment
license	licens	license
shall	shall	shall
erect	erect	erect
or	or	or
maintain	maintain	maintain
a	a	a
physical	physic	physical
barrier	barrier	barrier
that	that	that
requires	requir	requires
the	the	the
persons	person	person
serving	serv	serving
the	the	the
food	food	food
either	either	either
to	to	to
open	open	open
a	a	a
window	window	window
or	or	or
other	other	other
aperture	apertur	aperture
or	or	or
to	to	to
pass	pass	pas
the	the	the
food	food	food
through	through	through
a	a	a
window	window	window
or	or	or
other	other	other
aperture	apertur	aperture
,	,	,
in	in	in
order	order	order
to	to	to
hand	hand	hand
the	the	the
food	food	food
to	to	to
a	a	a
customer	custom	customer
inside	insid	inside
the	the	the
establishment	establish	establishment
,	,	,
the	the	the
bill	bill	bill
states	state	state
.	.	.

It	it	It
also	also	also
calls	call	call
for	for	for
larger	larger	larger
establishments	establish	establishment
to	to	to
have	have	have
bathrooms	bathroom	bathroom
for	for	for
customers	custom	customer
.	.	.
Here	here	Here
s	s	s
a	a	a
great	great	great
example	exampl	example
of	of	of
the	the	the
crime	crime	crime
Philadelphia	philadelphia	Philadelphia
officers	offic	officer
deal	deal	deal
with	with	with
every	everi	every
day	day	day
in	in	in
a	a	a
city	citi	city
where	where	where
the	the	the
elected	elect	elected
officials	offici	official
are	are	are
more	more	more
worried	worri	worried
about	about	about
passing	pass	passing
laws	law	law
to	to	to
protect	protect	protect
the	the	the
dignity	digniti	dignity
of	of	of
liquor	liquor	liquor
store	store	store
customers	custom	customer
,	,	,
and	and	and
not	not	not
the	the	the
people	peopl	people
who	who	who
bravely	brave	bravely
come	come	come
to	to	to
work	work	work
every	everi	every
day	day	day
to	to	to
sell	sell	sell
goods	good	good
in	in	in
dangerous	danger	dangerous
,	,	,
crime	crime	crime
-ridden	-ridden	-ridden
neighborhoods	neighborhood	neighborhood
.	.	.

