PARIS	pari	PARIS
react	react	react
to	to	to
the	the	the
account	account	account
closures	closur	closure
.	.	.

Hours	hour	Hours
later	later	later
,	,	,
the	the	the
hashtag	hashtag	hashtag
JeQuitteLaSG	jequittelasg	JeQuitteLaSG
,	,	,
or	or	or
I	i	I
Leave	leav	Leave
Societe	societ	Societe
Generale	general	Generale
,	,	,
was	was	wa
the	the	the
top	top	top
trending	trend	trending
topic	topic	topic
on	on	on
Twitter	twitter	Twitter
in	in	in
France	franc	France
.	.	.

Government	govern	Government
spokesman	spokesman	spokesman
Christophe	christoph	Christophe
Castaner	castan	Castaner
said	said	said
the	the	the
FN	fn	FN
should	should	should
be	be	be
allowed	allow	allowed
to	to	to
have	have	have
a	a	a
bank	bank	bank
account	account	account
and	and	and
use	use	use
it	it	it
normally	normal	normally
.	.	.

But	but	But
I	i	I
do	do	do
not	not	not
know	know	know
why	whi	why
the	the	the
bank	bank	bank
told	told	told
its	it	it
client	client	client
,	,	,
the	the	the
National	nation	National
Front	front	Front
,	,	,
Thank	thank	Thank
you	you	you
and	and	and
goodbye	goodby	goodbye
,	,	,
so	so	so
I	i	I
cannot	cannot	cannot
comment	comment	comment
on	on	on
the	the	the
substance	substanc	substance
of	of	of
the	the	the
case	case	case
,	,	,
he	he	he
told	told	told
a	a	a
weekly	week	weekly
news	news	news
conference	confer	conference
.	.	.

