KUALA	kuala	KUALA
one	one	one
of	of	of
the	the	the
officials	offici	official
,	,	,
who	who	who
asked	ask	asked
not	not	not
to	to	to
be	be	be
named	name	named
due	due	due
to	to	to
the	the	the
sensitivity	sensit	sensitivity
of	of	of
the	the	the
issue	issu	issue
.	.	.

Malaysia	malaysia	Malaysia
has	has	ha
objected	object	objected
once	onc	once
before	befor	before
to	to	to
a	a	a
similar	similar	similar
statement	statement	statement
on	on	on
the	the	the
crisis	crisi	crisis
in	in	in
Myanmar	myanmar	Myanmar
s	s	s
western	western	western
Rakhine	rakhin	Rakhine
state	state	state
,	,	,
but	but	but
Sunday	sunday	Sunday
s	s	s
response	respons	response
was	was	wa
unexpected	unexpect	unexpected
,	,	,
as	as	a
the	the	the
grouping	group	grouping
has	has	ha
an	an	an
overriding	overrid	overriding
policy	polici	policy
of	of	of
non	non	non
-interference	-interfer	-interference
in	in	in
domestic	domest	domestic
matters	matter	matter
.	.	.

Myanmar	myanmar	Myanmar
must	must	must
halt	halt	halt
atrocities	atroc	atrocity
which	which	which
have	have	have
unleashed	unleash	unleashed
a	a	a
full	full	full
-scale	-scale	-scale
humanitarian	humanitarian	humanitarian
crisis	crisi	crisis
,	,	,
Malaysian	malaysian	Malaysian
Foreign	foreign	Foreign
Minister	minist	Minister
Anifah	anifah	Anifah
Aman	aman	Aman
urged	urg	urged
on	on	on
Sunday	sunday	Sunday
.	.	.

Viable	viabl	Viable
and	and	and
long	long	long
-term	-term	-term
solutions	solut	solution
to	to	to
the	the	the
root	root	root
causes	caus	cause
to	to	to
the	the	the
conflict	conflict	conflict
must	must	must
be	be	be
found	found	found
,	,	,
he	he	he
said	said	said
in	in	in
a	a	a
statement	statement	statement
.	.	.

Malaysia	malaysia	Malaysia
s	s	s
dissent	dissent	dissent
,	,	,
however	howev	however
,	,	,
only	onli	only
reflects	reflect	reflects
strained	strain	strained
ties	tie	tie
in	in	in
ASEAN	asean	ASEAN
,	,	,
said	said	said
Shahriman	shahriman	Shahriman
Lockman	lockman	Lockman
,	,	,
a	a	a
senior	senior	senior
analyst	analyst	analyst
with	with	with
the	the	the
Institute	institut	Institute
of	of	of
Strategic	strateg	Strategic
and	and	and
International	intern	International
Studies	studi	Studies
in	in	in
the	the	the
country	countri	country
s	s	s
capital	capit	capital
.	.	.

What	what	What
s	s	s
truly	truli	truly
exceptional	except	exceptional
here	here	here
is	is	is
not	not	not
Malaysia	malaysia	Malaysia
s	s	s
move	move	move
to	to	to
dissociate	dissoci	dissociate
itself	itself	itself
from	from	from
the	the	the
statement	statement	statement
,	,	,
he	he	he
told	told	told
Reuters	reuter	Reuters
.	.	.

It	it	It
s	s	s
the	the	the
failure	failur	failure
of	of	of
the	the	the
Philippines	philippin	Philippines
to	to	to
attempt	attempt	attempt
to	to	to
reflect	reflect	reflect
the	the	the
views	view	view
of	of	of
all	all	all
ASEAN	asean	ASEAN
member	member	member
states	state	state
.	.	.

In	in	In
the	the	the
statement	statement	statement
,	,	,
the	the	the
foreign	foreign	foreign
ministers	minist	minister
condemned	condemn	condemned
the	the	the
attacks	attack	attack
on	on	on
Myanmar	myanmar	Myanmar
s	s	s
security	secur	security
forces	forc	force
and	and	and
all	all	all
acts	act	act
of	of	of
violence	violenc	violence
which	which	which
resulted	result	resulted
in	in	in
loss	loss	loss
of	of	of
civilian	civilian	civilian
lives	live	life
,	,	,
destruction	destruct	destruction
of	of	of
homes	home	home
and	and	and
displacement	displac	displacement
of	of	of
large	larg	large
numbers	number	number
of	of	of
people	peopl	people
.	.	.

More	more	More
than	than	than
400	400	400
people	peopl	people
have	have	have
died	die	died
and	and	and
430	430	430
,	,	,
000	000	000
Rohingya	rohingya	Rohingya
Muslims	muslim	Muslims
have	have	have
fled	fled	fled
Rakhine	rakhin	Rakhine
,	,	,
where	where	where
an	an	an
Aug	aug	Aug
.	.	.

25	25	25
attack	attack	attack
on	on	on
military	militari	military
and	and	and
police	polic	police
outposts	outpost	outpost
by	by	by
Rohingya	rohingya	Rohingya
militants	milit	militant
provoked	provok	provoked
a	a	a
military	militari	military
offensive	offens	offensive
the	the	the
United	unit	United
Nations	nation	Nations
calls	call	call
ethic	ethic	ethic
cleansing	cleans	cleansing
.	.	.

