BEIJING	beij	BEIJING
appropriate	appropri	appropriate
.	.	.
.	.	.
.	.	.
that	that	that
the	the	the
Mainland	mainland	Mainland
Port	port	Port
Area	area	Area
within	within	within
the	the	the
West	west	West
Kowloon	kowloon	Kowloon
station	station	station
would	would	would
be	be	be
regarded	regard	regarded
as	as	a
belonging	belong	belonging
to	to	to
mainland	mainland	mainland
China	china	China
,	,	,
according	accord	according
to	to	to
the	the	the
legislative	legisl	legislative
document	document	document
released	releas	released
by	by	by
parliament	parliament	parliament
on	on	on
the	the	the
decision	decis	decision
.	.	.
Critics	critic	Critics
say	say	say
the	the	the
co	co	co
-location	-locat	-location
arrangement	arrang	arrangement
,	,	,
also	also	also
known	known	known
as	as	a
one	one	one
land	land	land
,	,	,
two	two	two
checks	check	check
in	in	in
Chinese	chines	Chinese
,	,	,
sets	set	set
a	a	a
dangerous	danger	dangerous
precedent	preced	precedent
as	as	a
it	it	it
violates	violat	violates
the	the	the
city	citi	city
s	s	s
mini	mini	mini
-constitution	-constitut	-constitution
,	,	,
the	the	the
Basic	basic	Basic
Law	law	Law
,	,	,
in	in	in
which	which	which
article	articl	article
18	18	18
explicitly	explicit	explicitly
states	state	state
national	nation	national
laws	law	law
,	,	,
with	with	with
a	a	a
few	few	few
exceptions	except	exception
,	,	,
do	do	do
not	not	not
apply	appli	apply
in	in	in
Hong	hong	Hong
Kong	kong	Kong
.	.	.
But	but	But
the	the	the
document	document	document
passed	pass	passed
by	by	by
parliament	parliament	parliament
says	say	say
since	sinc	since
mainland	mainland	mainland
officials	offici	official
operations	oper	operation
will	will	will
be	be	be
strictly	strict	strictly
confined	confin	confined
to	to	to
specific	specif	specific
areas	area	area
in	in	in
the	the	the
station	station	station
,	,	,
it	it	it
is	is	is
different	differ	different
from	from	from
the	the	the
article	articl	article
which	which	which
governs	govern	governs
the	the	the
whole	whole	whole
of	of	of
Hong	hong	Hong
Kong	kong	Kong
.	.	.
Setting	set	Setting
up	up	up
a	a	a
Mainland	mainland	Mainland
Port	port	Port
Area	area	Area
inside	insid	inside
the	the	the
West	west	West
Kowloon	kowloon	Kowloon
station	station	station
does	doe	doe
not	not	not
change	chang	change
the	the	the
administrative	administr	administrative
area	area	area
of	of	of
the	the	the
Hong	hong	Hong
Kong	kong	Kong
Special	special	Special
Administrative	administr	Administrative
Region	region	Region
,	,	,
does	doe	doe
not	not	not
affect	affect	affect
the	the	the
HKSAR	hksar	HKSAR
s	s	s
right	right	right
to	to	to
a	a	a
high	high	high
degree	degre	degree
of	of	of
autonomy	autonomi	autonomy
accorded	accord	accorded
by	by	by
the	the	the
law	law	law
,	,	,
does	doe	doe
not	not	not
reduce	reduc	reduce
or	or	or
harm	harm	harm
Hong	hong	Hong
Kong	kong	Kong
residents	resid	resident
rights	right	right
and	and	and
freedoms	freedom	freedom
accorded	accord	accorded
by	by	by
the	the	the
law	law	law
,	,	,
the	the	the
document	document	document
added	ad	added
.	.	.
Li	li	Li
Fei	fei	Fei
,	,	,
deputy	deputi	deputy
secretary	secretari	secretary
-general	-gener	-general
of	of	of
parliament	parliament	parliament
s	s	s
standing	stand	standing
committee	committe	committee
,	,	,
told	told	told
reporters	report	reporter
the	the	the
decision	decis	decision
would	would	would
not	not	not
take	take	take
away	away	away
Hong	hong	Hong
Kong	kong	Kong
people	peopl	people
s	s	s
freedoms	freedom	freedom
.	.	.
If	if	If
Hong	hong	Hong
Kongers	konger	Kongers
don	don	don
t	t	t
feel	feel	feel
comfortable	comfort	comfortable
,	,	,
they	they	they
can	can	can
use	use	use
another	anoth	another
entry	entri	entry
port	port	port
and	and	and
not	not	not
take	take	take
the	the	the
high	high	high
-speed	-speed	-speed
train	train	train
,	,	,
Li	li	Li
said	said	said
.	.	.
At	at	At
a	a	a
cost	cost	cost
of	of	of
more	more	more
than	than	than
HK	hk	HK
84	84	84
billion	billion	billion
11	11	11
billion	billion	billion
,	,	,
the	the	the
Express	express	Express
Rail	rail	Rail
Link	link	Link
will	will	will
link	link	link
up	up	up
with	with	with
the	the	the
rest	rest	rest
of	of	of
China	china	China
s	s	s
high	high	high
-speed	-speed	-speed
rail	rail	rail
network	network	network
and	and	and
roughly	rough	roughly
halve	halv	halve
the	the	the
journey	journey	journey
time	time	time
between	between	between
Hong	hong	Hong
Kong	kong	Kong
and	and	and
the	the	the
southern	southern	southern
Chinese	chines	Chinese
city	citi	city
of	of	of
Guangzhou	guangzhou	Guangzhou
to	to	to
48	48	48
minutes	minut	minute
.	.	.
It	it	It
is	is	is
expected	expect	expected
to	to	to
be	be	be
operational	oper	operational
in	in	in
the	the	the
autumn	autumn	autumn
on	on	on
2018	2018	2018
.	.	.
The	the	The
Hong	hong	Hong
Kong	kong	Kong
government	govern	government
said	said	said
it	it	it
would	would	would
seek	seek	seek
to	to	to
put	put	put
draft	draft	draft
laws	law	law
to	to	to
its	it	it
legislature	legislatur	legislature
by	by	by
early	earli	early
February	februari	February
to	to	to
implement	implement	implement
the	the	the
plan	plan	plan
,	,	,
but	but	but
the	the	the
bill	bill	bill
is	is	is
expected	expect	expected
to	to	to
be	be	be
voted	vote	voted
through	through	through
without	without	without
strong	strong	strong
resistance	resist	resistance
after	after	after
a	a	a
series	seri	series
of	of	of
controversial	controversi	controversial
court	court	court
cases	case	case
stripped	strip	stripped
the	the	the
opposition	opposit	opposition
pro	pro	pro
-democracy	-democraci	-democracy
camp	camp	camp
of	of	of
its	it	it
veto	veto	veto
power	power	power
.	.	.
The	the	The
prospect	prospect	prospect
of	of	of
Beijing	beij	Beijing
tightening	tighten	tightening
its	it	it
grip	grip	grip
on	on	on
the	the	the
financial	financi	financial
hub	hub	hub
has	has	ha
already	alreadi	already
stoked	stoke	stoked
social	social	social
tensions	tension	tension
and	and	and
protests	protest	protest
including	includ	including
the	the	the
2014	2014	2014
Occupy	occupi	Occupy
street	street	street
demonstrations	demonstr	demonstration
that	that	that
demanded	demand	demanded
,	,	,
in	in	in
vain	vain	vain
,	,	,
full	full	full
democracy	democraci	democracy
for	for	for
the	the	the
city	citi	city
of	of	of
7	7	7
.	.	.
3	3	3
million	million	million
.	.	.
The	the	The
abductions	abduct	abduction
of	of	of
a	a	a
Hong	hong	Hong
Kong	kong	Kong
-based	-base	-based
bookseller	booksel	bookseller
in	in	in
2015	2015	2015
who	who	who
later	later	later
showed	show	showed
up	up	up
across	across	across
the	the	the
border	border	border
in	in	in
Chinese	chines	Chinese
custody	custodi	custody
also	also	also
touched	touch	touched
a	a	a
raw	raw	raw
nerve	nerv	nerve
.	.	.
The	the	The
former	former	former
head	head	head
of	of	of
Hong	hong	Hong
Kong	kong	Kong
s	s	s
legislature	legislatur	legislature
and	and	and
pro	pro	pro
-establishment	-establish	-establishment
heavyweight	heavyweight	heavyweight
,	,	,
Jasper	jasper	Jasper
Tsang	tsang	Tsang
,	,	,
wrote	wrote	wrote
in	in	in
a	a	a
column	column	column
last	last	last
week	week	week
that	that	that
the	the	the
government	govern	government
should	should	should
admit	admit	admit
frankly	frank	frankly
the	the	the
arrangement	arrang	arrangement
does	doe	doe
not	not	not
comply	compli	comply
with	with	with
the	the	the
Basic	basic	Basic
Law	law	Law
.	.	.
Opposition	opposit	Opposition
lawmaker	lawmak	lawmaker
and	and	and
barrister	barrist	barrister
Tanya	tanya	Tanya
Chan	chan	Chan
,	,	,
who	who	who
leads	lead	lead
a	a	a
group	group	group
against	against	against
the	the	the
arrangement	arrang	arrangement
,	,	,
said	said	said
the	the	the
issue	issu	issue
represents	repres	represents
the	the	the
most	most	most
serious	serious	serious
violation	violat	violation
of	of	of
the	the	the
Basic	basic	Basic
Law	law	Law
since	sinc	since
the	the	the
1997	1997	1997
handover	handov	handover
.	.	.
What	what	What
we	we	we
re	re	re
seeing	see	seeing
is	is	is
the	the	the
Central	central	Central
Government	govern	Government
exercising	exercis	exercising
overall	overal	overall
jurisdiction	jurisdict	jurisdiction
over	over	over
Hong	hong	Hong
Kong	kong	Kong
,	,	,
Chan	chan	Chan
said	said	said
.	.	.
What	what	What
we	we	we
see	see	see
today	today	today
is	is	is
the	the	the
NPC	npc	NPC
Standing	stand	Standing
Committee	committe	Committee
ruling	rule	ruling
Hong	hong	Hong
Kong	kong	Kong
,	,	,
zero	zero	zero
degree	degre	degree
of	of	of
autonomy	autonomi	autonomy
.	.	.
Constitutional	constitut	Constitutional
law	law	law
professor	professor	professor
Albert	albert	Albert
Chen	chen	Chen
said	said	said
he	he	he
believed	believ	believed
the	the	the
arrangement	arrang	arrangement
was	was	wa
based	base	based
on	on	on
reasonable	reason	reasonable
arguments	argument	argument
and	and	and
did	did	did
not	not	not
violate	violat	violate
the	the	the
Basic	basic	Basic
Law	law	Law
.	.	.
But	but	But
it	it	it
remained	remain	remained
a	a	a
grey	grey	grey
area	area	area
whether	whether	whether
Hong	hong	Hong
Kong	kong	Kong
courts	court	court
could	could	could
handle	handl	handle
judicial	judici	judicial
reviews	review	review
that	that	that
directly	direct	directly
challenge	challeng	challenge
Beijing	beij	Beijing
s	s	s
decision	decis	decision
,	,	,
he	he	he
said	said	said
.	.	.
Hong	hong	Hong
Kong	kong	Kong
leader	leader	leader
Carrie	carri	Carrie
Lam	lam	Lam
welcomed	welcom	welcomed
the	the	the
decision	decis	decision
,	,	,
but	but	but
conceded	conced	conceded
that	that	that
there	there	there
had	had	had
been	been	been
complex	complex	complex
issues	issu	issue
of	of	of
applicability	applic	applicability
of	of	of
mainland	mainland	mainland
and	and	and
Hong	hong	Hong
Kong	kong	Kong
laws	law	law
for	for	for
the	the	the
project	project	project
as	as	a
it	it	it
had	had	had
been	been	been
first	first	first
conceived	conceiv	conceived
around	around	around
a	a	a
decade	decad	decade
ago	ago	ago
.	.	.
She	she	She
added	ad	added
that	that	that
these	these	these
complexities	complex	complexity
could	could	could
not	not	not
have	have	have
been	been	been
foreseen	foreseen	foreseen
back	back	back
then	then	then
.	.	.
