LOS	los	LOS
company	compani	company
said	said	said
.	.	.
His	his	His
brother	brother	brother
Bob	bob	Bob
,	,	,
a	a	a
co	co	co
-chairman	-chairman	-chairman
,	,	,
and	and	and
chief	chief	chief
operating	oper	operating
officer	offic	officer
David	david	David
Glasser	glasser	Glasser
will	will	will
lead	lead	lead
the	the	the
company	compani	company
.	.	.
As	as	As
Harvey	harvey	Harvey
has	has	ha
said	said	said
,	,	,
it	it	it
is	is	is
important	import	important
for	for	for
him	him	him
to	to	to
get	get	get
professional	profession	professional
help	help	help
for	for	for
the	the	the
problems	problem	problem
he	he	he
has	has	ha
acknowledged	acknowledg	acknowledged
.	.	.
Next	next	Next
steps	step	step
will	will	will
depend	depend	depend
on	on	on
Harvey	harvey	Harvey
s	s	s
therapeutic	therapeut	therapeutic
progress	progress	progress
,	,	,
the	the	the
outcome	outcom	outcome
of	of	of
the	the	the
Board	board	Board
s	s	s
independent	independ	independent
investigation	investig	investigation
,	,	,
and	and	and
Harvey	harvey	Harvey
s	s	s
own	own	own
personal	person	personal
decisions	decis	decision
,	,	,
the	the	the
board	board	board
representatives	repres	representative
added	ad	added
.	.	.
Weinstein	weinstein	Weinstein
initially	initi	initially
responded	respond	responded
to	to	to
the	the	the
Times	time	Times
story	stori	story
on	on	on
Thursday	thursday	Thursday
by	by	by
apologizing	apolog	apologizing
for	for	for
causing	caus	causing
anyone	anyon	anyone
pain	pain	pain
,	,	,
and	and	and
saying	say	saying
he	he	he
was	was	wa
taking	take	taking
a	a	a
leave	leav	leave
of	of	of
absence	absenc	absence
.	.	.
His	his	His
lawyer	lawyer	lawyer
later	later	later
threatened	threaten	threatened
to	to	to
sue	sue	sue
the	the	the
New	new	New
York	york	York
Times	time	Times
.	.	.
Weinstein	weinstein	Weinstein
,	,	,
one	one	one
of	of	of
Hollywood	hollywood	Hollywood
s	s	s
best	best	best
-known	-known	-known
figures	figur	figure
,	,	,
has	has	ha
produced	produc	produced
or	or	or
distributed	distribut	distributed
Oscar	oscar	Oscar
-winning	-win	-winning
movies	movi	movie
including	includ	including
Shakespeare	shakespear	Shakespeare
in	in	in
Love	love	Love
and	and	and
Chicago	chicago	Chicago
.	.	.
He	he	He
was	was	wa
a	a	a
prominent	promin	prominent
donor	donor	donor
to	to	to
Democrats	democrat	Democrats
during	dure	during
the	the	the
2016	2016	2016
general	general	general
election	elect	election
campaign	campaign	campaign
.	.	.
The	the	The
DNC	dnc	DNC
will	will	will
donate	donat	donate
over	over	over
30	30	30
,	,	,
000	000	000
in	in	in
contributions	contribut	contribution
from	from	from
Weinstein	weinstein	Weinstein
to	to	to
EMILY	emili	EMILY
s	s	s
List	list	List
,	,	,
Emerge	emerg	Emerge
America	america	America
and	and	and
Higher	higher	Higher
Heights	height	Heights
because	becaus	because
what	what	what
we	we	we
need	need	need
is	is	is
more	more	more
women	women	woman
in	in	in
power	power	power
,	,	,
DNC	dnc	DNC
communications	communic	communication
director	director	director
Xochitl	xochitl	Xochitl
Hinojosa	hinojosa	Hinojosa
said	said	said
in	in	in
a	a	a
statement	statement	statement
.	.	.
