BANJA	banja	BANJA
European	european	European
Union	union	Union
are	are	are
strategic	strateg	strategic
priorities	prioriti	priority
.	.	.
But	but	But
the	the	the
Bosnian	bosnian	Bosnian
Serbs	serb	Serbs
lean	lean	lean
towards	toward	towards
closer	closer	closer
ties	tie	tie
with	with	with
Russia	russia	Russia
,	,	,
aligning	align	aligning
their	their	their
policy	polici	policy
with	with	with
that	that	that
of	of	of
wartime	wartim	wartime
patron	patron	patron
and	and	and
ally	alli	ally
Serbia	serbia	Serbia
where	where	where
NATO	nato	NATO
is	is	is
hugely	huge	hugely
unpopular	unpopular	unpopular
after	after	after
its	it	it
1999	1999	1999
bombing	bomb	bombing
campaign	campaign	campaign
to	to	to
drive	drive	drive
Serbian	serbian	Serbian
forces	forc	force
out	out	out
of	of	of
Kosovo	kosovo	Kosovo
and	and	and
after	after	after
1995	1995	1995
NATO	nato	NATO
air	air	air
strikes	strike	strike
against	against	against
rebel	rebel	rebel
Serbs	serb	Serbs
in	in	in
Bosnia	bosnia	Bosnia
.	.	.
Bosnian	bosnian	Bosnian
Serb	serb	Serb
President	presid	President
Milorad	milorad	Milorad
Dodik	dodik	Dodik
,	,	,
a	a	a
Serb	serb	Serb
nationalist	nationalist	nationalist
,	,	,
has	has	ha
repeatedly	repeat	repeatedly
said	said	said
closer	closer	closer
ties	tie	tie
with	with	with
NATO	nato	NATO
should	should	should
be	be	be
decided	decid	decided
by	by	by
referendum	referendum	referendum
in	in	in
the	the	the
Serb	serb	Serb
Republic	republ	Republic
,	,	,
even	even	even
though	though	though
such	such	such
decisions	decis	decision
can	can	can
only	onli	only
be	be	be
taken	taken	taken
at	at	at
state	state	state
level	level	level
according	accord	according
to	to	to
the	the	the
constitution	constitut	constitution
.	.	.
The	the	The
National	nation	National
Assembly	assembl	Assembly
of	of	of
the	the	the
Republika	republika	Republika
Srpska	srpska	Srpska
Serb	serb	Serb
Republic	republ	Republic
has	has	ha
made	made	made
a	a	a
decision	decis	decision
to	to	to
proclaim	proclaim	proclaim
military	militari	military
neutrality	neutral	neutrality
.	.	.
.	.	.
.	.	.
in	in	in
relation	relat	relation
to	to	to
the	the	the
existing	exist	existing
military	militari	military
alliances	allianc	alliance
until	until	until
a	a	a
possible	possibl	possible
referendum	referendum	referendum
to	to	to
make	make	make
a	a	a
final	final	final
decision	decis	decision
on	on	on
the	the	the
issue	issu	issue
is	is	is
held	held	held
,	,	,
the	the	the
resolution	resolut	resolution
said	said	said
.	.	.
It	it	It
was	was	wa
passed	pass	passed
by	by	by
a	a	a
narrow	narrow	narrow
majority	major	majority
in	in	in
the	the	the
early	earli	early
hours	hour	hour
of	of	of
Wednesday	wednesday	Wednesday
after	after	after
hours	hour	hour
of	of	of
obstruction	obstruct	obstruction
by	by	by
Serb	serb	Serb
opposition	opposit	opposition
parties	parti	party
over	over	over
procedural	procedur	procedural
matters	matter	matter
.	.	.
Bosniak	bosniak	Bosniak
deputies	deputi	deputy
abstained	abstain	abstained
from	from	from
the	the	the
vote	vote	vote
,	,	,
saying	say	saying
the	the	the
parliament	parliament	parliament
could	could	could
not	not	not
decide	decid	decide
on	on	on
defense	defens	defense
issues	issu	issue
.	.	.
This	this	This
resolution	resolut	resolution
is	is	is
not	not	not
binding	bind	binding
and	and	and
represents	repres	represents
only	onli	only
a	a	a
stance	stanc	stance
on	on	on
the	the	the
issue	issu	issue
,	,	,
said	said	said
political	polit	political
analyst	analyst	analyst
Tanja	tanja	Tanja
Topic	topic	Topic
.	.	.
I	i	I
think	think	think
the	the	the
Republika	republika	Republika
Srpska	srpska	Srpska
Serb	serb	Serb
Republic	republ	Republic
cannot	cannot	cannot
decide	decid	decide
in	in	in
any	ani	any
capacity	capac	capacity
about	about	about
Bosnia	bosnia	Bosnia
joining	join	joining
any	ani	any
military	militari	military
alliance	allianc	alliance
or	or	or
about	about	about
any	ani	any
segment	segment	segment
of	of	of
defense	defens	defense
because	becaus	because
it	it	it
is	is	is
an	an	an
entity	entiti	entity
within	within	within
the	the	the
Bosnian	bosnian	Bosnian
state	state	state
which	which	which
is	is	is
the	the	the
single	singl	single
authority	author	authority
for	for	for
these	these	these
issues	issu	issue
,	,	,
Topic	topic	Topic
said	said	said
.	.	.
Bosnia	bosnia	Bosnia
has	has	ha
made	made	made
some	some	some
progress	progress	progress
towards	toward	towards
fulfilling	fulfil	fulfilling
conditions	condit	condition
for	for	for
the	the	the
Membership	membership	Membership
Action	action	Action
Plan	plan	Plan
,	,	,
the	the	the
forerunner	forerunn	forerunner
to	to	to
full	full	full
NATO	nato	NATO
membership	membership	membership
,	,	,
but	but	but
Bosnian	bosnian	Bosnian
Serbs	serb	Serbs
have	have	have
dragged	drag	dragged
their	their	their
feet	feet	foot
on	on	on
meeting	meet	meeting
the	the	the
remaining	remain	remaining
terms	term	term
.	.	.
Kosovo	kosovo	Kosovo
declared	declar	declared
independence	independ	independence
from	from	from
Serbia	serbia	Serbia
in	in	in
2008	2008	2008
,	,	,
nine	nine	nine
years	year	year
after	after	after
NATO	nato	NATO
bombing	bomb	bombing
drove	drove	drove
out	out	out
Serbian	serbian	Serbian
forces	forc	force
accused	accus	accused
of	of	of
killing	kill	killing
and	and	and
expelling	expel	expelling
ethnic	ethnic	ethnic
Albanian	albanian	Albanian
civilians	civilian	civilian
as	as	a
Serbia	serbia	Serbia
tried	tri	tried
to	to	to
put	put	put
down	down	down
an	an	an
insurgency	insurg	insurgency
in	in	in
Kosovo	kosovo	Kosovo
.	.	.
Serbia	serbia	Serbia
refuses	refus	refuse
to	to	to
recognize	recogn	recognize
its	it	it
independence	independ	independence
.	.	.
