BEIJING	beij	BEIJING
court	court	court
s	s	s
social	social	social
media	media	medium
account	account	account
.	.	.
A	a	A
mainland	mainland	mainland
Chinese	chines	Chinese
rights	right	right
activist	activist	activist
,	,	,
Peng	peng	Peng
Yuhua	yuhua	Yuhua
,	,	,
tried	tri	tried
alongside	alongsid	alongside
Li	li	Li
,	,	,
was	was	wa
sentenced	sentenc	sentenced
to	to	to
seven	seven	seven
years	year	year
for	for	for
the	the	the
same	same	same
crime	crime	crime
.	.	.
Taiwan	taiwan	Taiwan
s	s	s
ruling	rule	ruling
Democratic	democrat	Democratic
Progressive	progress	Progressive
Party	parti	Party
DPP	dpp	DPP
said	said	said
that	that	that
it	it	it
was	was	wa
strongly	strong	strongly
dissatisfied	dissatisfi	dissatisfied
and	and	and
regretful	regret	regretful
of	of	of
the	the	the
result	result	result
,	,	,
calling	call	calling
for	for	for
Beijing	beij	Beijing
to	to	to
allow	allow	allow
Li	li	Li
to	to	to
return	return	return
to	to	to
Taiwan	taiwan	Taiwan
.	.	.
Beijing	beij	Beijing
must	must	must
ensure	ensur	ensure
the	the	the
health	health	health
and	and	and
well	well	well
-being	-be	-being
of	of	of
Li	li	Li
,	,	,
respect	respect	respect
the	the	the
law	law	law
and	and	and
continue	continu	continue
to	to	to
allow	allow	allow
his	his	his
family	famili	family
to	to	to
visit	visit	visit
him	him	him
,	,	,
the	the	the
DPP	dpp	DPP
said	said	said
in	in	in
a	a	a
statement	statement	statement
.	.	.
Li	li	Li
s	s	s
wife	wife	wife
,	,	,
Li	li	Li
Ching	ching	Ching
-yu	-yu	-yu
,	,	,
who	who	who
had	had	had
travelled	travel	travelled
to	to	to
the	the	the
mainland	mainland	mainland
from	from	from
Taiwan	taiwan	Taiwan
to	to	to
attend	attend	attend
her	her	her
husband	husband	husband
s	s	s
hearing	hear	hearing
,	,	,
was	was	wa
in	in	in
attendance	attend	attendance
when	when	when
the	the	the
verdict	verdict	verdict
was	was	wa
read	read	read
,	,	,
according	accord	according
to	to	to
the	the	the
videos	video	video
.	.	.
Li	li	Li
Ching	ching	Ching
-yu	-yu	-yu
said	said	said
in	in	in
a	a	a
statement	statement	statement
sent	sent	sent
to	to	to
Reuters	reuter	Reuters
by	by	by
her	her	her
supporters	support	supporter
that	that	that
her	her	her
husband	husband	husband
had	had	had
long	long	long
realised	realis	realised
that	that	that
his	his	his
rights	right	right
work	work	work
came	came	came
with	with	with
a	a	a
cost	cost	cost
and	and	and
that	that	that
there	there	there
were	were	were
tigers	tiger	tiger
in	in	in
the	the	the
mountains	mountain	mountain
.	.	.
He	he	He
came	came	came
to	to	to
understand	understand	understand
early	earli	early
on	on	on
that	that	that
he	he	he
must	must	must
accept	accept	accept
the	the	the
torment	torment	torment
of	of	of
being	be	being
made	made	made
to	to	to
accept	accept	accept
guilt	guilt	guilt
and	and	and
of	of	of
being	be	being
imprisoned	imprison	imprisoned
,	,	,
she	she	she
said	said	said
.	.	.
Peng	peng	Peng
had	had	had
been	been	been
the	the	the
main	main	main
actor	actor	actor
in	in	in
the	the	the
subversion	subvers	subversion
and	and	and
Li	li	Li
had	had	had
been	been	been
an	an	an
active	activ	active
participant	particip	participant
,	,	,
the	the	the
court	court	court
authorities	author	authority
said	said	said
in	in	in
the	the	the
video	video	video
.	.	.
Both	both	Both
Li	li	Li
and	and	and
Peng	peng	Peng
said	said	said
that	that	that
they	they	they
accepted	accept	accepted
the	the	the
ruling	rule	ruling
and	and	and
would	would	would
not	not	not
appeal	appeal	appeal
,	,	,
according	accord	according
to	to	to
the	the	the
court	court	court
s	s	s
video	video	video
.	.	.
Ties	tie	Ties
between	between	between
Beijing	beij	Beijing
and	and	and
Taipei	taipei	Taipei
have	have	have
been	been	been
strained	strain	strained
since	sinc	since
Taiwan	taiwan	Taiwan
s	s	s
President	presid	President
Tsai	tsai	Tsai
Ing	ing	Ing
-wen	-wen	-wen
,	,	,
leader	leader	leader
of	of	of
the	the	the
independence	independ	independence
-leaning	-lean	-leaning
Democratic	democrat	Democratic
Progressive	progress	Progressive
Party	parti	Party
,	,	,
took	took	took
office	offic	office
last	last	last
year	year	year
.	.	.
Tsai	tsai	Tsai
s	s	s
refusal	refus	refusal
to	to	to
state	state	state
that	that	that
Taiwan	taiwan	Taiwan
and	and	and
China	china	China
are	are	are
part	part	part
of	of	of
one	one	one
country	countri	country
has	has	ha
angered	anger	angered
Beijing	beij	Beijing
,	,	,
as	as	a
have	have	have
her	her	her
comments	comment	comment
about	about	about
human	human	human
rights	right	right
on	on	on
the	the	the
mainland	mainland	mainland
.	.	.
