Please	pleas	Please
its	it	it
own	own	own
brief	brief	brief
in	in	in
support	support	support
of	of	of
Trump	trump	Trump
,	,	,
a	a	a
charge	charg	charge
that	that	that
Mills	mill	Mills
denied	deni	denied
.	.	.

Instead	instead	Instead
of	of	of
signing	sign	signing
onto	onto	onto
another	anoth	another
party	parti	party
s	s	s
brief	brief	brief
at	at	at
no	no	no
cost	cost	cost
to	to	to
the	the	the
taxpayers	taxpay	taxpayer
,	,	,
however	howev	however
,	,	,
or	or	or
hiring	hire	hiring
a	a	a
lawyer	lawyer	lawyer
to	to	to
draft	draft	draft
his	his	his
own	own	own
brief	brief	brief
,	,	,
the	the	the
governor	governor	governor
has	has	ha
wasted	wast	wasted
state	state	state
resources	resourc	resource
by	by	by
hiring	hire	hiring
a	a	a
lawyer	lawyer	lawyer
to	to	to
file	file	file
a	a	a
frivolous	frivol	frivolous
lawsuit	lawsuit	lawsuit
,	,	,
complaining	complain	complaining
that	that	that
he	he	he
cannot	cannot	cannot
do	do	do
exactly	exact	exactly
what	what	what
we	we	we
have	have	have
told	told	told
him	him	him
he	he	he
can	can	can
do	do	do
,	,	,
Mills	mill	Mills
said	said	said
in	in	in
a	a	a
statement	statement	statement
.	.	.

Maine	main	Maine
is	is	is
the	the	the
only	onli	only
one	one	one
of	of	of
the	the	the
50	50	50
U	u	U
.	.	.
S	s	S
.	.	.
states	state	state
where	where	where
the	the	the
attorney	attorney	attorney
general	general	general
is	is	is
elected	elect	elected
by	by	by
the	the	the
state	state	state
legislature	legislatur	legislature
,	,	,
rather	rather	rather
than	than	than
elected	elect	elected
by	by	by
voters	voter	voter
or	or	or
appointed	appoint	appointed
by	by	by
the	the	the
governor	governor	governor
.	.	.

The	the	The
nation	nation	nation
s	s	s
22	22	22
Democratic	democrat	Democratic
attorneys	attorney	attorney
general	general	general
emerged	emerg	emerged
in	in	in
the	the	the
first	first	first
months	month	month
of	of	of
the	the	the
Trump	trump	Trump
administration	administr	administration
as	as	a
a	a	a
major	major	major
opposition	opposit	opposition
force	forc	force
to	to	to
his	his	his
policies	polici	policy
,	,	,
successfully	success	successfully
suing	su	suing
to	to	to
block	block	block
his	his	his
executive	execut	executive
orders	order	order
on	on	on
travel	travel	travel
and	and	and
also	also	also
challenging	challeng	challenging
environmental	environment	environmental
policy	polici	policy
moves	move	move
.	.	.

Maine	main	Maine
is	is	is
one	one	one
of	of	of
eight	eight	eight
U	u	U
.	.	.
S	s	S
.	.	.
states	state	state
that	that	that
have	have	have
a	a	a
Republican	republican	Republican
governor	governor	governor
and	and	and
a	a	a
Democratic	democrat	Democratic
attorney	attorney	attorney
general	general	general
,	,	,
setting	set	setting
the	the	the
stage	stage	stage
for	for	for
the	the	the
conflict	conflict	conflict
that	that	that
resulted	result	resulted
in	in	in
Monday	monday	Monday
s	s	s
lawsuit	lawsuit	lawsuit
,	,	,
filed	file	filed
in	in	in
Kennebec	kennebec	Kennebec
County	counti	County
Superior	superior	Superior
Court	court	Court
.	.	.

LePage	lepag	LePage
was	was	wa
first	first	first
elected	elect	elected
to	to	to
office	offic	office
in	in	in
2010	2010	2010
on	on	on
a	a	a
wave	wave	wave
of	of	of
Tea	tea	Tea
Party	parti	Party
support	support	support
and	and	and
was	was	wa
re	re	re
-elected	-elect	-elected
in	in	in
2014	2014	2014
.	.	.

Both	both	Both
victories	victori	victory
came	came	came
in	in	in
three	three	three
-way	-way	-way
races	race	race
.	.	.

He	he	He
was	was	wa
an	an	an
early	earli	early
supporter	support	supporter
of	of	of
Trump	trump	Trump
and	and	and
came	came	came
under	under	under
intense	intens	intense
public	public	public
pressure	pressur	pressure
last	last	last
year	year	year
after	after	after
calling	call	calling
a	a	a
Democratic	democrat	Democratic
lawmaker	lawmak	lawmaker
a	a	a
little	littl	little
son	son	son
-of-a-bitch	-of-a-bitch	-of-a-bitch
,	,	,
socialist	socialist	socialist
cocksucker	cocksuck	cocksucker
,	,	,
in	in	in
a	a	a
voicemail	voicemail	voicemail
message	messag	message
that	that	that
was	was	wa
widely	wide	widely
circulated	circul	circulated
.	.	.

