SAO	sao	SAO
the	the	the
dams	dam	dam
,	,	,
but	but	but
the	the	the
lack	lack	lack
of	of	of
maintenance	mainten	maintenance
means	mean	mean
that	that	that
we	we	we
still	still	still
have	have	have
power	power	power
outages	outag	outage
,	,	,
the	the	the
source	sourc	source
said	said	said
,	,	,
asking	ask	asking
not	not	not
to	to	to
be	be	be
named	name	named
because	becaus	because
he	he	he
was	was	wa
not	not	not
authorized	author	authorized
to	to	to
speak	speak	speak
about	about	about
the	the	the
issue	issu	issue
.	.	.
Brazil	brazil	Brazil
s	s	s
government	govern	government
is	is	is
evaluating	evalu	evaluating
quickly	quick	quickly
awarding	award	awarding
licenses	licens	license
for	for	for
companies	compani	company
to	to	to
build	build	build
local	local	local
power	power	power
generation	generat	generation
projects	project	project
of	of	of
various	various	various
types	type	type
,	,	,
including	includ	including
both	both	both
renewable	renew	renewable
and	and	and
non	non	non
-renewable	-renew	-renewable
energy	energi	energy
.	.	.
It	it	It
is	is	is
also	also	also
studying	studi	studying
the	the	the
possibility	possibl	possibility
of	of	of
buying	buy	buying
large	larg	large
-scale	-scale	-scale
batteries	batteri	battery
.	.	.
Asked	ask	Asked
why	whi	why
Roraima	roraima	Roraima
is	is	is
still	still	still
not	not	not
connected	connect	connected
to	to	to
the	the	the
national	nation	national
power	power	power
grid	grid	grid
,	,	,
Alves	alv	Alves
said	said	said
a	a	a
project	project	project
for	for	for
a	a	a
new	new	new
line	line	line
awarded	award	awarded
in	in	in
2011	2011	2011
to	to	to
a	a	a
consortium	consortium	consortium
formed	form	formed
by	by	by
Centrais	centrai	Centrais
El	el	El
tricas	trica	tricas
Brasileiras	brasileira	Brasileiras
SA	sa	SA
and	and	and
Alupar	alupar	Alupar
Investimento	investimento	Investimento
SA	sa	SA
was	was	wa
never	never	never
built	built	built
because	becaus	because
of	of	of
difficulties	difficulti	difficulty
obtaining	obtain	obtaining
environmental	environment	environmental
permits	permit	permit
.	.	.
Roraima	roraima	Roraima
is	is	is
home	home	home
to	to	to
some	some	some
of	of	of
the	the	the
largest	largest	largest
indigenous	indigen	indigenous
lands	land	land
in	in	in
Brazil	brazil	Brazil
,	,	,
such	such	such
as	as	a
the	the	the
Raposa	raposa	Raposa
Serra	serra	Serra
do	do	do
Sol	sol	Sol
reserve	reserv	reserve
with	with	with
1	1	1
.	.	.
74	74	74
million	million	million
hectares	hectar	hectare
4	4	4
.	.	.
2	2	2
million	million	million
acres	acr	acre
,	,	,
an	an	an
area	area	area
similar	similar	similar
to	to	to
that	that	that
of	of	of
Kuwait	kuwait	Kuwait
.	.	.
The	the	The
proposed	propos	proposed
line	line	line
would	would	would
cut	cut	cut
through	through	through
one	one	one
of	of	of
them	them	them
.	.	.
The	the	The
government	govern	government
plans	plan	plan
to	to	to
award	award	award
a	a	a
new	new	new
license	licens	license
early	earli	early
next	next	next
year	year	year
for	for	for
the	the	the
construction	construct	construction
of	of	of
a	a	a
power	power	power
line	line	line
to	to	to
connect	connect	connect
Roraima	roraima	Roraima
to	to	to
the	the	the
grid	grid	grid
,	,	,
Alves	alv	Alves
said	said	said
.	.	.
