LAS	las	LAS
not	not	not
help	help	help
any	ani	any
government	govern	government
with	with	with
cyber	cyber	cyber
espionage	espionag	espionage
.	.	.
It	it	It
said	said	said
there	there	there
is	is	is
no	no	no
evidence	evid	evidence
for	for	for
the	the	the
accusations	accus	accusation
made	made	made
by	by	by
U	u	U
.	.	.
S	s	S
.	.	.
officials	offici	official
.	.	.
The	the	The
committee	committe	committee
is	is	is
concerned	concern	concerned
that	that	that
Kaspersky	kasperski	Kaspersky
Lab	lab	Lab
is	is	is
susceptible	suscept	susceptible
to	to	to
manipulation	manipul	manipulation
by	by	by
the	the	the
Russian	russian	Russian
government	govern	government
,	,	,
and	and	and
that	that	that
its	it	it
products	product	product
could	could	could
be	be	be
used	use	used
as	as	a
a	a	a
tool	tool	tool
for	for	for
espionage	espionag	espionage
,	,	,
sabotage	sabotag	sabotage
,	,	,
or	or	or
other	other	other
nefarious	nefari	nefarious
activities	activ	activity
against	against	against
the	the	the
United	unit	United
States	state	States
,	,	,
wrote	wrote	wrote
the	the	the
panel	panel	panel
s	s	s
Republican	republican	Republican
chairman	chairman	chairman
,	,	,
Lamar	lamar	Lamar
Smith	smith	Smith
,	,	,
in	in	in
the	the	the
letters	letter	letter
.	.	.
They	they	They
were	were	were
sent	sent	sent
to	to	to
all	all	all
Cabinet	cabinet	Cabinet
-level	-level	-level
agencies	agenc	agency
,	,	,
including	includ	including
the	the	the
Department	depart	Department
of	of	of
Commerce	commerc	Commerce
and	and	and
Department	depart	Department
of	of	of
Homeland	homeland	Homeland
Security	secur	Security
,	,	,
as	as	a
well	well	well
as	as	a
the	the	the
Environmental	environment	Environmental
Protection	protect	Protection
Agency	agenc	Agency
and	and	and
the	the	the
National	nation	National
Aeronautics	aeronaut	Aeronautics
and	and	and
Space	space	Space
Administration	administr	Administration
,	,	,
among	among	among
others	other	others
.	.	.
A	a	A
committee	committe	committee
aide	aid	aide
told	told	told
Reuters	reuter	Reuters
the	the	the
survey	survey	survey
was	was	wa
a	a	a
first	first	first
step	step	step
designed	design	designed
to	to	to
canvas	canva	canvas
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
government	govern	government
and	and	and
that	that	that
more	more	more
action	action	action
may	may	may
follow	follow	follow
depending	depend	depending
on	on	on
the	the	the
results	result	result
.	.	.
The	the	The
committee	committe	committee
asked	ask	asked
for	for	for
responses	respons	response
by	by	by
Aug	aug	Aug
.	.	.
11	11	11
.	.	.
Kaspersky	kasperski	Kaspersky
Lab	lab	Lab
,	,	,
founded	found	founded
in	in	in
1997	1997	1997
and	and	and
now	now	now
counts	count	count
over	over	over
400	400	400
million	million	million
global	global	global
customers	custom	customer
,	,	,
has	has	ha
tried	tri	tried
largely	larg	largely
in	in	in
vain	vain	vain
to	to	to
become	becom	become
a	a	a
vendor	vendor	vendor
to	to	to
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
government	govern	government
,	,	,
one	one	one
of	of	of
the	the	the
world	world	world
s	s	s
biggest	biggest	biggest
buyers	buyer	buyer
of	of	of
cyber	cyber	cyber
tools	tool	tool
.	.	.
Longstanding	longstand	Longstanding
suspicions	suspicion	suspicion
about	about	about
the	the	the
company	compani	company
grew	grew	grew
in	in	in
the	the	the
United	unit	United
States	state	States
when	when	when
U	u	U
.	.	.
S	s	S
.	.	.
-Russia	-russia	-Russia
relations	relat	relation
deteriorated	deterior	deteriorated
following	follow	following
Russia	russia	Russia
s	s	s
2014	2014	2014
annexation	annex	annexation
of	of	of
Crimea	crimea	Crimea
and	and	and
later	later	later
when	when	when
U	u	U
.	.	.
S	s	S
.	.	.
intelligence	intellig	intelligence
agencies	agenc	agency
determined	determin	determined
that	that	that
Russia	russia	Russia
interfered	interf	interfered
in	in	in
the	the	the
2016	2016	2016
U	u	U
.	.	.
S	s	S
.	.	.
presidential	presidenti	presidential
election	elect	election
using	use	using
cyber	cyber	cyber
means	mean	mean
.	.	.
Congress	congress	Congress
this	this	this
week	week	week
slapped	slap	slapped
new	new	new
sanctions	sanction	sanction
on	on	on
Russia	russia	Russia
,	,	,
in	in	in
part	part	part
in	in	in
response	respons	response
to	to	to
the	the	the
allegations	alleg	allegation
,	,	,
which	which	which
Moscow	moscow	Moscow
flatly	flat	flatly
denies	deni	denies
.	.	.
Moscow	moscow	Moscow
retaliated	retali	retaliated
by	by	by
ordering	order	ordering
out	out	out
some	some	some
U	u	U
.	.	.
S	s	S
.	.	.
diplomats	diplomat	diplomat
.	.	.
U	u	U
.	.	.
S	s	S
.	.	.
intelligence	intellig	intelligence
chiefs	chief	chief
in	in	in
May	may	May
publicly	public	publicly
expressed	express	expressed
doubt	doubt	doubt
about	about	about
the	the	the
safety	safeti	safety
of	of	of
Kaspersky	kasperski	Kaspersky
products	product	product
for	for	for
the	the	the
first	first	first
time	time	time
,	,	,
although	although	although
they	they	they
offered	offer	offered
no	no	no
specific	specif	specific
evidence	evid	evidence
of	of	of
any	ani	any
wrongdoing	wrongdo	wrongdoing
.	.	.
The	the	The
government	govern	government
is	is	is
reviewing	review	reviewing
how	how	how
many	mani	many
agencies	agenc	agency
use	use	use
software	softwar	software
from	from	from
Kaspersky	kasperski	Kaspersky
Lab	lab	Lab
.	.	.
In	in	In
June	june	June
,	,	,
FBI	fbi	FBI
agents	agent	agent
visited	visit	visited
the	the	the
homes	home	home
of	of	of
Kaspersky	kasperski	Kaspersky
employees	employe	employee
as	as	a
part	part	part
of	of	of
a	a	a
counterintelligence	counterintellig	counterintelligence
probe	probe	probe
,	,	,
two	two	two
sources	sourc	source
familiar	familiar	familiar
with	with	with
the	the	the
matter	matter	matter
said	said	said
.	.	.
The	the	The
Trump	trump	Trump
administration	administr	administration
also	also	also
took	took	took
steps	step	step
to	to	to
remove	remov	remove
Kaspersky	kasperski	Kaspersky
from	from	from
a	a	a
list	list	list
of	of	of
approved	approv	approved
government	govern	government
vendors	vendor	vendor
.	.	.
A	a	A
defense	defens	defense
spending	spend	spending
policy	polici	policy
bill	bill	bill
advancing	advanc	advancing
in	in	in
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
Senate	senat	Senate
would	would	would
prohibit	prohibit	prohibit
the	the	the
Department	depart	Department
of	of	of
Defense	defens	Defense
from	from	from
using	use	using
Kaspersky	kasperski	Kaspersky
products	product	product
.	.	.
Kaspersky	kasperski	Kaspersky
employees	employe	employee
attending	attend	attending
the	the	the
annual	annual	annual
Black	black	Black
Hat	hat	Hat
conference	confer	conference
in	in	in
Las	las	Las
Vegas	vega	Vegas
this	this	this
week	week	week
appeared	appear	appeared
to	to	to
be	be	be
largely	larg	largely
taking	take	taking
the	the	the
setbacks	setback	setback
in	in	in
stride	stride	stride
.	.	.
The	the	The
company	compani	company
cheekily	cheekili	cheekily
hosted	host	hosted
a	a	a
party	parti	party
at	at	at
the	the	the
Red	red	Red
Square	squar	Square
restaurant	restaur	restaurant
and	and	and
bar	bar	bar
,	,	,
where	where	where
it	it	it
invited	invit	invited
attendees	attende	attendee
to	to	to
don	don	don
fur	fur	fur
coats	coat	coat
before	befor	before
entering	enter	entering
a	a	a
vodka	vodka	vodka
freezer	freezer	freezer
to	to	to
enjoy	enjoy	enjoy
high	high	high
-end	-end	-end
imported	import	imported
bottles	bottl	bottle
of	of	of
alcohol	alcohol	alcohol
.	.	.
On	on	On
Tuesday	tuesday	Tuesday
,	,	,
the	the	the
company	compani	company
launched	launch	launched
a	a	a
free	free	free
,	,	,
global	global	global
version	version	version
of	of	of
its	it	it
antivirus	antivirus	antivirus
software	softwar	software
,	,	,
saying	say	saying
in	in	in
a	a	a
blog	blog	blog
post	post	post
that	that	that
it	it	it
would	would	would
help	help	help
secure	secur	secure
the	the	the
whole	whole	whole
world	world	world
.	.	.
