STOCKHOLM	stockholm	STOCKHOLM
because	becaus	because
Gui	gui	Gui
Minhai	minhai	Minhai
has	has	ha
served	serv	served
his	his	his
sentence	sentenc	sentence
for	for	for
the	the	the
crime	crime	crime
of	of	of
causing	caus	causing
traffic	traffic	traffic
accident	accid	accident
casualties	casualti	casualty
,	,	,
he	he	he
was	was	wa
released	releas	released
on	on	on
Oct	oct	Oct
.	.	.
17	17	17
,	,	,
the	the	the
Chinese	chines	Chinese
Foreign	foreign	Foreign
Ministry	ministri	Ministry
said	said	said
in	in	in
an	an	an
e	e	e
-mailed	-mail	-mailed
statement	statement	statement
to	to	to
Reuters	reuter	Reuters
.	.	.
The	the	The
Swedish	swedish	Swedish
Foreign	foreign	Foreign
Ministry	ministri	Ministry
said	said	said
it	it	it
had	had	had
been	been	been
informed	inform	informed
by	by	by
its	it	it
Chinese	chines	Chinese
counterpart	counterpart	counterpart
of	of	of
Gui	gui	Gui
s	s	s
release	releas	release
and	and	and
that	that	that
it	it	it
was	was	wa
working	work	working
to	to	to
confirm	confirm	confirm
the	the	the
information	inform	information
.	.	.
However	howev	However
,	,	,
Gui	gui	Gui
s	s	s
family	famili	family
questioned	question	questioned
if	if	if
he	he	he
really	realli	really
was	was	wa
free	free	free
.	.	.
His	his	His
daughter	daughter	daughter
said	said	said
he	he	he
had	had	had
made	made	made
no	no	no
contact	contact	contact
with	with	with
her	her	her
or	or	or
any	ani	any
other	other	other
relatives	relat	relative
.	.	.
Today	today	Today
it	it	it
has	has	ha
been	been	been
a	a	a
week	week	week
since	sinc	since
October	octob	October
17	17	17
and	and	and
I	i	I
still	still	still
do	do	do
not	not	not
know	know	know
where	where	where
my	my	my
father	father	father
is	is	is
,	,	,
Angela	angela	Angela
Gui	gui	Gui
said	said	said
in	in	in
a	a	a
statement	statement	statement
.	.	.
I	i	I
am	am	am
deeply	deepli	deeply
concerned	concern	concerned
for	for	for
his	his	his
wellbeing	wellb	wellbeing
.	.	.
The	the	The
report	report	report
of	of	of
Gui	gui	Gui
s	s	s
release	releas	release
coincides	coincid	coincides
with	with	with
the	the	the
end	end	end
of	of	of
China	china	China
s	s	s
19th	19th	19th
Communist	communist	Communist
Party	parti	Party
congress	congress	congress
which	which	which
has	has	ha
further	further	further
consolidated	consolid	consolidated
President	presid	President
Xi	xi	Xi
Jinping	jinp	Jinping
s	s	s
power	power	power
.	.	.
Lam	lam	Lam
Wing	wing	Wing
-kee	-kee	-kee
,	,	,
one	one	one
of	of	of
the	the	the
other	other	other
four	four	four
booksellers	booksel	bookseller
,	,	,
told	told	told
Reuters	reuter	Reuters
he	he	he
did	did	did
not	not	not
know	know	know
Gui	gui	Gui
s	s	s
whereabouts	whereabout	whereabouts
.	.	.
Lam	lam	Lam
said	said	said
he	he	he
feared	fear	feared
the	the	the
government	govern	government
of	of	of
Xi	xi	Xi
would	would	would
further	further	further
erode	erod	erode
the	the	the
one	one	one
country	countri	country
,	,	,
two	two	two
systems	system	system
formula	formula	formula
that	that	that
is	is	is
supposed	suppos	supposed
to	to	to
guarantee	guarante	guarantee
Hong	hong	Hong
Kong	kong	Kong
a	a	a
large	larg	large
degree	degre	degree
of	of	of
autonomy	autonomi	autonomy
under	under	under
Chinese	chines	Chinese
rule	rule	rule
.	.	.
He	he	He
Xi	xi	Xi
will	will	will
continue	continu	continue
to	to	to
tighten	tighten	tighten
things	thing	thing
for	for	for
Hong	hong	Hong
Kong	kong	Kong
.	.	.
There	there	There
will	will	will
be	be	be
no	no	no
loosening	loosen	loosening
,	,	,
he	he	he
said	said	said
.	.	.
Earlier	earlier	Earlier
this	this	this
year	year	year
,	,	,
Gui	gui	Gui
won	won	won
a	a	a
prize	prize	prize
for	for	for
free	free	free
speech	speech	speech
and	and	and
press	press	press
freedom	freedom	freedom
awarded	award	awarded
by	by	by
Swedish	swedish	Swedish
media	media	medium
organization	organ	organization
Publicistklubben	publicistklubben	Publicistklubben
.	.	.
