PHNOM	phnom	PHNOM
dissolved	dissolv	dissolved
.	.	.

Lawyers	lawyer	Lawyers
from	from	from
the	the	the
interior	interior	interior
ministry	ministri	ministry
filed	file	filed
a	a	a
lawsuit	lawsuit	lawsuit
on	on	on
Oct	oct	Oct
.	.	.

6	6	6
to	to	to
demand	demand	demand
the	the	the
dissolution	dissolut	dissolution
the	the	the
CNRP	cnrp	CNRP
,	,	,
after	after	after
Kem	kem	Kem
Sokha	sokha	Sokha
was	was	wa
charged	charg	charged
with	with	with
treason	treason	treason
following	follow	following
his	his	his
Sept	sept	Sept
.	.	.

3	3	3
arrest	arrest	arrest
.	.	.

The	the	The
government	govern	government
has	has	ha
said	said	said
CNRP	cnrp	CNRP
conspired	conspir	conspired
with	with	with
foreign	foreign	foreign
advisors	advisor	advisor
to	to	to
topple	toppl	topple
the	the	the
government	govern	government
,	,	,
citing	cite	citing
a	a	a
2013	2013	2013
video	video	video
clip	clip	clip
showing	show	showing
Kem	kem	Kem
Sokha	sokha	Sokha
talking	talk	talking
about	about	about
a	a	a
plan	plan	plan
to	to	to
take	take	take
power	power	power
with	with	with
the	the	the
help	help	help
of	of	of
Americans	american	Americans
.	.	.

Half	half	Half
of	of	of
opposition	opposit	opposition
figures	figur	figure
fled	fled	fled
abroad	abroad	abroad
in	in	in
September	septemb	September
and	and	and
early	earli	early
October	octob	October
as	as	a
Hun	hun	Hun
Sen	sen	Sen
moves	move	move
to	to	to
tighten	tighten	tighten
his	his	his
grip	grip	grip
on	on	on
power	power	power
by	by	by
silencing	silenc	silencing
critics	critic	critic
in	in	in
the	the	the
lead	lead	lead
-up	-up	-up
to	to	to
the	the	the
national	nation	national
election	elect	election
.	.	.

Mu	mu	Mu
Sochua	sochua	Sochua
,	,	,
deputy	deputi	deputy
president	presid	president
of	of	of
the	the	the
opposition	opposit	opposition
CNRP	cnrp	CNRP
,	,	,
who	who	who
fled	fled	fled
Cambodia	cambodia	Cambodia
earlier	earlier	earlier
this	this	this
month	month	month
in	in	in
fear	fear	fear
of	of	of
arrest	arrest	arrest
,	,	,
called	call	called
on	on	on
political	polit	political
parties	parti	party
to	to	to
only	onli	only
contest	contest	contest
the	the	the
2018	2018	2018
election	elect	election
if	if	if
it	it	it
is	is	is
free	free	free
and	and	and
fair	fair	fair
.	.	.

All	all	All
conditions	condit	condition
for	for	for
free	free	free
fair	fair	fair
and	and	and
inclusive	inclus	inclusive
elections	elect	election
must	must	must
be	be	be
met	met	met
,	,	,
Mu	mu	Mu
Sochua	sochua	Sochua
told	told	told
Reuters	reuter	Reuters
.	.	.

Any	ani	Any
party	parti	party
that	that	that
want	want	want
to	to	to
compete	compet	compete
to	to	to
win	win	win
CPP	cpp	CPP
must	must	must
only	onli	only
do	do	do
so	so	so
if	if	if
these	these	these
conditions	condit	condition
are	are	are
met	met	met
.	.	.

