WHITE	white	WHITE
45	45	45
.	.	.
6	6	6
percent	percent	percent
support	support	support
,	,	,
compared	compar	compared
with	with	with
Trump	trump	Trump
s	s	s
42	42	42
.	.	.
8	8	8
percent	percent	percent
.	.	.
Obama	obama	Obama
also	also	also
hit	hit	hit
back	back	back
at	at	at
Trump	trump	Trump
for	for	for
criticizing	critic	criticizing
his	his	his
foreign	foreign	foreign
policy	polici	policy
record	record	record
,	,	,
saying	say	saying
the	the	the
Republican	republican	Republican
nominee	nomine	nominee
was	was	wa
unfit	unfit	unfit
to	to	to
follow	follow	follow
him	him	him
into	into	into
the	the	the
Oval	oval	Oval
Office	offic	Office
and	and	and
the	the	the
public	public	public
should	should	should
press	press	press
Trump	trump	Trump
on	on	on
his	his	his
outright	outright	outright
wacky	wacki	wacky
ideas	idea	idea
.	.	.
The	the	The
televised	televis	televised
Commander	command	Commander
-in-Chief	-in-chief	-in-Chief
forum	forum	forum
on	on	on
Wednesday	wednesday	Wednesday
,	,	,
attended	attend	attended
by	by	by
military	militari	military
veterans	veteran	veteran
,	,	,
was	was	wa
the	the	the
first	first	first
time	time	time
Trump	trump	Trump
and	and	and
Clinton	clinton	Clinton
had	had	had
squared	squar	squared
off	off	off
on	on	on
the	the	the
same	same	same
stage	stage	stage
since	sinc	since
accepting	accept	accepting
their	their	their
parties	parti	party
White	white	White
House	hous	House
nominations	nomin	nomination
in	in	in
July	juli	July
,	,	,
although	although	although
they	they	they
did	did	did
not	not	not
appear	appear	appear
at	at	at
the	the	the
same	same	same
time	time	time
.	.	.
The	the	The
forum	forum	forum
offered	offer	offered
a	a	a
prelude	prelud	prelude
to	to	to
how	how	how
Clinton	clinton	Clinton
and	and	and
Trump	trump	Trump
will	will	will
deal	deal	deal
with	with	with
questions	question	question
of	of	of
national	nation	national
security	secur	security
in	in	in
their	their	their
three	three	three
upcoming	upcom	upcoming
presidential	presidenti	presidential
debates	debat	debate
later	later	later
in	in	in
September	septemb	September
and	and	and
in	in	in
October	octob	October
.	.	.
Clinton	clinton	Clinton
has	has	ha
said	said	said
her	her	her
experience	experi	experience
in	in	in
government	govern	government
as	as	a
secretary	secretari	secretary
of	of	of
state	state	state
and	and	and
a	a	a
U	u	U
.	.	.
S	s	S
.	.	.
senator	senat	senator
makes	make	make
her	her	her
uniquely	uniqu	uniquely
qualified	qualifi	qualified
for	for	for
the	the	the
White	white	White
House	hous	House
,	,	,
and	and	and
that	that	that
Trump	trump	Trump
s	s	s
series	seri	series
of	of	of
controversial	controversi	controversial
comments	comment	comment
make	make	make
him	him	him
temperamentally	temperament	temperamentally
unfit	unfit	unfit
for	for	for
the	the	the
office	offic	office
.	.	.
Some	some	Some
of	of	of
Trump	trump	Trump
s	s	s
foreign	foreign	foreign
policy	polici	policy
positions	posit	position
,	,	,
such	such	such
as	as	a
his	his	his
proposal	propos	proposal
to	to	to
fight	fight	fight
terrorism	terror	terrorism
by	by	by
imposing	impos	imposing
a	a	a
temporary	temporari	temporary
ban	ban	ban
on	on	on
Muslims	muslim	Muslims
entering	enter	entering
the	the	the
country	countri	country
,	,	,
have	have	have
alarmed	alarm	alarmed
not	not	not
just	just	just
Democrats	democrat	Democrats
but	but	but
many	mani	many
in	in	in
his	his	his
own	own	own
party	parti	party
s	s	s
leadership	leadership	leadership
.	.	.
Trump	trump	Trump
,	,	,
who	who	who
has	has	ha
never	never	never
held	held	held
elected	elect	elected
office	offic	office
,	,	,
has	has	ha
criticized	critic	criticized
Clinton	clinton	Clinton
s	s	s
judgment	judgment	judgment
for	for	for
backing	back	backing
the	the	the
2003	2003	2003
Iraq	iraq	Iraq
war	war	war
and	and	and
her	her	her
support	support	support
for	for	for
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
intervention	intervent	intervention
in	in	in
Libya	libya	Libya
in	in	in
2011	2011	2011
.	.	.
The	the	The
Republican	republican	Republican
candidate	candid	candidate
was	was	wa
widely	wide	widely
criticized	critic	criticized
recently	recent	recently
when	when	when
he	he	he
called	call	called
her	her	her
a	a	a
co	co	co
-founder	-founder	-founder
,	,	,
along	along	along
with	with	with
Obama	obama	Obama
,	,	,
of	of	of
the	the	the
Islamic	islam	Islamic
State	state	State
militant	milit	militant
group	group	group
.	.	.
Clinton	clinton	Clinton
,	,	,
who	who	who
voted	vote	voted
in	in	in
favor	favor	favor
of	of	of
the	the	the
2003	2003	2003
Iraq	iraq	Iraq
war	war	war
as	as	a
a	a	a
senator	senat	senator
but	but	but
has	has	ha
since	sinc	since
said	said	said
she	she	she
regrets	regret	regret
doing	do	doing
so	so	so
,	,	,
said	said	said
she	she	she
would	would	would
convene	conven	convene
a	a	a
meeting	meet	meeting
of	of	of
bipartisan	bipartisan	bipartisan
security	secur	security
experts	expert	expert
on	on	on
Friday	friday	Friday
to	to	to
discuss	discuss	discus
the	the	the
fight	fight	fight
against	against	against
Islamic	islam	Islamic
State	state	State
.	.	.
What	what	What
you	you	you
didn	didn	didn
t	t	t
hear	hear	hear
from	from	from
Donald	donald	Donald
Trump	trump	Trump
last	last	last
night	night	night
was	was	wa
any	ani	any
plan	plan	plan
to	to	to
take	take	take
on	on	on
ISIS	isi	ISIS
,	,	,
Clinton	clinton	Clinton
told	told	told
reporters	report	reporter
,	,	,
using	use	using
an	an	an
acronym	acronym	acronym
for	for	for
the	the	the
group	group	group
.	.	.
That	that	That
s	s	s
not	not	not
only	onli	only
dangerous	danger	dangerous
,	,	,
it	it	it
should	should	should
be	be	be
disqualifying	disqualifi	disqualifying
.	.	.
Trump	trump	Trump
and	and	and
Clinton	clinton	Clinton
supporters	support	supporter
went	went	went
on	on	on
the	the	the
offensive	offens	offensive
on	on	on
social	social	social
media	media	medium
Wednesday	wednesday	Wednesday
night	night	night
and	and	and
Thursday	thursday	Thursday
morning	morn	morning
,	,	,
defending	defend	defending
their	their	their
candidates	candid	candidate
performances	perform	performance
during	dure	during
the	the	the
forum	forum	forum
.	.	.
Trump	trump	Trump
campaign	campaign	campaign
manager	manag	manager
Kellyanne	kellyann	Kellyanne
Conway	conway	Conway
spoke	spoke	spoke
with	with	with
Trump	trump	Trump
supporters	support	supporter
in	in	in
Congress	congress	Congress
on	on	on
Thursday	thursday	Thursday
morning	morn	morning
,	,	,
and	and	and
Trump	trump	Trump
spoke	spoke	spoke
with	with	with
the	the	the
group	group	group
by	by	by
phone	phone	phone
to	to	to
thank	thank	thank
them	them	them
for	for	for
their	their	their
support	support	support
.	.	.
Some	some	Some
supporters	support	supporter
shrugged	shrug	shrugged
off	off	off
his	his	his
comments	comment	comment
about	about	about
Putin	putin	Putin
.	.	.
I	i	I
think	think	think
he	he	he
is	is	is
being	be	being
very	veri	very
smart	smart	smart
in	in	in
how	how	how
he	he	he
addresses	address	address
Putin	putin	Putin
and	and	and
you	you	you
know	know	know
,	,	,
maybe	mayb	maybe
he	he	he
s	s	s
playing	play	playing
with	with	with
Putin	putin	Putin
s	s	s
ego	ego	ego
,	,	,
said	said	said
Representative	repres	Representative
Marsha	marsha	Marsha
Blackburn	blackburn	Blackburn
of	of	of
Tennessee	tennesse	Tennessee
.	.	.
Mike	mike	Mike
Pence	penc	Pence
,	,	,
Trump	trump	Trump
s	s	s
vice	vice	vice
presidential	presidenti	presidential
running	run	running
mate	mate	mate
,	,	,
told	told	told
CNN	cnn	CNN
it	it	it
was	was	wa
inarguable	inargu	inarguable
that	that	that
Putin	putin	Putin
had	had	had
been	been	been
a	a	a
stronger	stronger	stronger
leader	leader	leader
of	of	of
Russia	russia	Russia
than	than	than
Obama	obama	Obama
had	had	had
been	been	been
in	in	in
the	the	the
United	unit	United
states	state	state
.	.	.
House	hous	House
of	of	of
Representatives	repres	Representatives
Speaker	speaker	Speaker
Paul	paul	Paul
Ryan	ryan	Ryan
,	,	,
the	the	the
top	top	top
elected	elect	elected
Republican	republican	Republican
official	offici	official
,	,	,
who	who	who
has	has	ha
frequently	frequent	frequently
broken	broken	broken
with	with	with
Trump	trump	Trump
,	,	,
took	took	took
a	a	a
sharply	sharpli	sharply
different	differ	different
view	view	view
.	.	.
Putin	putin	Putin
is	is	is
an	an	an
aggressor	aggressor	aggressor
that	that	that
does	doe	doe
not	not	not
share	share	share
our	our	our
interests	interest	interest
.	.	.
Vladimir	vladimir	Vladimir
Putin	putin	Putin
is	is	is
violating	violat	violating
the	the	the
sovereignty	sovereignti	sovereignty
of	of	of
neighboring	neighbor	neighboring
countries	countri	country
,	,	,
Ryan	ryan	Ryan
told	told	told
reporters	report	reporter
at	at	at
his	his	his
weekly	week	weekly
news	news	news
conference	confer	conference
.	.	.
Republican	republican	Republican
National	nation	National
Committee	committe	Committee
Chairman	chairman	Chairman
Reince	reinc	Reince
Priebus	priebus	Priebus
told	told	told
reporters	report	reporter
at	at	at
the	the	the
Cleveland	cleveland	Cleveland
rally	ralli	rally
that	that	that
Trump	trump	Trump
was	was	wa
not	not	not
endorsing	endors	endorsing
Putin	putin	Putin
with	with	with
his	his	his
praise	prais	praise
.	.	.
He	he	He
doesn	doesn	doesn
t	t	t
agree	agre	agree
with	with	with
his	his	his
style	style	style
of	of	of
government	govern	government
.	.	.
He	he	He
wasn	wasn	wasn
t	t	t
saying	say	saying
that	that	that
,	,	,
he	he	he
said	said	said
.	.	.
Clinton	clinton	Clinton
said	said	said
Republicans	republican	Republicans
holding	hold	holding
or	or	or
seeking	seek	seeking
office	offic	office
across	across	across
the	the	the
country	countri	country
should	should	should
be	be	be
pressed	press	pressed
on	on	on
whether	whether	whether
they	they	they
agree	agre	agree
with	with	with
Trump	trump	Trump
s	s	s
comments	comment	comment
,	,	,
including	includ	including
his	his	his
views	view	view
on	on	on
Putin	putin	Putin
and	and	and
U	u	U
.	.	.
S	s	S
.	.	.
generals	general	general
that	that	that
surfaced	surfac	surfaced
during	dure	during
the	the	the
forum	forum	forum
.	.	.
Republicans	republican	Republicans
are	are	are
just	just	just
in	in	in
a	a	a
terrible	terribl	terrible
dilemma	dilemma	dilemma
trying	tri	trying
to	to	to
support	support	support
a	a	a
totally	total	totally
unqualified	unqualifi	unqualified
nominee	nomine	nominee
,	,	,
I	i	I
have	have	have
no	no	no
sympathy	sympathi	sympathy
for	for	for
them	them	them
,	,	,
it	it	it
s	s	s
their	their	their
nominee	nomine	nominee
,	,	,
she	she	she
said	said	said
.	.	.
