DETROIT	detroit	DETROIT
time	time	time
bombs	bomb	bomb
and	and	and
said	said	said
the	the	the
company	compani	company
showed	show	showed
a	a	a
pernicious	pernici	pernicious
disregard	disregard	disregard
for	for	for
the	the	the
safety	safeti	safety
of	of	of
U	u	U
.	.	.
S	s	S
.	.	.
drivers	driver	driver
.	.	.
NHTSA	nhtsa	NHTSA
on	on	on
Tuesday	tuesday	Tuesday
cited	cite	cited
a	a	a
consent	consent	consent
order	order	order
issued	issu	issued
last	last	last
November	novemb	November
under	under	under
which	which	which
all	all	all
Takata	takata	Takata
ammonium	ammonium	ammonium
nitrate	nitrat	nitrate
-based	-base	-based
inflators	inflat	inflator
must	must	must
be	be	be
recalled	recal	recalled
by	by	by
2019	2019	2019
unless	unless	unless
Takata	takata	Takata
can	can	can
establish	establish	establish
their	their	their
long	long	long
-term	-term	-term
safety	safeti	safety
.	.	.
The	the	The
agency	agenc	agency
has	has	ha
said	said	said
that	that	that
some	some	some
replacement	replac	replacement
inflators	inflat	inflator
may	may	may
be	be	be
effective	effect	effective
for	for	for
several	sever	several
years	year	year
,	,	,
but	but	but
not	not	not
for	for	for
the	the	the
full	full	full
life	life	life
of	of	of
your	your	your
vehicle	vehicl	vehicle
,	,	,
and	and	and
therefore	therefor	therefore
may	may	may
also	also	also
have	have	have
to	to	to
be	be	be
replaced	replac	replaced
.	.	.
On	on	On
Wednesday	wednesday	Wednesday
,	,	,
Takata	takata	Takata
said	said	said
it	it	it
has	has	ha
dramatically	dramat	dramatically
increased	increas	increased
production	product	production
of	of	of
replacement	replac	replacement
parts	part	part
and	and	and
through	through	through
its	it	it
consent	consent	consent
order	order	order
with	with	with
NHTSA	nhtsa	NHTSA
is	is	is
committed	commit	committed
to	to	to
a	a	a
comprehensive	comprehens	comprehensive
framework	framework	framework
to	to	to
address	address	address
safety	safeti	safety
concerns	concern	concern
with	with	with
airbag	airbag	airbag
inflators	inflat	inflator
,	,	,
including	includ	including
through	through	through
service	servic	service
life	life	life
testing	test	testing
of	of	of
inflators	inflat	inflator
not	not	not
subject	subject	subject
to	to	to
recall	recal	recall
.	.	.
Former	former	Former
managers	manag	manager
interviewed	interview	interviewed
by	by	by
Reuters	reuter	Reuters
described	describ	described
chronic	chronic	chronic
quality	qualiti	quality
failures	failur	failure
at	at	at
Takata	takata	Takata
s	s	s
North	north	North
American	american	American
plants	plant	plant
,	,	,
an	an	an
assessment	assess	assessment
reflected	reflect	reflected
in	in	in
dozens	dozen	dozen
of	of	of
company	compani	company
emails	email	email
and	and	and
documents	document	document
dating	date	dating
to	to	to
2001	2001	2001
.	.	.
Those	those	Those
problems	problem	problem
,	,	,
the	the	the
former	former	former
managers	manag	manager
said	said	said
,	,	,
make	make	make
it	it	it
difficult	difficult	difficult
for	for	for
the	the	the
company	compani	company
and	and	and
regulators	regul	regulator
to	to	to
pinpoint	pinpoint	pinpoint
which	which	which
inflators	inflat	inflator
,	,	,
among	among	among
tens	ten	ten
of	of	of
millions	million	million
,	,	,
pose	pose	pose
a	a	a
danger	danger	danger
.	.	.
When	when	When
exposed	expos	exposed
to	to	to
moisture	moistur	moisture
,	,	,
ammonium	ammonium	ammonium
nitrate	nitrat	nitrate
can	can	can
cause	caus	cause
the	the	the
inflator	inflat	inflator
to	to	to
rupture	ruptur	rupture
with	with	with
deadly	dead	deadly
force	forc	force
,	,	,
spraying	spray	spraying
shrapnel	shrapnel	shrapnel
into	into	into
vehicle	vehicl	vehicle
occupants	occup	occupant
.	.	.
On	on	On
Tuesday	tuesday	Tuesday
,	,	,
a	a	a
group	group	group
of	of	of
10	10	10
automakers	automak	automaker
said	said	said
the	the	the
cause	caus	cause
of	of	of
Takata	takata	Takata
air	air	air
bag	bag	bag
ruptures	ruptur	rupture
linked	link	linked
to	to	to
10	10	10
deaths	death	death
and	and	and
more	more	more
than	than	than
100	100	100
injuries	injuri	injury
is	is	is
a	a	a
combination	combin	combination
of	of	of
exposure	exposur	exposure
to	to	to
humidity	humid	humidity
,	,	,
design	design	design
and	and	and
manufacturing	manufactur	manufacturing
issues	issu	issue
,	,	,
and	and	and
use	use	use
of	of	of
ammonium	ammonium	ammonium
nitrate	nitrat	nitrate
.	.	.
