TUNIS	tuni	TUNIS
new	new	new
health	health	health
ministry	ministri	ministry
toll	toll	toll
,	,	,
and	and	and
ended	end	ended
with	with	with
the	the	the
withdrawal	withdraw	withdrawal
of	of	of
the	the	the
armed	arm	armed
group	group	group
.	.	.
The	the	The
migrants	migrant	migrant
who	who	who
have	have	have
since	sinc	since
been	been	been
rounded	round	rounded
up	up	up
were	were	were
being	be	being
held	held	held
at	at	at
sites	site	site
that	that	that
the	the	the
group	group	group
had	had	had
controlled	control	controlled
,	,	,
local	local	local
officials	offici	official
said	said	said
.	.	.
We	we	We
are	are	are
seriously	serious	seriously
concerned	concern	concerned
by	by	by
the	the	the
large	larg	large
number	number	number
of	of	of
migrants	migrant	migrant
caught	caught	caught
up	up	up
in	in	in
recent	recent	recent
developments	develop	development
in	in	in
Sabratha	sabratha	Sabratha
,	,	,
Othman	othman	Othman
Belbeisi	belbeisi	Belbeisi
,	,	,
IOM	iom	IOM
Libya	libya	Libya
chief	chief	chief
of	of	of
mission	mission	mission
,	,	,
said	said	said
in	in	in
a	a	a
statement	statement	statement
.	.	.
Some	some	Some
migrants	migrant	migrant
are	are	are
being	be	being
sent	sent	sent
on	on	on
to	to	to
detention	detent	detention
centers	center	center
elsewhere	elsewher	elsewhere
in	in	in
western	western	western
Libya	libya	Libya
that	that	that
are	are	are
nominally	nomin	nominally
under	under	under
the	the	the
control	control	control
of	of	of
the	the	the
Tripoli	tripoli	Tripoli
government	govern	government
.	.	.
IOM	iom	IOM
officials	offici	official
say	say	say
those	those	those
centers	center	center
,	,	,
which	which	which
were	were	were
housing	hous	housing
some	some	some
5	5	5
,	,	,
000	000	000
migrants	migrant	migrant
,	,	,
risk	risk	risk
being	be	being
overwhelmed	overwhelm	overwhelmed
by	by	by
the	the	the
new	new	new
arrivals	arriv	arrival
.	.	.
Conditions	condit	Conditions
in	in	in
the	the	the
centers	center	center
are	are	are
often	often	often
dire	dire	dire
and	and	and
abuse	abus	abuse
widespread	widespread	widespread
.	.	.
Alternatives	altern	Alternatives
to	to	to
detention	detent	detention
must	must	must
be	be	be
found	found	found
for	for	for
migrants	migrant	migrant
in	in	in
Libya	libya	Libya
.	.	.
In	in	In
the	the	the
meantime	meantim	meantime
,	,	,
IOM	iom	IOM
continues	continu	continues
to	to	to
provide	provid	provide
direct	direct	direct
humanitarian	humanitarian	humanitarian
,	,	,
health	health	health
and	and	and
psychosocial	psychosoci	psychosocial
assistance	assist	assistance
to	to	to
meet	meet	meet
the	the	the
urgent	urgent	urgent
needs	need	need
of	of	of
the	the	the
thousands	thousand	thousand
of	of	of
migrants	migrant	migrant
being	be	being
affected	affect	affected
,	,	,
Belbeisi	belbeisi	Belbeisi
said	said	said
.	.	.
Local	local	Local
sources	sourc	source
have	have	have
previously	previous	previously
said	said	said
that	that	that
an	an	an
estimated	estim	estimated
10	10	10
,	,	,
000	000	000
migrants	migrant	migrant
were	were	were
being	be	being
held	held	held
in	in	in
the	the	the
Sabratha	sabratha	Sabratha
area	area	area
.	.	.
The	the	The
head	head	head
of	of	of
Sabratha	sabratha	Sabratha
s	s	s
department	depart	department
for	for	for
countering	counter	countering
illegal	illeg	illegal
migration	migrat	migration
told	told	told
Reuters	reuter	Reuters
on	on	on
Saturday	saturday	Saturday
that	that	that
help	help	help
was	was	wa
badly	bad	badly
needed	need	needed
as	as	a
some	some	some
migrants	migrant	migrant
had	had	had
received	receiv	received
no	no	no
food	food	food
or	or	or
water	water	water
for	for	for
six	six	six
days	day	day
.	.	.
The	the	The
UNHCR	unhcr	UNHCR
said	said	said
it	it	it
had	had	had
approached	approach	approached
Libyan	libyan	Libyan
authorities	author	authority
to	to	to
ensure	ensur	ensure
that	that	that
refugees	refuge	refugee
among	among	among
the	the	the
migrants	migrant	migrant
were	were	were
freed	freed	freed
from	from	from
detention	detent	detention
.	.	.
