KANSAS	kansa	KANSAS
the	the	the
bill	bill	bill
said	said	said
it	it	it
will	will	will
help	help	help
prevent	prevent	prevent
voter	voter	voter
fraud	fraud	fraud
.	.	.
Why	whi	Why
not	not	not
have	have	have
more	more	more
certainty	certainti	certainty
in	in	in
the	the	the
election	elect	election
process	process	process
?	?	?
Republican	republican	Republican
Representative	repres	Representative
Justin	justin	Justin
Alferman	alferman	Alferman
,	,	,
the	the	the
bill	bill	bill
s	s	s
main	main	main
sponsor	sponsor	sponsor
,	,	,
said	said	said
in	in	in
a	a	a
statement	statement	statement
before	befor	before
the	the	the
vote	vote	vote
.	.	.
Opponents	oppon	Opponents
had	had	had
argued	argu	argued
that	that	that
the	the	the
ID	id	ID
requirement	requir	requirement
places	place	place
an	an	an
undue	undu	undue
burden	burden	burden
on	on	on
young	young	young
,	,	,
minority	minor	minority
and	and	and
low	low	low
-income	-incom	-income
voters	voter	voter
who	who	who
tend	tend	tend
to	to	to
support	support	support
Democratic	democrat	Democratic
candidates	candid	candidate
.	.	.
Putting	put	Putting
additional	addit	additional
and	and	and
unwanted	unwant	unwanted
barriers	barrier	barrier
between	between	between
citizens	citizen	citizen
and	and	and
their	their	their
ability	abil	ability
to	to	to
vote	vote	vote
is	is	is
wrong	wrong	wrong
and	and	and
detrimental	detriment	detrimental
to	to	to
our	our	our
system	system	system
of	of	of
government	govern	government
as	as	a
a	a	a
whole	whole	whole
,	,	,
Nixon	nixon	Nixon
said	said	said
in	in	in
explaining	explain	explaining
his	his	his
veto	veto	veto
.	.	.
