SUKAJAYA	sukajaya	SUKAJAYA
confirmed	confirm	confirmed
the	the	the
school	school	school
was	was	wa
not	not	not
registered	regist	registered
with	with	with
the	the	the
ministry	ministri	ministry
.	.	.
The	the	The
local	local	local
government	govern	government
,	,	,
Amin	amin	Amin
added	ad	added
,	,	,
had	had	had
requested	request	requested
an	an	an
explanation	explan	explanation
regarding	regard	regarding
the	the	the
status	status	status
of	of	of
their	their	their
study	studi	study
but	but	but
did	did	did
not	not	not
get	get	get
a	a	a
response	respons	response
.	.	.
Jumadi	jumadi	Jumadi
confirmed	confirm	confirmed
recent	recent	recent
discussions	discuss	discussion
with	with	with
local	local	local
government	govern	government
officials	offici	official
about	about	about
the	the	the
school	school	school
s	s	s
teaching	teach	teaching
.	.	.
We	we	We
have	have	have
no	no	no
curriculum	curriculum	curriculum
,	,	,
he	he	he
said	said	said
,	,	,
a	a	a
reference	refer	reference
to	to	to
the	the	the
emphasis	emphasi	emphasis
on	on	on
teaching	teach	teaching
the	the	the
Koran	koran	Koran
.	.	.
We	we	We
re	re	re
focused	focus	focused
on	on	on
the	the	the
tahfiz	tahfiz	tahfiz
,	,	,
on	on	on
memorizing	memor	memorizing
the	the	the
Koran	koran	Koran
,	,	,
and	and	and
the	the	the
Hadith	hadith	Hadith
the	the	the
sayings	say	saying
of	of	of
the	the	the
Prophet	prophet	Prophet
Mohammad	mohammad	Mohammad
,	,	,
he	he	he
said	said	said
.	.	.
We	we	We
teach	teach	teach
students	student	student
about	about	about
the	the	the
Arabic	arab	Arabic
language	languag	language
,	,	,
about	about	about
faith	faith	faith
and	and	and
the	the	the
history	histori	history
of	of	of
Islam	islam	Islam
.	.	.
Jumadi	jumadi	Jumadi
said	said	said
Hatf	hatf	Hatf
studied	studi	studied
at	at	at
Ibnu	ibnu	Ibnu
Mas	mas	Mas
ud	ud	ud
but	but	but
he	he	he
did	did	did
not	not	not
know	know	know
the	the	the
circumstances	circumst	circumstance
of	of	of
his	his	his
leaving	leav	leaving
.	.	.
He	he	He
said	said	said
he	he	he
was	was	wa
unaware	unawar	unaware
of	of	of
any	ani	any
staff	staff	staff
or	or	or
students	student	student
traveling	travel	traveling
to	to	to
Syria	syria	Syria
to	to	to
join	join	join
IS	is	IS
,	,	,
other	other	other
than	than	than
three	three	three
teachers	teacher	teacher
and	and	and
one	one	one
student	student	student
detained	detain	detained
in	in	in
Singapore	singapor	Singapore
last	last	last
year	year	year
.	.	.
Mustanah	mustanah	Mustanah
,	,	,
a	a	a
former	former	former
student	student	student
deported	deport	deported
from	from	from
Iraq	iraq	Iraq
in	in	in
August	august	August
,	,	,
has	has	ha
told	told	told
police	polic	police
several	sever	several
ex	ex	ex
-students	-student	-students
from	from	from
Ibnu	ibnu	Ibnu
Mas	mas	Mas
ud	ud	ud
had	had	had
traveled	travel	traveled
to	to	to
Syria	syria	Syria
,	,	,
two	two	two
counter	counter	counter
-terrorism	-terror	-terrorism
officials	offici	official
told	told	told
Reuters	reuter	Reuters
.	.	.
Nestled	nestl	Nestled
in	in	in
the	the	the
foothills	foothil	foothill
of	of	of
Mount	mount	Mount
Salak	salak	Salak
,	,	,
a	a	a
dormant	dormant	dormant
volcano	volcano	volcano
,	,	,
in	in	in
the	the	the
village	villag	village
of	of	of
Sukajaya	sukajaya	Sukajaya
,	,	,
90	90	90
km	km	km
55	55	55
miles	mile	mile
south	south	south
of	of	of
Indonesia	indonesia	Indonesia
s	s	s
capital	capit	capital
Jakarta	jakarta	Jakarta
,	,	,
Ibnu	ibnu	Ibnu
Mas	mas	Mas
ud	ud	ud
is	is	is
a	a	a
ramshackle	ramshackl	ramshackle
complex	complex	complex
of	of	of
classrooms	classroom	classroom
,	,	,
dormitories	dormitori	dormitory
and	and	and
prayer	prayer	prayer
rooms	room	room
that	that	that
hosts	host	host
up	up	up
to	to	to
200	200	200
students	student	student
from	from	from
elementary	elementari	elementary
school	school	school
to	to	to
junior	junior	junior
high	high	high
.	.	.
A	a	A
Reuters	reuter	Reuters
team	team	team
entered	enter	entered
the	the	the
school	school	school
in	in	in
June	june	June
but	but	but
was	was	wa
not	not	not
allowed	allow	allowed
to	to	to
tour	tour	tour
the	the	the
premises	premis	premise
and	and	and
was	was	wa
eventually	eventu	eventually
asked	ask	asked
to	to	to
leave	leav	leave
.	.	.
Inside	insid	Inside
a	a	a
mosque	mosqu	mosque
that	that	that
forms	form	form
part	part	part
of	of	of
the	the	the
complex	complex	complex
,	,	,
young	young	young
boys	boy	boy
dressed	dress	dressed
in	in	in
Arabic	arab	Arabic
tunics	tunic	tunic
and	and	and
skull	skull	skull
caps	cap	cap
could	could	could
be	be	be
seen	seen	seen
sitting	sit	sitting
in	in	in
a	a	a
circle	circl	circle
holding	hold	holding
their	their	their
Korans	koran	Korans
,	,	,
smiling	smile	smiling
and	and	and
fidgeting	fidget	fidgeting
as	as	a
they	they	they
waited	wait	waited
for	for	for
their	their	their
lessons	lesson	lesson
.	.	.
In	in	In
a	a	a
courtyard	courtyard	courtyard
,	,	,
young	young	young
girls	girl	girl
were	were	were
scampering	scamper	scampering
about	about	about
.	.	.
They	they	They
looked	look	looked
no	no	no
older	older	older
than	than	than
five	five	five
or	or	or
six	six	six
and	and	and
were	were	were
wearing	wear	wearing
headscarves	headscarv	headscarf
.	.	.
In	in	In
a	a	a
video	video	video
viewed	view	viewed
by	by	by
Reuters	reuter	Reuters
but	but	but
later	later	later
taken	taken	taken
down	down	down
from	from	from
Youtube	youtub	Youtube
,	,	,
principal	princip	principal
Masyahadi	masyahadi	Masyahadi
outlines	outlin	outline
the	the	the
institution	institut	institution
s	s	s
adherence	adher	adherence
to	to	to
Salafism	salaf	Salafism
,	,	,
an	an	an
ultra	ultra	ultra
-conservative	-conserv	-conservative
brand	brand	brand
of	of	of
Sunni	sunni	Sunni
Islam	islam	Islam
that	that	that
urges	urg	urge
followers	follow	follower
to	to	to
emulate	emul	emulate
the	the	the
lives	live	life
of	of	of
the	the	the
earliest	earliest	earliest
disciples	discipl	disciple
of	of	of
Mohammad	mohammad	Mohammad
and	and	and
embrace	embrac	embrace
sharia	sharia	sharia
law	law	law
.	.	.
Ibnu	ibnu	Ibnu
Mas	mas	Mas
ud	ud	ud
ensures	ensur	ensures
that	that	that
Muslim	muslim	Muslim
children	children	child
are	are	are
preoccupied	preoccupi	preoccupied
with	with	with
efforts	effort	effort
to	to	to
understand	understand	understand
their	their	their
religion	religion	religion
correctly	correct	correctly
so	so	so
they	they	they
become	becom	become
a	a	a
generation	generat	generation
that	that	that
understands	understand	understands
the	the	the
religion	religion	religion
and	and	and
will	will	will
fight	fight	fight
for	for	for
the	the	the
religion	religion	religion
,	,	,
he	he	he
says	say	say
.	.	.
Asked	ask	Asked
if	if	if
fighting	fight	fighting
for	for	for
the	the	the
religion	religion	religion
included	includ	included
taking	take	taking
up	up	up
arms	arm	arm
,	,	,
Jumadi	jumadi	Jumadi
,	,	,
the	the	the
spokesman	spokesman	spokesman
,	,	,
said	said	said
it	it	it
would	would	would
need	need	need
further	further	further
discussion	discuss	discussion
to	to	to
answer	answer	answer
that	that	that
question	question	question
before	befor	before
declining	declin	declining
to	to	to
elaborate	elabor	elaborate
further	further	further
.	.	.
According	accord	According
to	to	to
documents	document	document
presented	present	presented
in	in	in
court	court	court
,	,	,
Ibnu	ibnu	Ibnu
Mas	mas	Mas
ud	ud	ud
was	was	wa
founded	found	founded
in	in	in
2007	2007	2007
in	in	in
Depok	depok	Depok
,	,	,
a	a	a
Jakarta	jakarta	Jakarta
satellite	satellit	satellite
town	town	town
,	,	,
by	by	by
Aman	aman	Aman
Abdurrahman	abdurrahman	Abdurrahman
,	,	,
a	a	a
jailed	jail	jailed
cleric	cleric	cleric
and	and	and
Indonesia	indonesia	Indonesia
s	s	s
leading	lead	leading
Islamist	islamist	Islamist
ideologue	ideologu	ideologue
.	.	.
The	the	The
deed	deed	deed
of	of	of
establishment	establish	establishment
of	of	of
the	the	the
foundation	foundat	foundation
that	that	that
runs	run	run
Ibnu	ibnu	Ibnu
Mas	mas	Mas
ud	ud	ud
lists	list	list
three	three	three
people	peopl	people
among	among	among
its	it	it
executives	execut	executive
who	who	who
were	were	were
jailed	jail	jailed
with	with	with
Abdurrahman	abdurrahman	Abdurrahman
for	for	for
setting	set	setting
up	up	up
a	a	a
militant	milit	militant
training	train	training
base	base	base
in	in	in
the	the	the
Indonesian	indonesian	Indonesian
province	provinc	province
of	of	of
Aceh	aceh	Aceh
in	in	in
2009	2009	2009
.	.	.
Sofyan	sofyan	Sofyan
Tsauri	tsauri	Tsauri
,	,	,
a	a	a
former	former	former
militant	milit	militant
who	who	who
said	said	said
he	he	he
has	has	ha
made	made	made
donations	donat	donation
to	to	to
the	the	the
school	school	school
,	,	,
told	told	told
Reuters	reuter	Reuters
Ibnu	ibnu	Ibnu
Mas	mas	Mas
ud	ud	ud
was	was	wa
for	for	for
the	the	the
children	children	child
of	of	of
Ikhwan	ikhwan	Ikhwan
Islamic	islam	Islamic
fighters	fighter	fighter
to	to	to
study	studi	study
while	while	while
also	also	also
serving	serv	serving
as	as	a
the	the	the
hub	hub	hub
of	of	of
safehouses	safehous	safehouses
for	for	for
Islamist	islamist	Islamist
fugitives	fugit	fugitive
.	.	.
Dulmatin	dulmatin	Dulmatin
,	,	,
who	who	who
had	had	had
a	a	a
10	10	10
million	million	million
bounty	bounti	bounty
on	on	on
his	his	his
head	head	head
for	for	for
taking	take	taking
part	part	part
in	in	in
a	a	a
2002	2002	2002
bombing	bomb	bombing
on	on	on
the	the	the
Indonesian	indonesian	Indonesian
resort	resort	resort
island	island	island
of	of	of
Bali	bali	Bali
in	in	in
which	which	which
202	202	202
people	peopl	people
were	were	were
killed	kill	killed
,	,	,
prayed	pray	prayed
at	at	at
Ibnu	ibnu	Ibnu
Mas	mas	Mas
ud	ud	ud
while	while	while
he	he	he
was	was	wa
on	on	on
the	the	the
run	run	run
,	,	,
according	accord	according
to	to	to
court	court	court
documents	document	document
related	relat	related
to	to	to
the	the	the
Aceh	aceh	Aceh
trials	trial	trial
of	of	of
Abdurrahman	abdurrahman	Abdurrahman
and	and	and
the	the	the
three	three	three
foundation	foundat	foundation
executives	execut	executive
.	.	.
Dulmatin	dulmatin	Dulmatin
was	was	wa
killed	kill	killed
by	by	by
police	polic	police
in	in	in
2010	2010	2010
.	.	.
After	after	After
the	the	the
trials	trial	trial
,	,	,
Ibnu	ibnu	Ibnu
Mas	mas	Mas
ud	ud	ud
moved	move	moved
from	from	from
Depok	depok	Depok
in	in	in
2010	2010	2010
but	but	but
it	it	it
ran	ran	ran
into	into	into
problems	problem	problem
at	at	at
its	it	it
current	current	current
location	locat	location
as	as	a
well	well	well
when	when	when
a	a	a
teacher	teacher	teacher
tried	tri	tried
to	to	to
set	set	set
fire	fire	fire
to	to	to
bunting	bunt	bunting
celebrating	celebr	celebrating
Indonesia	indonesia	Indonesia
s	s	s
independence	independ	independence
day	day	day
on	on	on
August	august	August
17	17	17
.	.	.
The	the	The
incident	incid	incident
was	was	wa
confirmed	confirm	confirmed
by	by	by
police	polic	police
and	and	and
local	local	local
villagers	villag	villager
.	.	.
People	peopl	People
in	in	in
the	the	the
area	area	area
were	were	were
already	alreadi	already
suspicious	suspici	suspicious
about	about	about
activities	activ	activity
at	at	at
the	the	the
school	school	school
,	,	,
village	villag	village
chief	chief	chief
Wahyudin	wahyudin	Wahyudin
Sumardi	sumardi	Sumardi
said	said	said
.	.	.
Every	everi	Every
time	time	time
there	there	there
was	was	wa
a	a	a
terrorist	terrorist	terrorist
incident	incid	incident
elsewhere	elsewher	elsewhere
,	,	,
the	the	the
authorities	author	authority
would	would	would
come	come	come
,	,	,
he	he	he
told	told	told
Reuters	reuter	Reuters
in	in	in
July	juli	July
.	.	.
I	i	I
m	m	m
not	not	not
comfortable	comfort	comfortable
with	with	with
the	the	the
whole	whole	whole
situation	situat	situation
.	.	.
After	after	After
complaints	complaint	complaint
by	by	by
villagers	villag	villager
,	,	,
local	local	local
authorities	author	authority
have	have	have
asked	ask	asked
Ibnu	ibnu	Ibnu
Mas	mas	Mas
ud	ud	ud
to	to	to
leave	leav	leave
by	by	by
September	septemb	September
17	17	17
,	,	,
but	but	but
Jumadi	jumadi	Jumadi
said	said	said
this	this	this
week	week	week
that	that	that
the	the	the
school	school	school
was	was	wa
negotiating	negoti	negotiating
to	to	to
stay	stay	stay
.	.	.
The	the	The
school	school	school
may	may	may
look	look	look
for	for	for
a	a	a
new	new	new
location	locat	location
if	if	if
forced	forc	forced
to	to	to
move	move	move
,	,	,
he	he	he
said	said	said
.	.	.
Pesantren	pesantren	Pesantren
have	have	have
deep	deep	deep
roots	root	root
in	in	in
Indonesia	indonesia	Indonesia
,	,	,
harking	hark	harking
back	back	back
centuries	centuri	century
,	,	,
when	when	when
they	they	they
were	were	were
the	the	the
main	main	main
form	form	form
of	of	of
education	educ	education
for	for	for
most	most	most
poor	poor	poor
and	and	and
rural	rural	rural
people	peopl	people
.	.	.
Even	even	Even
as	as	a
Indonesia	indonesia	Indonesia
s	s	s
education	educ	education
system	system	system
modernized	modern	modernized
and	and	and
state	state	state
-run	-run	-run
secular	secular	secular
schools	school	school
were	were	were
introduced	introduc	introduced
,	,	,
the	the	the
overwhelmingly	overwhelm	overwhelmingly
private	privat	private
Islamic	islam	Islamic
boarding	board	boarding
schools	school	school
remain	remain	remain
important	import	important
.	.	.
Amin	amin	Amin
,	,	,
at	at	at
Indonesia	indonesia	Indonesia
s	s	s
Ministry	ministri	Ministry
of	of	of
Religious	religi	Religious
Affairs	affair	Affairs
,	,	,
told	told	told
Reuters	reuter	Reuters
in	in	in
July	juli	July
that	that	that
the	the	the
ministry	ministri	ministry
was	was	wa
working	work	working
on	on	on
a	a	a
new	new	new
policy	polici	policy
to	to	to
standardize	standard	standardize
the	the	the
curriculum	curriculum	curriculum
in	in	in
pesantren	pesantren	pesantren
and	and	and
assume	assum	assume
control	control	control
of	of	of
their	their	their
approval	approv	approval
.	.	.
No	no	No
policies	polici	policy
have	have	have
yet	yet	yet
been	been	been
announced	announc	announced
.	.	.
Anam	anam	Anam
,	,	,
Hatf	hatf	Hatf
s	s	s
father	father	father
,	,	,
told	told	told
Reuters	reuter	Reuters
in	in	in
handwritten	handwritten	handwritten
comments	comment	comment
in	in	in
response	respons	response
to	to	to
questions	question	question
during	dure	during
a	a	a
court	court	court
hearing	hear	hearing
in	in	in
Jakarta	jakarta	Jakarta
in	in	in
July	juli	July
that	that	that
he	he	he
was	was	wa
proud	proud	proud
of	of	of
his	his	his
son	son	son
.	.	.
Photos	photo	Photos
viewed	view	viewed
by	by	by
Reuters	reuter	Reuters
,	,	,
which	which	which
Anam	anam	Anam
said	said	said
were	were	were
taken	taken	taken
in	in	in
Syria	syria	Syria
and	and	and
posted	post	posted
on	on	on
social	social	social
media	media	medium
by	by	by
Hatf	hatf	Hatf
,	,	,
showed	show	showed
the	the	the
boy	boy	boy
at	at	at
a	a	a
meal	meal	meal
with	with	with
older	older	older
men	men	men
and	and	and
one	one	one
in	in	in
which	which	which
the	the	the
fresh	fresh	fresh
-faced	-face	-faced
youngster	youngster	youngster
is	is	is
holding	hold	holding
an	an	an
AK	ak	AK
-47	-47	-47
rifle	rifl	rifle
almost	almost	almost
as	as	a
big	big	big
as	as	a
himself	himself	himself
.	.	.
Hatf	hatf	Hatf
could	could	could
disassemble	disassembl	disassemble
the	the	the
rifle	rifl	rifle
in	in	in
32	32	32
seconds	second	second
,	,	,
Anam	anam	Anam
wrote	wrote	wrote
.	.	.
He	he	He
was	was	wa
also	also	also
issued	issu	issued
a	a	a
9mm	9mm	9mm
handgun	handgun	handgun
,	,	,
2	2	2
hand	hand	hand
grenades	grenad	grenade
,	,	,
a	a	a
commando	commando	commando
knife	knife	knife
and	and	and
compass	compass	compass
.	.	.
By	by	By
his	his	his
father	father	father
s	s	s
account	account	account
,	,	,
citing	cite	citing
messages	messag	message
sent	sent	sent
by	by	by
his	his	his
son	son	son
,	,	,
Hatf	hatf	Hatf
survived	surviv	survived
one	one	one
air	air	air
strike	strike	strike
,	,	,
flying	fli	flying
through	through	through
the	the	the
air	air	air
from	from	from
the	the	the
force	forc	force
of	of	of
an	an	an
explosion	explos	explosion
and	and	and
emerging	emerg	emerging
with	with	with
only	onli	only
a	a	a
bloody	bloodi	bloody
ear	ear	ear
and	and	and
hearing	hear	hearing
loss	loss	loss
.	.	.
On	on	On
September	septemb	September
1	1	1
,	,	,
2016	2016	2016
,	,	,
two	two	two
months	month	month
short	short	short
of	of	of
his	his	his
13th	13th	13th
birthday	birthday	birthday
,	,	,
Hatf	hatf	Hatf
was	was	wa
hit	hit	hit
by	by	by
another	anoth	another
air	air	air
strike	strike	strike
.	.	.
Shortly	short	Shortly
thereafter	thereaft	thereafter
,	,	,
the	the	the
death	death	death
of	of	of
three	three	three
Indonesians	indonesian	Indonesians
near	near	near
the	the	the
Syrian	syrian	Syrian
city	citi	city
of	of	of
Jarabulus	jarabulus	Jarabulus
was	was	wa
announced	announc	announced
by	by	by
IS	is	IS
.	.	.
The	the	The
merry	merri	merry
little	littl	little
mujahid	mujahid	mujahid
was	was	wa
dead	dead	dead
,	,	,
wrote	wrote	wrote
Anam	anam	Anam
in	in	in
his	his	his
essay	essay	essay
,	,	,
his	his	his
tattered	tatter	tattered
little	littl	little
body	bodi	body
crushed	crush	crushed
by	by	by
the	the	the
bomb	bomb	bomb
.	.	.
I	i	I
do	do	do
not	not	not
feel	feel	feel
sad	sad	sad
or	or	or
loss	loss	loss
,	,	,
except	except	except
a	a	a
limited	limit	limited
sadness	sad	sadness
as	as	a
a	a	a
father	father	father
who	who	who
was	was	wa
left	left	left
by	by	by
his	his	his
beloved	belov	beloved
child	child	child
,	,	,
Anam	anam	Anam
told	told	told
Reuters	reuter	Reuters
in	in	in
the	the	the
notes	note	note
he	he	he
provided	provid	provided
at	at	at
the	the	the
court	court	court
hearing	hear	hearing
.	.	.
Instead	instead	Instead
I	i	I
felt	felt	felt
happy	happi	happy
because	becaus	because
my	my	my
child	child	child
has	has	ha
achieved	achiev	achieved
martyrdom	martyrdom	martyrdom
,	,	,
inshallah	inshallah	inshallah
.	.	.
