DERA	dera	DERA
anti	anti	anti
-India	-india	-India
jihadist	jihadist	jihadist
fighting	fight	fighting
in	in	in
Kashmir	kashmir	Kashmir
,	,	,
according	accord	according
to	to	to
a	a	a
long	long	long
-time	-time	-time
friend	friend	friend
who	who	who
spoke	spoke	spoke
last	last	last
year	year	year
to	to	to
Reuters	reuter	Reuters
on	on	on
condition	condit	condition
of	of	of
anonymity	anonym	anonymity
.	.	.

He	he	He
later	later	later
joined	join	joined
the	the	the
Pakistani	pakistani	Pakistani
Taliban	taliban	Taliban
in	in	in
2007	2007	2007
to	to	to
fight	fight	fight
the	the	the
government	govern	government
to	to	to
establish	establish	establish
strict	strict	strict
sharia	sharia	sharia
Islamic	islam	Islamic
law	law	law
.	.	.

In	in	In
2014	2014	2014
,	,	,
Khorasani	khorasani	Khorasani
left	left	left
the	the	the
Pakistani	pakistani	Pakistani
Taliban	taliban	Taliban
after	after	after
a	a	a
leadership	leadership	leadership
quarrel	quarrel	quarrel
to	to	to
form	form	form
Jamaat	jamaat	Jamaat
-ul-Ahrar	-ul-ahrar	-ul-Ahrar
.	.	.

JuA	jua	JuA
gained	gain	gained
attention	attent	attention
in	in	in
September	septemb	September
2014	2014	2014
when	when	when
it	it	it
announced	announc	announced
it	it	it
was	was	wa
supporting	support	supporting
Islamic	islam	Islamic
State	state	State
and	and	and
rejecting	reject	rejecting
the	the	the
main	main	main
Pakistani	pakistani	Pakistani
Taliban	taliban	Taliban
leadership	leadership	leadership
.	.	.

By	by	By
March	march	March
2015	2015	2015
,	,	,
however	howev	however
,	,	,
the	the	the
group	group	group
was	was	wa
again	again	again
swearing	swear	swearing
loyalty	loyalti	loyalty
to	to	to
the	the	the
main	main	main
Pakistani	pakistani	Pakistani
Taliban	taliban	Taliban
umbrella	umbrella	umbrella
leadership	leadership	leadership
.	.	.

Still	still	Still
,	,	,
JuA	jua	JuA
never	never	never
specifically	specif	specifically
disavowed	disavow	disavowed
Islamic	islam	Islamic
State	state	State
either	either	either
,	,	,
and	and	and
several	sever	several
attacks	attack	attack
inside	insid	inside
Pakistan	pakistan	Pakistan
have	have	have
been	been	been
claimed	claim	claimed
by	by	by
both	both	both
groups	group	group
.	.	.

The	the	The
United	unit	United
States	state	States
last	last	last
year	year	year
designated	design	designated
JuA	jua	JuA
as	as	a
a	a	a
terrorist	terrorist	terrorist
group	group	group
.	.	.

Khorasani	khorasani	Khorasani
had	had	had
previously	previous	previously
been	been	been
seriously	serious	seriously
wounded	wound	wounded
in	in	in
a	a	a
NATO	nato	NATO
air	air	air
strike	strike	strike
in	in	in
eastern	eastern	eastern
Afghanistan	afghanistan	Afghanistan
in	in	in
2015	2015	2015
but	but	but
later	later	later
recovered	recov	recovered
.	.	.

