SAN	san	SAN
activists	activist	activist
said	said	said
in	in	in
phone	phone	phone
interviews	interview	interview
.	.	.

Facebook	facebook	Facebook
was	was	wa
blocked	block	blocked
several	sever	several
times	time	time
earlier	earlier	earlier
this	this	this
month	month	month
as	as	a
street	street	street
protests	protest	protest
erupted	erupt	erupted
over	over	over
an	an	an
environmental	environment	environmental
disaster	disast	disaster
that	that	that
resulted	result	resulted
in	in	in
mass	mass	mass
fish	fish	fish
deaths	death	death
,	,	,
the	the	the
two	two	two
groups	group	group
said	said	said
.	.	.

The	the	The
social	social	social
media	media	medium
site	site	site
was	was	wa
also	also	also
unavailable	unavail	unavailable
inside	insid	inside
Vietnam	vietnam	Vietnam
ahead	ahead	ahead
of	of	of
parliamentary	parliamentari	parliamentary
elections	elect	election
on	on	on
Sunday	sunday	Sunday
as	as	a
pro	pro	pro
-democracy	-democraci	-democracy
activists	activist	activist
called	call	called
for	for	for
a	a	a
boycott	boycott	boycott
,	,	,
members	member	member
of	of	of
the	the	the
two	two	two
groups	group	group
said	said	said
.	.	.

Facebook	facebook	Facebook
declined	declin	declined
to	to	to
comment	comment	comment
.	.	.

Vietnamese	vietnames	Vietnamese
government	govern	government
officials	offici	official
did	did	did
not	not	not
immediately	immedi	immediately
respond	respond	respond
to	to	to
a	a	a
request	request	request
for	for	for
comment	comment	comment
submitted	submit	submitted
via	via	via
a	a	a
government	govern	government
website	websit	website
.	.	.

Uganda	uganda	Uganda
s	s	s
government	govern	government
blocked	block	blocked
Facebook	facebook	Facebook
and	and	and
Twitter	twitter	Twitter
Inc	inc	Inc
in	in	in
February	februari	February
during	dure	during
presidential	presidenti	presidential
elections	elect	election
.	.	.

In	in	In
March	march	March
,	,	,
after	after	after
a	a	a
deadly	dead	deadly
bombing	bomb	bombing
in	in	in
Turkey	turkey	Turkey
,	,	,
an	an	an
Ankara	ankara	Ankara
court	court	court
ordered	order	ordered
a	a	a
ban	ban	ban
on	on	on
access	access	access
to	to	to
Facebook	facebook	Facebook
and	and	and
Twitter	twitter	Twitter
.	.	.

And	and	And
during	dure	during
the	the	the
2011	2011	2011
Arab	arab	Arab
Spring	spring	Spring
in	in	in
Egypt	egypt	Egypt
,	,	,
Tunisia	tunisia	Tunisia
and	and	and
Libya	libya	Libya
,	,	,
social	social	social
networks	network	network
were	were	were
repeatedly	repeat	repeatedly
shut	shut	shut
down	down	down
.	.	.

Facebook	facebook	Facebook
is	is	is
often	often	often
shut	shut	shut
down	down	down
in	in	in
Vietnam	vietnam	Vietnam
during	dure	during
politically	polit	politically
sensitive	sensit	sensitive
times	time	time
,	,	,
Angelina	angelina	Angelina
Huynh	huynh	Huynh
,	,	,
advocacy	advocaci	advocacy
director	director	director
for	for	for
Viet	viet	Viet
Tan	tan	Tan
,	,	,
which	which	which
has	has	ha
members	member	member
around	around	around
the	the	the
world	world	world
,	,	,
including	includ	including
in	in	in
Vietnam	vietnam	Vietnam
,	,	,
said	said	said
in	in	in
a	a	a
phone	phone	phone
interview	interview	interview
.	.	.

People	peopl	People
were	were	were
using	use	using
Facebook	facebook	Facebook
to	to	to
call	call	call
for	for	for
protests	protest	protest
.	.	.

They	they	They
did	did	did
not	not	not
want	want	want
people	peopl	people
to	to	to
take	take	take
to	to	to
the	the	the
streets	street	street
,	,	,
Huynh	huynh	Huynh
said	said	said
.	.	.

