EDINBURGH	edinburgh	EDINBURGH
similar	similar	similar
to	to	to
those	those	those
in	in	in
the	the	the
rest	rest	rest
of	of	of
the	the	the
EU	eu	EU
make	make	make
it	it	it
less	less	le
likely	like	likely
that	that	that
the	the	the
bloc	bloc	bloc
would	would	would
insist	insist	insist
on	on	on
border	border	border
checks	check	check
after	after	after
Brexit	brexit	Brexit
.	.	.

But	but	But
making	make	making
an	an	an
exception	except	exception
of	of	of
Northern	northern	Northern
Ireland	ireland	Ireland
could	could	could
make	make	make
it	it	it
difficult	difficult	difficult
for	for	for
May	may	May
to	to	to
argue	argu	argue
that	that	that
others	other	others
cannot	cannot	cannot
have	have	have
the	the	the
same	same	same
.	.	.

So	so	So
far	far	far
,	,	,
she	she	she
has	has	ha
argued	argu	argued
that	that	that
Brexit	brexit	Brexit
should	should	should
follow	follow	follow
a	a	a
one	one	one
-size-fits-all	-size-fits-al	-size-fits-all
pattern	pattern	pattern
for	for	for
the	the	the
whole	whole	whole
of	of	of
the	the	the
United	unit	United
Kingdom	kingdom	Kingdom
.	.	.

If	if	If
one	one	one
part	part	part
of	of	of
the	the	the
United	unit	United
Kingdom	kingdom	Kingdom
can	can	can
retain	retain	retain
regulatory	regulatori	regulatory
alignment	align	alignment
with	with	with
the	the	the
European	european	European
Union	union	Union
and	and	and
effectively	effect	effectively
stay	stay	stay
in	in	in
the	the	the
single	singl	single
market	market	market
.	.	.
.	.	.
.	.	.

there	there	there
is	is	is
surely	sure	surely
no	no	no
good	good	good
practical	practic	practical
reason	reason	reason
why	whi	why
others	other	others
can	can	can
t	t	t
,	,	,
Nicola	nicola	Nicola
Sturgeon	sturgeon	Sturgeon
,	,	,
the	the	the
head	head	head
of	of	of
Scotland	scotland	Scotland
s	s	s
devolved	devolv	devolved
pro	pro	pro
-independence	-independ	-independence
government	govern	government
,	,	,
said	said	said
on	on	on
Twitter	twitter	Twitter
.	.	.

Sturgeon	sturgeon	Sturgeon
welcomed	welcom	welcomed
the	the	the
outline	outlin	outline
of	of	of
a	a	a
deal	deal	deal
that	that	that
meant	meant	meant
no	no	no
return	return	return
to	to	to
a	a	a
hard	hard	hard
border	border	border
in	in	in
Ireland	ireland	Ireland
,	,	,
but	but	but
argued	argu	argued
that	that	that
such	such	such
an	an	an
agreement	agreement	agreement
meant	meant	meant
something	someth	something
similar	similar	similar
for	for	for
Scotland	scotland	Scotland
was	was	wa
even	even	even
more	more	more
vital	vital	vital
.	.	.

For	for	For
Scotland	scotland	Scotland
to	to	to
find	find	find
itself	itself	itself
outside	outsid	outside
the	the	the
single	singl	single
market	market	market
,	,	,
while	while	while
Northern	northern	Northern
Ireland	ireland	Ireland
effectively	effect	effectively
stays	stay	stay
in	in	in
would	would	would
place	place	place
us	us	u
at	at	at
a	a	a
double	doubl	double
disadvantage	disadvantag	disadvantage
when	when	when
it	it	it
comes	come	come
to	to	to
jobs	job	job
and	and	and
investment	invest	investment
.	.	.

A	a	A
large	larg	large
majority	major	majority
of	of	of
voters	voter	voter
in	in	in
Scotland	scotland	Scotland
,	,	,
one	one	one
of	of	of
the	the	the
UK	uk	UK
s	s	s
four	four	four
nations	nation	nation
with	with	with
around	around	around
5	5	5
million	million	million
people	peopl	people
,	,	,
voted	vote	voted
to	to	to
stay	stay	stay
in	in	in
the	the	the
EU	eu	EU
,	,	,
as	as	a
did	did	did
Northern	northern	Northern
Ireland	ireland	Ireland
.	.	.

Wales	wale	Wales
and	and	and
England	england	England
,	,	,
the	the	the
most	most	most
populous	popul	populous
nation	nation	nation
,	,	,
voted	vote	voted
to	to	to
leave	leav	leave
,	,	,
straining	strain	straining
the	the	the
structure	structur	structure
of	of	of
the	the	the
UK	uk	UK
and	and	and
complicating	complic	complicating
negotiations	negoti	negotiation
to	to	to
unwind	unwind	unwind
four	four	four
decades	decad	decade
of	of	of
political	polit	political
and	and	and
trading	trade	trading
links	link	link
with	with	with
the	the	the
EU	eu	EU
.	.	.

Huge	huge	Huge
ramifications	ramif	ramification
for	for	for
London	london	London
if	if	if
Theresa	theresa	Theresa
May	may	May
has	has	ha
conceded	conced	conceded
that	that	that
it	it	it
s	s	s
possible	possibl	possible
for	for	for
part	part	part
of	of	of
the	the	the
UK	uk	UK
to	to	to
remain	remain	remain
within	within	within
the	the	the
single	singl	single
market	market	market
and	and	and
customs	custom	custom
union	union	union
after	after	after
Brexit	brexit	Brexit
,	,	,
Sadiq	sadiq	Sadiq
Khan	khan	Khan
,	,	,
London	london	London
s	s	s
mayor	mayor	mayor
,	,	,
said	said	said
on	on	on
Twitter	twitter	Twitter
.	.	.

Britain	britain	Britain
s	s	s
capital	capit	capital
,	,	,
with	with	with
a	a	a
population	popul	population
of	of	of
8	8	8
.	.	.
8	8	8
million	million	million
,	,	,
voted	vote	voted
by	by	by
a	a	a
margin	margin	margin
of	of	of
59	59	59
.	.	.
9	9	9
percent	percent	percent
to	to	to
remain	remain	remain
within	within	within
the	the	the
EU	eu	EU
.	.	.

Turnout	turnout	Turnout
was	was	wa
high	high	high
by	by	by
local	local	local
standards	standard	standard
at	at	at
nearly	near	nearly
70	70	70
percent	percent	percent
and	and	and
Khan	khan	Khan
,	,	,
from	from	from
Britain	britain	Britain
s	s	s
main	main	main
opposition	opposit	opposition
Labour	labour	Labour
Party	parti	Party
,	,	,
campaigned	campaign	campaigned
to	to	to
stay	stay	stay
in	in	in
the	the	the
EU	eu	EU
.	.	.

Welsh	welsh	Welsh
first	first	first
minister	minist	minister
Carwyn	carwyn	Carwyn
Jones	jone	Jones
called	call	called
for	for	for
Wales	wale	Wales
to	to	to
be	be	be
allowed	allow	allowed
to	to	to
continue	continu	continue
to	to	to
participate	particip	participate
in	in	in
the	the	the
single	singl	single
market	market	market
if	if	if
other	other	other
parts	part	part
of	of	of
the	the	the
UK	uk	UK
could	could	could
.	.	.

May	may	May
s	s	s
government	govern	government
has	has	ha
up	up	up
to	to	to
now	now	now
ruled	rule	ruled
out	out	out
any	ani	any
special	special	special
deal	deal	deal
for	for	for
Scotland	scotland	Scotland
,	,	,
although	although	although
the	the	the
Scottish	scottish	Scottish
government	govern	government
published	publish	published
a	a	a
year	year	year
ago	ago	ago
a	a	a
plan	plan	plan
for	for	for
the	the	the
northernmost	northernmost	northernmost
part	part	part
of	of	of
the	the	the
UK	uk	UK
to	to	to
remain	remain	remain
in	in	in
the	the	the
single	singl	single
market	market	market
even	even	even
if	if	if
Britain	britain	Britain
as	as	a
a	a	a
whole	whole	whole
leaves	leav	leaf
.	.	.

Its	it	Its
plan	plan	plan
was	was	wa
,	,	,
however	howev	however
,	,	,
rejected	reject	rejected
as	as	a
unworkable	unwork	unworkable
by	by	by
the	the	the
UK	uk	UK
government	govern	government
.	.	.

