HONG	hong	HONG
of	of	of
reclamations	reclam	reclamation
and	and	and
an	an	an
extended	extend	extended
runway	runway	runway
on	on	on
its	it	it
base	base	base
on	on	on
Spratly	sprat	Spratly
Island	island	Island
,	,	,
the	the	the
satellite	satellit	satellite
images	imag	image
show	show	show
.	.	.
The	the	The
build	build	build
-up	-up	-up
of	of	of
the	the	the
Spratlys	sprat	Spratlys
symbolizes	symbol	symbolizes
China	china	China
s	s	s
growing	grow	growing
assertiveness	assert	assertiveness
over	over	over
the	the	the
South	south	South
China	china	China
Sea	sea	Sea
during	dure	during
President	presid	President
Xi	xi	Xi
Jinping	jinp	Jinping
s	s	s
first	first	first
term	term	term
and	and	and
was	was	wa
highlighted	highlight	highlighted
in	in	in
his	his	his
address	address	address
to	to	to
the	the	the
Communist	communist	Communist
Party	parti	Party
Congress	congress	Congress
this	this	this
month	month	month
.	.	.
Construction	construct	Construction
on	on	on
islands	island	island
and	and	and
reefs	reef	reef
in	in	in
the	the	the
South	south	South
China	china	China
Sea	sea	Sea
has	has	ha
seen	seen	seen
steady	steadi	steady
progress	progress	progress
,	,	,
Xi	xi	Xi
told	told	told
the	the	the
Congress	congress	Congress
.	.	.
The	the	The
issue	issu	issue
is	is	is
likely	like	likely
to	to	to
come	come	come
up	up	up
during	dure	during
U	u	U
.	.	.
S	s	S
.	.	.
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
s	s	s
visit	visit	visit
to	to	to
Asia	asia	Asia
,	,	,
which	which	which
begins	begin	begin
this	this	this
week	week	week
.	.	.
We	we	We
remain	remain	remain
concerned	concern	concerned
about	about	about
tensions	tension	tension
in	in	in
the	the	the
South	south	South
China	china	China
Sea	sea	Sea
,	,	,
in	in	in
particular	particular	particular
those	those	those
caused	caus	caused
by	by	by
land	land	land
reclamation	reclam	reclamation
and	and	and
militarization	militar	militarization
of	of	of
disputed	disput	disputed
outposts	outpost	outpost
and	and	and
the	the	the
willingness	willing	willingness
of	of	of
some	some	some
to	to	to
resort	resort	resort
to	to	to
coercive	coerciv	coercive
tactics	tactic	tactic
to	to	to
assert	assert	assert
their	their	their
claims	claim	claim
,	,	,
said	said	said
Michael	michael	Michael
Cavey	cavey	Cavey
,	,	,
a	a	a
spokesman	spokesman	spokesman
for	for	for
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
State	state	State
Department	depart	Department
.	.	.
We	we	We
have	have	have
consistently	consist	consistently
called	call	called
on	on	on
China	china	China
,	,	,
as	as	a
well	well	well
as	as	a
other	other	other
claimants	claimant	claimant
,	,	,
to	to	to
refrain	refrain	refrain
from	from	from
any	ani	any
further	further	further
land	land	land
reclamation	reclam	reclamation
,	,	,
construction	construct	construction
of	of	of
new	new	new
facilities	facil	facility
,	,	,
and	and	and
militarization	militar	militarization
of	of	of
the	the	the
disputed	disput	disputed
features	featur	feature
.	.	.
Responding	respond	Responding
to	to	to
Reuters	reuter	Reuters
questions	question	question
,	,	,
Chinese	chines	Chinese
Defence	defenc	Defence
Ministry	ministri	Ministry
spokesman	spokesman	spokesman
Ren	ren	Ren
Guoqiang	guoqiang	Guoqiang
reiterated	reiter	reiterated
the	the	the
islands	island	island
were	were	were
irrefutably	irrefut	irrefutably
Chinese	chines	Chinese
territory	territori	territory
.	.	.
You	you	You
can	can	can
t	t	t
say	say	say
that	that	that
the	the	the
construction	construct	construction
on	on	on
our	our	our
islands	island	island
and	and	and
reefs	reef	reef
in	in	in
the	the	the
South	south	South
China	china	China
Sea	sea	Sea
and	and	and
the	the	the
building	build	building
of	of	of
necessary	necessari	necessary
defensive	defens	defensive
facilities	facil	facility
is	is	is
an	an	an
expansion	expans	expansion
of	of	of
military	militari	military
deployments	deploy	deployment
,	,	,
he	he	he
said	said	said
.	.	.
We	we	We
believe	believ	believe
that	that	that
at	at	at
present	present	present
the	the	the
situation	situat	situation
in	in	in
the	the	the
South	south	South
China	china	China
Sea	sea	Sea
is	is	is
generally	general	generally
good	good	good
,	,	,
and	and	and
all	all	all
relevant	relev	relevant
parties	parti	party
should	should	should
work	work	work
hard	hard	hard
together	togeth	together
to	to	to
protect	protect	protect
the	the	the
peace	peac	peace
and	and	and
stability	stabil	stability
of	of	of
the	the	the
South	south	South
China	china	China
Sea	sea	Sea
.	.	.
China	china	China
s	s	s
ambassador	ambassador	ambassador
to	to	to
Washington	washington	Washington
,	,	,
Cui	cui	Cui
Tiankai	tiankai	Tiankai
,	,	,
said	said	said
on	on	on
Monday	monday	Monday
the	the	the
United	unit	United
States	state	States
should	should	should
not	not	not
try	tri	try
to	to	to
interfere	interfer	interfere
in	in	in
regional	region	regional
efforts	effort	effort
to	to	to
resolve	resolv	resolve
disputes	disput	dispute
in	in	in
the	the	the
South	south	South
China	china	China
Sea	sea	Sea
.	.	.
For	for	For
a	a	a
graphic	graphic	graphic
on	on	on
Spratly	sprat	Spratly
Islands	island	Islands
,	,	,
click	click	click
here	here	here
China	china	China
has	has	ha
been	been	been
seeking	seek	seeking
to	to	to
soothe	sooth	soothe
fellow	fellow	fellow
claimant	claimant	claimant
the	the	the
Philippines	philippin	Philippines
and	and	and
accelerating	acceler	accelerating
talks	talk	talk
with	with	with
the	the	the
wider	wider	wider
ASEAN	asean	ASEAN
grouping	group	grouping
,	,	,
amid	amid	amid
concerns	concern	concern
in	in	in
Washington	washington	Washington
about	about	about
the	the	the
long	long	long
-term	-term	-term
security	secur	security
of	of	of
the	the	the
waterway	waterway	waterway
through	through	through
which	which	which
some	some	some
3	3	3
trillion	trillion	trillion
in	in	in
trade	trade	trade
a	a	a
year	year	year
passes	pass	pass
.	.	.
In	in	In
a	a	a
speech	speech	speech
in	in	in
Singapore	singapor	Singapore
earlier	earlier	earlier
this	this	this
month	month	month
,	,	,
the	the	the
most	most	most
senior	senior	senior
U	u	U
.	.	.
S	s	S
.	.	.
military	militari	military
chief	chief	chief
in	in	in
the	the	the
region	region	region
said	said	said
even	even	even
while	while	while
Washington	washington	Washington
pushed	push	pushed
Beijing	beij	Beijing
for	for	for
help	help	help
on	on	on
North	north	North
Korea	korea	Korea
,	,	,
it	it	it
would	would	would
still	still	still
hold	hold	hold
China	china	China
accountable	account	accountable
for	for	for
actions	action	action
that	that	that
countered	counter	countered
international	intern	international
rules	rule	rule
and	and	and
norms	norm	norm
.	.	.
We	we	We
also	also	also
want	want	want
Beijing	beij	Beijing
to	to	to
do	do	do
more	more	more
to	to	to
stop	stop	stop
provocative	provoc	provocative
actions	action	action
in	in	in
the	the	the
East	east	East
China	china	China
Sea	sea	Sea
and	and	and
the	the	the
South	south	South
China	china	China
Sea	sea	Sea
,	,	,
where	where	where
the	the	the
Chinese	chines	Chinese
are	are	are
building	build	building
up	up	up
combat	combat	combat
power	power	power
and	and	and
positional	posit	positional
advantage	advantag	advantage
in	in	in
an	an	an
attempt	attempt	attempt
to	to	to
assert	assert	assert
de	de	de
-facto	-facto	-facto
sovereignty	sovereignti	sovereignty
over	over	over
disputed	disput	disputed
maritime	maritim	maritime
features	featur	feature
,	,	,
Admiral	admir	Admiral
Harry	harri	Harry
Harris	harri	Harris
,	,	,
commander	command	commander
of	of	of
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
Pacific	pacif	Pacific
Command	command	Command
,	,	,
said	said	said
.	.	.
China	china	China
claims	claim	claim
much	much	much
of	of	of
the	the	the
area	area	area
through	through	through
its	it	it
controversial	controversi	controversial
nine	nine	nine
-dash	-dash	-dash
line	line	line
,	,	,
which	which	which
overlaps	overlap	overlap
rival	rival	rival
maritime	maritim	maritime
claims	claim	claim
by	by	by
Vietnam	vietnam	Vietnam
,	,	,
the	the	the
Philippines	philippin	Philippines
,	,	,
Malaysia	malaysia	Malaysia
,	,	,
Taiwan	taiwan	Taiwan
and	and	and
Brunei	brunei	Brunei
.	.	.
A	a	A
recent	recent	recent
study	studi	study
by	by	by
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
government	govern	government
-linked	-link	-linked
RAND	rand	RAND
Corp	corp	Corp
weighing	weigh	weighing
the	the	the
risks	risk	risk
of	of	of
a	a	a
conflict	conflict	conflict
between	between	between
the	the	the
United	unit	United
States	state	States
and	and	and
China	china	China
moved	move	moved
the	the	the
South	south	South
China	china	China
Sea	sea	Sea
up	up	up
its	it	it
list	list	list
of	of	of
potential	potenti	potential
flashpoints	flashpoint	flashpoint
.	.	.
Placing	place	Placing
it	it	it
above	abov	above
Taiwan	taiwan	Taiwan
but	but	but
below	below	below
the	the	the
Korean	korean	Korean
peninsula	peninsula	peninsula
,	,	,
the	the	the
study	studi	study
notes	note	note
the	the	the
waterway	waterway	waterway
has	has	ha
become	becom	become
the	the	the
unanticipated	unanticip	unanticipated
focal	focal	focal
point	point	point
of	of	of
U	u	U
.	.	.
S	s	S
.	.	.
-Chinese	-chines	-Chinese
.	.	.
.	.	.
.	.	.
rivalry	rivalri	rivalry
.	.	.
While	while	While
the	the	the
Pentagon	pentagon	Pentagon
has	has	ha
embarked	embark	embarked
on	on	on
more	more	more
regular	regular	regular
freedom	freedom	freedom
-of-navigation	-of-navig	-of-navigation
patrols	patrol	patrol
,	,	,
or	or	or
FONOPS	fonop	FONOPS
,	,	,
to	to	to
challenge	challeng	challenge
Beijing	beij	Beijing
s	s	s
claims	claim	claim
,	,	,
some	some	some
analysts	analyst	analyst
believe	believ	believe
Washington	washington	Washington
is	is	is
struggling	struggl	struggling
to	to	to
counter	counter	counter
China	china	China
s	s	s
creeping	creep	creeping
domination	domin	domination
of	of	of
the	the	the
area	area	area
.	.	.
China	china	China
appears	appear	appears
to	to	to
be	be	be
pursuing	pursu	pursuing
a	a	a
well	well	well
-thought	-thought	-thought
out	out	out
and	and	and
long	long	long
-term	-term	-term
strategy	strategi	strategy
to	to	to
achieve	achiev	achieve
dominion	dominion	dominion
over	over	over
the	the	the
South	south	South
China	china	China
Sea	sea	Sea
while	while	while
America	america	America
responds	respond	responds
with	with	with
ad	ad	ad
hoc	hoc	hoc
tactical	tactic	tactical
maneuvers	maneuv	maneuver
,	,	,
said	said	said
Ian	ian	Ian
Storey	storey	Storey
,	,	,
a	a	a
South	south	South
China	china	China
Sea	sea	Sea
expert	expert	expert
at	at	at
Singapore	singapor	Singapore
s	s	s
Yusof	yusof	Yusof
Ishak	ishak	Ishak
Institute	institut	Institute
.	.	.
FONOPS	fonop	FONOPS
are	are	are
tactics	tactic	tactic
not	not	not
strategy	strategi	strategy
,	,	,
and	and	and
they	they	they
have	have	have
not	not	not
made	made	made
China	china	China
rethink	rethink	rethink
its	it	it
plans	plan	plan
for	for	for
the	the	the
South	south	South
China	china	China
Sea	sea	Sea
one	one	one
iota	iota	iota
.	.	.
Ni	ni	Ni
Lexiong	lexiong	Lexiong
,	,	,
a	a	a
naval	naval	naval
expert	expert	expert
at	at	at
the	the	the
Shanghai	shanghai	Shanghai
University	univers	University
of	of	of
Political	polit	Political
Science	scienc	Science
and	and	and
Law	law	Law
,	,	,
said	said	said
there	there	there
was	was	wa
little	littl	little
need	need	need
for	for	for
China	china	China
to	to	to
dramatically	dramat	dramatically
increase	increas	increase
deployments	deploy	deployment
now	now	now
,	,	,
but	but	but
much	much	much
depended	depend	depended
on	on	on
the	the	the
actions	action	action
others	other	others
.	.	.
As	as	As
long	long	long
as	as	a
others	other	others
don	don	don
t	t	t
intentionally	intent	intentionally
go	go	go
and	and	and
provoke	provok	provoke
clashes	clash	clash
,	,	,
things	thing	thing
will	will	will
be	be	be
fine	fine	fine
,	,	,
he	he	he
added	ad	added
.	.	.
The	the	The
issue	issu	issue
is	is	is
that	that	that
some	some	some
countries	countri	country
,	,	,
like	like	like
the	the	the
United	unit	United
States	state	States
,	,	,
go	go	go
and	and	and
stir	stir	stir
things	thing	thing
up	up	up
.	.	.
