CARACAS	caraca	CARACAS
United	unit	United
Nations	nation	Nations
on	on	on
Wednesday	wednesday	Wednesday
.	.	.
However	howev	However
,	,	,
he	he	he
was	was	wa
not	not	not
present	present	present
when	when	when
his	his	his
turn	turn	turn
to	to	to
speak	speak	speak
at	at	at
a	a	a
meeting	meet	meeting
on	on	on
the	the	the
rights	right	right
of	of	of
the	the	the
Palestinian	palestinian	Palestinian
people	peopl	people
came	came	came
up	up	up
,	,	,
according	accord	according
to	to	to
diplomatic	diplomat	diplomatic
sources	sourc	source
at	at	at
the	the	the
meeting	meet	meeting
.	.	.
Two	two	Two
sources	sourc	source
said	said	said
Foreign	foreign	Foreign
Minister	minist	Minister
Jorge	jorg	Jorge
Arreaza	arreaza	Arreaza
traveled	travel	traveled
to	to	to
New	new	New
York	york	York
this	this	this
week	week	week
.	.	.
Another	anoth	Another
source	sourc	source
said	said	said
Ramirez	ramirez	Ramirez
tried	tri	tried
to	to	to
fight	fight	fight
back	back	back
and	and	and
negotiate	negoti	negotiate
but	but	but
was	was	wa
unable	unabl	unable
to	to	to
.	.	.
Ramirez	ramirez	Ramirez
has	has	ha
published	publish	published
several	sever	several
online	onlin	online
opinion	opinion	opinion
pieces	piec	piece
this	this	this
year	year	year
criticizing	critic	criticizing
the	the	the
management	manag	management
of	of	of
PDVSA	pdvsa	PDVSA
for	for	for
allowing	allow	allowing
oil	oil	oil
production	product	production
to	to	to
plummet	plummet	plummet
and	and	and
admonishing	admonish	admonishing
the	the	the
government	govern	government
for	for	for
not	not	not
taking	take	taking
measures	measur	measure
to	to	to
improve	improv	improve
Venezuela	venezuela	Venezuela
s	s	s
tanking	tank	tanking
economy	economi	economy
.	.	.
In	in	In
one	one	one
piece	piec	piece
this	this	this
month	month	month
entitled	entitl	entitled
the	the	the
The	the	The
Storm	storm	Storm
,	,	,
he	he	he
described	describ	described
his	his	his
efforts	effort	effort
in	in	in
2014	2014	2014
to	to	to
help	help	help
stabilize	stabil	stabilize
the	the	the
economy	economi	economy
,	,	,
which	which	which
Maduro	maduro	Maduro
s	s	s
allies	alli	ally
perceived	perceiv	perceived
as	as	a
an	an	an
attack	attack	attack
on	on	on
the	the	the
president	presid	president
,	,	,
according	accord	according
to	to	to
one	one	one
source	sourc	source
.	.	.
The	the	The
article	articl	article
played	play	played
up	up	up
his	his	his
close	close	close
relationship	relationship	relationship
with	with	with
late	late	late
President	presid	President
Hugo	hugo	Hugo
Chavez	chavez	Chavez
,	,	,
who	who	who
tasked	task	tasked
Ramirez	ramirez	Ramirez
with	with	with
leading	lead	leading
oil	oil	oil
sector	sector	sector
nationalizations	nation	nationalization
that	that	that
began	began	began
in	in	in
2007	2007	2007
.	.	.
Chavez	chavez	Chavez
s	s	s
deity	deiti	deity
-like	-like	-like
status	status	status
in	in	in
the	the	the
Socialist	socialist	Socialist
Party	parti	Party
makes	make	make
any	ani	any
relationship	relationship	relationship
with	with	with
him	him	him
a	a	a
commodity	commod	commodity
that	that	that
officials	offici	official
often	often	often
use	use	use
when	when	when
vying	vy	vying
for	for	for
influence	influenc	influence
or	or	or
jockeying	jockey	jockeying
for	for	for
position	posit	position
.	.	.
Maduro	maduro	Maduro
,	,	,
who	who	who
calls	call	call
himself	himself	himself
the	the	the
son	son	son
of	of	of
Chavez	chavez	Chavez
,	,	,
this	this	this
week	week	week
named	name	named
a	a	a
military	militari	military
officer	offic	officer
to	to	to
head	head	head
PDVSA	pdvsa	PDVSA
and	and	and
promised	promis	promised
to	to	to
break	break	break
up	up	up
mafias	mafia	mafia
that	that	that
have	have	have
stolen	stolen	stolen
from	from	from
the	the	the
nation	nation	nation
s	s	s
coffers	coffer	coffer
.	.	.
Some	some	Some
of	of	of
his	his	his
comments	comment	comment
in	in	in
a	a	a
speech	speech	speech
on	on	on
Tuesday	tuesday	Tuesday
appeared	appear	appeared
aimed	aim	aimed
at	at	at
Ramirez	ramirez	Ramirez
tenure	tenur	tenure
.	.	.
We	we	We
ve	ve	ve
witnessed	wit	witnessed
the	the	the
rise	rise	rise
of	of	of
mafias	mafia	mafia
that	that	that
controlled	control	controlled
important	import	important
areas	area	area
of	of	of
our	our	our
oil	oil	oil
industry	industri	industry
,	,	,
Maduro	maduro	Maduro
said	said	said
in	in	in
the	the	the
speech	speech	speech
during	dure	during
the	the	the
swearing	swear	swearing
in	in	in
of	of	of
Major	major	Major
General	general	General
Manuel	manuel	Manuel
Quevedo	quevedo	Quevedo
.	.	.
They	they	They
didn	didn	didn
t	t	t
just	just	just
steal	steal	steal
from	from	from
the	the	the
country	countri	country
.	.	.
.	.	.
.	.	.
they	they	they
believed	believ	believed
themselves	themselv	themselves
to	to	to
be	be	be
the	the	the
owners	owner	owner
of	of	of
the	the	the
oil	oil	oil
industry	industri	industry
.	.	.
Venezuelan	venezuelan	Venezuelan
authorities	author	authority
last	last	last
week	week	week
arrested	arrest	arrested
the	the	the
acting	act	acting
president	presid	president
of	of	of
its	it	it
U	u	U
.	.	.
S	s	S
.	.	.
-based	-base	-based
refiner	refin	refiner
Citgo	citgo	Citgo
and	and	and
five	five	five
of	of	of
the	the	the
subsidiary	subsidiari	subsidiary
s	s	s
top	top	top
executives	execut	executive
as	as	a
part	part	part
of	of	of
the	the	the
corruption	corrupt	corruption
probe	probe	probe
.	.	.
Since	sinc	Since
August	august	August
the	the	the
authorities	author	authority
have	have	have
ordered	order	ordered
the	the	the
arrest	arrest	arrest
of	of	of
around	around	around
50	50	50
oil	oil	oil
industry	industri	industry
managers	manag	manager
as	as	a
part	part	part
of	of	of
the	the	the
anti	anti	anti
-corruption	-corrupt	-corruption
sweep	sweep	sweep
.	.	.
