PHILADELPHIA	philadelphia	PHILADELPHIA
.	.	.

The	the	The
White	white	White
House	hous	House
said	said	said
later	later	later
its	it	it
proposal	propos	proposal
was	was	wa
in	in	in
the	the	the
early	earli	early
stages	stage	stage
.	.	.

Asked	ask	Asked
if	if	if
Trump	trump	Trump
favored	favor	favored
a	a	a
border	border	border
adjustment	adjust	adjustment
tax	tax	tax
,	,	,
White	white	White
House	hous	House
Chief	chief	Chief
of	of	of
Staff	staff	Staff
Reince	reinc	Reince
Priebus	priebus	Priebus
said	said	said
such	such	such
a	a	a
tax	tax	tax
would	would	would
be	be	be
one	one	one
way	way	way
of	of	of
paying	pay	paying
for	for	for
the	the	the
border	border	border
wall	wall	wall
.	.	.

It	it	It
s	s	s
a	a	a
buffet	buffet	buffet
of	of	of
options	option	option
,	,	,
he	he	he
said	said	said
.	.	.

The	the	The
plan	plan	plan
being	be	being
weighed	weigh	weighed
by	by	by
House	hous	House
Republicans	republican	Republicans
would	would	would
exempt	exempt	exempt
export	export	export
revenues	revenu	revenue
from	from	from
taxation	taxat	taxation
but	but	but
impose	impos	impose
a	a	a
20	20	20
percent	percent	percent
tax	tax	tax
on	on	on
imported	import	imported
goods	good	good
,	,	,
a	a	a
significant	signific	significant
change	chang	change
from	from	from
current	current	current
U	u	U
.	.	.
S	s	S
.	.	.
policy	polici	policy
.	.	.

If	if	If
you	you	you
tax	tax	tax
exports	export	export
from	from	from
Mexico	mexico	Mexico
into	into	into
the	the	the
United	unit	United
States	state	States
,	,	,
you	you	you
re	re	re
going	go	going
to	to	to
make	make	make
things	thing	thing
ranging	rang	ranging
from	from	from
avocados	avocado	avocado
to	to	to
appliances	applianc	appliance
to	to	to
flat	flat	flat
-screen	-screen	-screen
tvs	tvs	tv
,	,	,
you	you	you
re	re	re
going	go	going
to	to	to
make	make	make
them	them	them
more	more	more
expensive	expens	expensive
,	,	,
Mexican	mexican	Mexican
Foreign	foreign	Foreign
Minister	minist	Minister
Luis	lui	Luis
Videgaray	videgaray	Videgaray
told	told	told
reporters	report	reporter
at	at	at
the	the	the
Mexican	mexican	Mexican
Embassy	embassi	Embassy
in	in	in
Washington	washington	Washington
on	on	on
Thursday	thursday	Thursday
night	night	night
.	.	.

Countries	countri	Countries
like	like	like
Mexico	mexico	Mexico
would	would	would
not	not	not
pay	pay	pay
such	such	such
taxes	tax	tax
directly	direct	directly
.	.	.

Companies	compani	Companies
would	would	would
face	face	face
the	the	the
tax	tax	tax
if	if	if
they	they	they
import	import	import
products	product	product
made	made	made
there	there	there
into	into	into
the	the	the
United	unit	United
States	state	States
,	,	,
potentially	potenti	potentially
raising	rais	raising
prices	price	price
for	for	for
American	american	American
consumers	consum	consumer
.	.	.

The	the	The
idea	idea	idea
is	is	is
unpopular	unpopular	unpopular
with	with	with
retailers	retail	retailer
and	and	and
businesses	busi	business
that	that	that
sell	sell	sell
imported	import	imported
goods	good	good
in	in	in
the	the	the
United	unit	United
States	state	States
.	.	.

It	it	It
also	also	also
has	has	ha
met	met	met
opposition	opposit	opposition
from	from	from
some	some	some
lawmakers	lawmak	lawmaker
worried	worri	worried
about	about	about
the	the	the
impact	impact	impact
on	on	on
U	u	U
.	.	.
S	s	S
.	.	.
consumers	consum	consumer
.	.	.

Trump	trump	Trump
himself	himself	himself
appeared	appear	appeared
to	to	to
pan	pan	pan
the	the	the
idea	idea	idea
in	in	in
a	a	a
Wall	wall	Wall
Street	street	Street
Journal	journal	Journal
interview	interview	interview
last	last	last
week	week	week
,	,	,
saying	say	saying
the	the	the
House	hous	House
border	border	border
adjustment	adjust	adjustment
provision	provis	provision
was	was	wa
too	too	too
complicated	complic	complicated
.	.	.
Even	even	Even
after	after	after
Trump	trump	Trump
s	s	s
comments	comment	comment
,	,	,
congressional	congression	congressional
Republicans	republican	Republicans
have	have	have
continued	continu	continued
to	to	to
discuss	discuss	discus
the	the	the
issue	issu	issue
with	with	with
White	white	White
House	hous	House
officials	offici	official
in	in	in
an	an	an
effort	effort	effort
to	to	to
bring	bring	bring
them	them	them
on	on	on
board	board	board
with	with	with
the	the	the
idea	idea	idea
.	.	.

Trump	trump	Trump
,	,	,
who	who	who
visited	visit	visited
Republican	republican	Republican
lawmakers	lawmak	lawmaker
at	at	at
their	their	their
policy	polici	policy
retreat	retreat	retreat
in	in	in
Philadelphia	philadelphia	Philadelphia
,	,	,
told	told	told
them	them	them
he	he	he
would	would	would
use	use	use
tax	tax	tax
reform	reform	reform
legislation	legisl	legislation
to	to	to
pay	pay	pay
for	for	for
the	the	the
border	border	border
wall	wall	wall
.	.	.

We	we	We
re	re	re
working	work	working
on	on	on
a	a	a
tax	tax	tax
reform	reform	reform
bill	bill	bill
that	that	that
will	will	will
reduce	reduc	reduce
our	our	our
trade	trade	trade
deficits	deficit	deficit
,	,	,
increase	increas	increase
American	american	American
exports	export	export
and	and	and
will	will	will
generate	generat	generate
revenue	revenu	revenue
from	from	from
Mexico	mexico	Mexico
that	that	that
will	will	will
pay	pay	pay
for	for	for
the	the	the
wall	wall	wall
if	if	if
we	we	we
decide	decid	decide
to	to	to
go	go	go
that	that	that
route	rout	route
,	,	,
he	he	he
said	said	said
.	.	.

Trump	trump	Trump
,	,	,
who	who	who
took	took	took
office	offic	office
last	last	last
week	week	week
,	,	,
views	view	view
the	the	the
wall	wall	wall
,	,	,
a	a	a
major	major	major
promise	promis	promise
during	dure	during
his	his	his
election	elect	election
campaign	campaign	campaign
,	,	,
as	as	a
part	part	part
of	of	of
a	a	a
package	packag	package
of	of	of
measures	measur	measure
to	to	to
curb	curb	curb
illegal	illeg	illegal
immigration	immigr	immigration
.	.	.

Mexico	mexico	Mexico
has	has	ha
long	long	long
insisted	insist	insisted
it	it	it
will	will	will
not	not	not
heed	heed	heed
Trump	trump	Trump
s	s	s
demands	demand	demand
to	to	to
pay	pay	pay
for	for	for
the	the	the
construction	construct	construction
project	project	project
.	.	.

He	he	He
signed	sign	signed
an	an	an
executive	execut	executive
order	order	order
for	for	for
construction	construct	construction
of	of	of
the	the	the
wall	wall	wall
on	on	on
Wednesday	wednesday	Wednesday
.	.	.

The	the	The
move	move	move
provoked	provok	provoked
outrage	outrag	outrage
in	in	in
Mexico	mexico	Mexico
.	.	.

A	a	A
planned	plan	planned
meeting	meet	meeting
between	between	between
Videgaray	videgaray	Videgaray
and	and	and
U	u	U
.	.	.
S	s	S
.	.	.
Homeland	homeland	Homeland
Security	secur	Security
Secretary	secretari	Secretary
John	john	John
Kelly	kelli	Kelly
was	was	wa
canceled	cancel	canceled
,	,	,
a	a	a
department	depart	department
spokeswoman	spokeswoman	spokeswoman
said	said	said
.	.	.

Videgaray	videgaray	Videgaray
said	said	said
Mexico	mexico	Mexico
would	would	would
work	work	work
with	with	with
Trump	trump	Trump
but	but	but
that	that	that
paying	pay	paying
for	for	for
the	the	the
wall	wall	wall
was	was	wa
out	out	out
of	of	of
the	the	the
question	question	question
.	.	.

There	there	There
are	are	are
things	thing	thing
that	that	that
go	go	go
beyond	beyond	beyond
negotiation	negoti	negotiation
,	,	,
he	he	he
said	said	said
.	.	.

This	this	This
is	is	is
about	about	about
our	our	our
dignity	digniti	dignity
and	and	and
our	our	our
pride	pride	pride
.	.	.
Pena	pena	Pena
Nieto	nieto	Nieto
,	,	,
who	who	who
had	had	had
been	been	been
under	under	under
pressure	pressur	pressure
to	to	to
cancel	cancel	cancel
the	the	the
summit	summit	summit
,	,	,
tweeted	tweet	tweeted
on	on	on
Thursday	thursday	Thursday
We	we	We
have	have	have
informed	inform	informed
the	the	the
White	white	White
House	hous	House
that	that	that
I	i	I
will	will	will
not	not	not
attend	attend	attend
the	the	the
working	work	working
meeting	meet	meeting
planned	plan	planned
for	for	for
next	next	next
Tuesday	tuesday	Tuesday
with	with	with
@POTUS	@potus	@POTUS
.	.	.
Trump	trump	Trump
had	had	had
tweeted	tweet	tweeted
earlier	earlier	earlier
that	that	that
it	it	it
would	would	would
be	be	be
better	better	better
for	for	for
the	the	the
Mexican	mexican	Mexican
leader	leader	leader
not	not	not
to	to	to
come	come	come
if	if	if
Mexico	mexico	Mexico
would	would	would
not	not	not
pay	pay	pay
for	for	for
the	the	the
wall	wall	wall
.	.	.

He	he	He
said	said	said
later	later	later
the	the	the
meeting	meet	meeting
was	was	wa
canceled	cancel	canceled
by	by	by
mutual	mutual	mutual
agreement	agreement	agreement
.	.	.

Relations	relat	Relations
have	have	have
been	been	been
frayed	fray	frayed
since	sinc	since
Trump	trump	Trump
launched	launch	launched
his	his	his
presidential	presidenti	presidential
campaign	campaign	campaign
in	in	in
2015	2015	2015
,	,	,
characterizing	character	characterizing
Mexican	mexican	Mexican
immigrants	immigr	immigrant
as	as	a
murderers	murder	murderer
and	and	and
rapists	rapist	rapist
.	.	.

His	his	His
trade	trade	trade
rhetoric	rhetor	rhetoric
has	has	ha
hit	hit	hit
the	the	the
Mexican	mexican	Mexican
economy	economi	economy
,	,	,
causing	caus	causing
consumers	consum	consumer
to	to	to
rein	rein	rein
in	in	in
spending	spend	spending
and	and	and
foreign	foreign	foreign
businesses	busi	business
to	to	to
wait	wait	wait
on	on	on
new	new	new
investments	invest	investment
,	,	,
according	accord	according
to	to	to
the	the	the
International	intern	International
Monetary	monetari	Monetary
Fund	fund	Fund
.	.	.

Trump	trump	Trump
has	has	ha
vowed	vow	vowed
to	to	to
renegotiate	renegoti	renegotiate
the	the	the
North	north	North
American	american	American
Free	free	Free
Trade	trade	Trade
Agreement	agreement	Agreement
with	with	with
Mexico	mexico	Mexico
and	and	and
Canada	canada	Canada
and	and	and
slap	slap	slap
high	high	high
tariffs	tariff	tariff
on	on	on
American	american	American
companies	compani	company
that	that	that
have	have	have
moved	move	moved
jobs	job	job
south	south	south
of	of	of
the	the	the
border	border	border
.	.	.

Mexico	mexico	Mexico
ships	ship	ship
80	80	80
percent	percent	percent
of	of	of
its	it	it
exports	export	export
to	to	to
the	the	the
United	unit	United
States	state	States
,	,	,
and	and	and
about	about	about
half	half	half
of	of	of
Mexico	mexico	Mexico
s	s	s
foreign	foreign	foreign
direct	direct	direct
investment	invest	investment
has	has	ha
come	come	come
from	from	from
its	it	it
northern	northern	northern
neighbor	neighbor	neighbor
over	over	over
the	the	the
past	past	past
two	two	two
decades	decad	decade
.	.	.

The	the	The
United	unit	United
States	state	States
runs	run	run
a	a	a
58	58	58
.	.	.
8	8	8
billion	billion	billion
trade	trade	trade
deficit	deficit	deficit
with	with	with
Mexico	mexico	Mexico
,	,	,
according	accord	according
to	to	to
the	the	the
latest	latest	latest
U	u	U
.	.	.
S	s	S
.	.	.
government	govern	government
figures	figur	figure
.	.	.

But	but	But
Mexico	mexico	Mexico
is	is	is
also	also	also
the	the	the
United	unit	United
States	state	States
second	second	second
-largest	-largest	-largest
export	export	export
market	market	market
.	.	.

