LOS	los	LOS
the	the	the
county	counti	county
has	has	ha
failed	fail	failed
to	to	to
justify	justifi	justify
the	the	the
burden	burden	burden
it	it	it
has	has	ha
placed	place	placed
on	on	on
the	the	the
right	right	right
of	of	of
law	law	law
-abiding	-abid	-abiding
citizens	citizen	citizen
to	to	to
purchase	purchas	purchase
guns	gun	gun
,	,	,
Judge	judg	Judge
Diarmuid	diarmuid	Diarmuid
O	o	O
Scannlain	scannlain	Scannlain
wrote	wrote	wrote
in	in	in
a	a	a
34	34	34
-page	-page	-page
opinion	opinion	opinion
for	for	for
the	the	the
majority	major	majority
.	.	.
The	the	The
Second	second	Second
Amendment	amend	Amendment
of	of	of
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
Constitution	constitut	Constitution
requires	requir	requires
something	someth	something
more	more	more
rigorous	rigor	rigorous
than	than	than
the	the	the
unsubstantiated	unsubstanti	unsubstantiated
assertions	assert	assertion
offered	offer	offered
to	to	to
the	the	the
district	district	district
court	court	court
,	,	,
O	o	O
Scannlain	scannlain	Scannlain
wrote	wrote	wrote
.	.	.
Representatives	repres	Representatives
for	for	for
the	the	the
Alameda	alameda	Alameda
County	counti	County
Board	board	Board
of	of	of
Supervisors	supervisor	Supervisors
could	could	could
not	not	not
immediately	immedi	immediately
be	be	be
reached	reach	reached
for	for	for
comment	comment	comment
.	.	.
In	in	In
tossing	toss	tossing
the	the	the
lawsuit	lawsuit	lawsuit
out	out	out
of	of	of
court	court	court
,	,	,
the	the	the
lower	lower	lower
-court	-court	-court
judge	judg	judge
found	found	found
that	that	that
Alameda	alameda	Alameda
County	counti	County
s	s	s
gun	gun	gun
restrictions	restrict	restriction
were	were	were
permissible	permiss	permissible
to	to	to
achieve	achiev	achieve
such	such	such
important	import	important
governmental	government	governmental
objectives	object	objective
as	as	a
protecting	protect	protecting
public	public	public
safety	safeti	safety
,	,	,
preserving	preserv	preserving
the	the	the
character	charact	character
of	of	of
residential	residenti	residential
areas	area	area
and	and	and
guarding	guard	guarding
against	against	against
secondary	secondari	secondary
effects	effect	effect
of	of	of
gun	gun	gun
stores	store	store
.	.	.
But	but	But
the	the	the
Ninth	ninth	Ninth
Circuit	circuit	Circuit
majority	major	majority
said	said	said
that	that	that
Alameda	alameda	Alameda
County	counti	County
had	had	had
not	not	not
provided	provid	provided
any	ani	any
evidence	evid	evidence
that	that	that
such	such	such
objectives	object	objective
would	would	would
be	be	be
achieved	achiev	achieved
.	.	.
The	the	The
plaintiffs	plaintiff	plaintiff
also	also	also
asserted	assert	asserted
that	that	that
no	no	no
parcels	parcel	parcel
in	in	in
Alameda	alameda	Alameda
County	counti	County
would	would	would
fit	fit	fit
within	within	within
the	the	the
regulations	regul	regulation
,	,	,
which	which	which
meant	meant	meant
that	that	that
gun	gun	gun
sales	sale	sale
were	were	were
effectively	effect	effectively
banned	ban	banned
there	there	there
.	.	.
In	in	In
dissenting	dissent	dissenting
from	from	from
the	the	the
majority	major	majority
,	,	,
Judge	judg	Judge
Barry	barri	Barry
Silverman	silverman	Silverman
said	said	said
that	that	that
the	the	the
ordinance	ordin	ordinance
did	did	did
not	not	not
infringe	infring	infringe
upon	upon	upon
anyone	anyon	anyone
s	s	s
right	right	right
to	to	to
bear	bear	bear
arms	arm	arm
and	and	and
that	that	that
what	what	what
we	we	we
re	re	re
dealing	deal	dealing
with	with	with
here	here	here
is	is	is
a	a	a
mundane	mundan	mundane
zoning	zone	zoning
dispute	disput	dispute
dressed	dress	dressed
up	up	up
as	as	a
a	a	a
Second	second	Second
Amendment	amend	Amendment
challenge	challeng	challenge
.	.	.
