SACRAMENTO	sacramento	SACRAMENTO
personal	person	personal
cultivation	cultiv	cultivation
of	of	of
as	as	a
many	mani	many
as	as	a
six	six	six
cannabis	cannabi	cannabis
plants	plant	plant
.	.	.

Moreover	moreov	Moreover
,	,	,
it	it	it
would	would	would
establish	establish	establish
a	a	a
system	system	system
to	to	to
license	licens	license
,	,	,
regulate	regul	regulate
and	and	and
tax	tax	tax
sales	sale	sale
of	of	of
marijuana	marijuana	marijuana
,	,	,
while	while	while
allowing	allow	allowing
city	citi	city
governments	govern	government
to	to	to
exercise	exercis	exercise
local	local	local
control	control	control
over	over	over
commercial	commerci	commercial
distribution	distribut	distribution
within	within	within
their	their	their
borders	border	border
.	.	.

California	california	California
voters	voter	voter
defeated	defeat	defeated
a	a	a
similar	similar	similar
initiative	initi	initiative
in	in	in
2010	2010	2010
,	,	,
but	but	but
public	public	public
opinion	opinion	opinion
polls	poll	poll
show	show	show
attitudes	attitud	attitude
have	have	have
since	sinc	since
shifted	shift	shifted
.	.	.

Opponents	oppon	Opponents
of	of	of
liberalized	liber	liberalized
marijuana	marijuana	marijuana
laws	law	law
have	have	have
argued	argu	argued
that	that	that
such	such	such
measures	measur	measure
carry	carri	carry
major	major	major
public	public	public
safety	safeti	safety
risks	risk	risk
and	and	and
would	would	would
make	make	make
pot	pot	pot
more	more	more
accessible	access	accessible
to	to	to
youngsters	youngster	youngster
.	.	.

Experts	expert	Experts
say	say	say
the	the	the
latest	latest	latest
initiatives	initi	initiative
include	includ	include
more	more	more
sophisticated	sophist	sophisticated
regulatory	regulatori	regulatory
mechanisms	mechan	mechanism
aimed	aim	aimed
at	at	at
keeping	keep	keeping
cannabis	cannabi	cannabis
away	away	away
from	from	from
children	children	child
and	and	and
banning	ban	banning
the	the	the
involvement	involv	involvement
of	of	of
criminal	crimin	criminal
gangs	gang	gang
and	and	and
drug	drug	drug
cartels	cartel	cartel
.	.	.

They	they	They
also	also	also
point	point	point
to	to	to
the	the	the
potential	potenti	potential
for	for	for
hundreds	hundr	hundred
of	of	of
millions	million	million
in	in	in
additional	addit	additional
state	state	state
tax	tax	tax
revenue	revenu	revenue
from	from	from
pot	pot	pot
sales	sale	sale
and	and	and
billions	billion	billion
in	in	in
economic	econom	economic
activity	activ	activity
.	.	.

Investors	investor	Investors
new	new	new
to	to	to
the	the	the
sector	sector	sector
said	said	said
they	they	they
are	are	are
eager	eager	eager
for	for	for
a	a	a
piece	piec	piece
of	of	of
a	a	a
recreational	recreat	recreational
marijuana	marijuana	marijuana
market	market	market
that	that	that
by	by	by
some	some	some
estimates	estim	estimate
will	will	will
reach	reach	reach
50	50	50
billion	billion	billion
over	over	over
the	the	the
next	next	next
decade	decad	decade
.	.	.

It	it	It
s	s	s
changed	chang	changed
in	in	in
the	the	the
minds	mind	mind
of	of	of
these	these	these
voters	voter	voter
from	from	from
being	be	being
like	like	like
cocaine	cocain	cocaine
to	to	to
being	be	being
like	like	like
beer	beer	beer
,	,	,
said	said	said
University	univers	University
of	of	of
Southern	southern	Southern
California	california	California
political	polit	political
scientist	scientist	scientist
John	john	John
Matsusaka	matsusaka	Matsusaka
.	.	.

Civil	civil	Civil
rights	right	right
groups	group	group
have	have	have
also	also	also
embraced	embrac	embraced
legalization	legal	legalization
,	,	,
arguing	argu	arguing
that	that	that
current	current	current
marijuana	marijuana	marijuana
laws	law	law
have	have	have
led	led	led
to	to	to
a	a	a
disproportionate	disproportion	disproportionate
number	number	number
of	of	of
minorities	minor	minority
being	be	being
incarcerated	incarcer	incarcerated
for	for	for
minor	minor	minor
drug	drug	drug
offenses	offens	offense
.	.	.

