BEDMINSTER	bedminst	BEDMINSTER
tensions	tension	tension
,	,	,
the	the	the
Elysee	elyse	Elysee
palace	palac	palace
said	said	said
in	in	in
a	a	a
statement	statement	statement
.	.	.

Trump	trump	Trump
and	and	and
Macron	macron	Macron
spoke	spoke	spoke
on	on	on
Saturday	saturday	Saturday
.	.	.

The	the	The
White	white	White
House	hous	House
said	said	said
Trump	trump	Trump
reiterated	reiter	reiterated
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
commitment	commit	commitment
to	to	to
stop	stop	stop
the	the	the
North	north	North
Korean	korean	Korean
nuclear	nuclear	nuclear
menace	menac	menace
and	and	and
said	said	said
Washington	washington	Washington
was	was	wa
ready	readi	ready
with	with	with
diplomatic	diplomat	diplomatic
,	,	,
economic	econom	economic
and	and	and
military	militari	military
measures	measur	measure
.	.	.

British	british	British
Foreign	foreign	Foreign
Secretary	secretari	Secretary
Boris	bori	Boris
Johnson	johnson	Johnson
said	said	said
blame	blame	blame
for	for	for
problems	problem	problem
lay	lay	lay
with	with	with
North	north	North
Korea	korea	Korea
,	,	,
and	and	and
that	that	that
the	the	the
international	intern	international
community	communiti	community
was	was	wa
shoulder	shoulder	shoulder
to	to	to
shoulder	shoulder	shoulder
in	in	in
efforts	effort	effort
to	to	to
stop	stop	stop
North	north	North
Korean	korean	Korean
aggression	aggress	aggression
.	.	.

We	we	We
are	are	are
working	work	working
with	with	with
the	the	the
US	us	US
and	and	and
our	our	our
partners	partner	partner
in	in	in
the	the	the
region	region	region
to	to	to
bring	bring	bring
this	this	this
crisis	crisi	crisis
to	to	to
a	a	a
diplomatic	diplomat	diplomatic
end	end	end
,	,	,
he	he	he
tweeted	tweet	tweeted
.	.	.

As	as	As
the	the	the
rhetoric	rhetor	rhetoric
has	has	ha
ratcheted	ratchet	ratcheted
up	up	up
,	,	,
South	south	South
Koreans	korean	Koreans
are	are	are
buying	buy	buying
more	more	more
ready	readi	ready
-to-eat	-to-eat	-to-eat
meals	meal	meal
for	for	for
emergency	emerg	emergency
use	use	use
,	,	,
and	and	and
the	the	the
government	govern	government
aims	aim	aim
to	to	to
expand	expand	expand
nationwide	nationwid	nationwide
civil	civil	civil
defense	defens	defense
drills	drill	drill
planned	plan	planned
for	for	for
Aug	aug	Aug
.	.	.

23	23	23
.	.	.

Hundreds	hundr	Hundreds
of	of	of
thousands	thousand	thousand
of	of	of
troops	troop	troop
and	and	and
huge	huge	huge
arsenals	arsenal	arsenal
are	are	are
arrayed	array	arrayed
on	on	on
both	both	both
sides	side	side
of	of	of
the	the	the
tense	tens	tense
demilitarized	demilitar	demilitarized
zone	zone	zone
between	between	between
the	the	the
two	two	two
Koreas	korea	Koreas
.	.	.

