RAMALLAH	ramallah	RAMALLAH
be	be	be
waived	waiv	waived
after	after	after
90	90	90
days	day	day
if	if	if
U	u	U
.	.	.
S	s	S
.	.	.
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
determines	determin	determines
the	the	the
Palestinians	palestinian	Palestinians
have	have	have
entered	enter	entered
into	into	into
direct	direct	direct
,	,	,
meaningful	meaning	meaningful
negotiations	negoti	negotiation
with	with	with
Israel	israel	Israel
.	.	.
We	we	We
are	are	are
hopeful	hope	hopeful
that	that	that
this	this	this
closure	closur	closure
will	will	will
be	be	be
short	short	short
-lived	-live	-lived
,	,	,
said	said	said
the	the	the
official	offici	official
,	,	,
who	who	who
spoke	spoke	spoke
on	on	on
condition	condit	condition
of	of	of
anonymity	anonym	anonymity
.	.	.
According	accord	According
to	to	to
the	the	the
official	offici	official
Palestinian	palestinian	Palestinian
news	news	news
agency	agenc	agency
WAFA	wafa	WAFA
,	,	,
the	the	the
Palestinian	palestinian	Palestinian
presidency	presid	presidency
expressed	express	expressed
surprise	surpris	surprise
at	at	at
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
move	move	move
,	,	,
which	which	which
was	was	wa
first	first	first
reported	report	reported
by	by	by
the	the	the
Associated	associ	Associated
Press	press	Press
.	.	.
WAFA	wafa	WAFA
quoted	quot	quoted
Palestinian	palestinian	Palestinian
Foreign	foreign	Foreign
Minister	minist	Minister
Riyad	riyad	Riyad
Al	al	Al
-Maliki	-maliki	-Maliki
as	as	a
saying	say	saying
that	that	that
Palestinian	palestinian	Palestinian
leaders	leader	leader
would	would	would
not	not	not
give	give	give
in	in	in
to	to	to
blackmail	blackmail	blackmail
or	or	or
pressure	pressur	pressure
regarding	regard	regarding
the	the	the
operation	oper	operation
of	of	of
the	the	the
PLO	plo	PLO
office	offic	office
or	or	or
negotiations	negoti	negotiation
on	on	on
an	an	an
Israeli	isra	Israeli
-Palestinian	-palestinian	-Palestinian
peace	peac	peace
agreement	agreement	agreement
.	.	.
The	the	The
agency	agenc	agency
quoted	quot	quoted
a	a	a
spokesman	spokesman	spokesman
for	for	for
Abbas	abba	Abbas
,	,	,
Nabil	nabil	Nabil
Abu	abu	Abu
Rdainah	rdainah	Rdainah
,	,	,
expressing	express	expressing
surprise	surpris	surprise
,	,	,
given	given	given
that	that	that
meetings	meet	meeting
between	between	between
Abbas	abba	Abbas
and	and	and
Trump	trump	Trump
had	had	had
been	been	been
characterized	character	characterized
by	by	by
full	full	full
understanding	understand	understanding
of	of	of
the	the	the
steps	step	step
needed	need	needed
to	to	to
create	creat	create
a	a	a
climate	climat	climate
for	for	for
resumption	resumpt	resumption
of	of	of
the	the	the
peace	peac	peace
process	process	process
.	.	.
A	a	A
Palestinian	palestinian	Palestinian
official	offici	official
who	who	who
spoke	spoke	spoke
on	on	on
condition	condit	condition
of	of	of
anonymity	anonym	anonymity
told	told	told
Reuters	reuter	Reuters
the	the	the
State	state	State
Department	depart	Department
had	had	had
informed	inform	informed
the	the	the
Palestinians	palestinian	Palestinians
of	of	of
the	the	the
decision	decis	decision
on	on	on
Wednesday	wednesday	Wednesday
.	.	.
It	it	It
was	was	wa
not	not	not
immediately	immedi	immediately
clear	clear	clear
what	what	what
effect	effect	effect
the	the	the
State	state	State
Department	depart	Department
s	s	s
move	move	move
might	might	might
have	have	have
on	on	on
the	the	the
Trump	trump	Trump
administration	administr	administration
s	s	s
efforts	effort	effort
to	to	to
revive	reviv	revive
peace	peac	peace
talks	talk	talk
between	between	between
Israel	israel	Israel
and	and	and
the	the	the
Palestinians	palestinian	Palestinians
,	,	,
which	which	which
are	are	are
led	led	led
by	by	by
Jared	jare	Jared
Kushner	kushner	Kushner
,	,	,
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
president	presid	president
s	s	s
son	son	son
-in-law	-in-law	-in-law
and	and	and
senior	senior	senior
adviser	advis	adviser
.	.	.
Abbas	abba	Abbas
spokesman	spokesman	spokesman
called	call	called
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
move	move	move
an	an	an
unprecedented	unpreced	unprecedented
step	step	step
in	in	in
U	u	U
.	.	.
S	s	S
.	.	.
-Palestinian	-palestinian	-Palestinian
relations	relat	relation
that	that	that
would	would	would
have	have	have
serious	serious	serious
consequences	consequ	consequence
for	for	for
the	the	the
peace	peac	peace
process	process	process
and	and	and
U	u	U
.	.	.
S	s	S
.	.	.
-Arab	-arab	-Arab
relations	relat	relation
,	,	,
according	accord	according
to	to	to
WAFA	wafa	WAFA
.	.	.
Israeli	isra	Israeli
Prime	prime	Prime
Minister	minist	Minister
Benjamin	benjamin	Benjamin
Netanyahu	netanyahu	Netanyahu
said	said	said
in	in	in
a	a	a
statement	statement	statement
on	on	on
Saturday	saturday	Saturday
This	this	This
is	is	is
a	a	a
matter	matter	matter
of	of	of
U	u	U
.	.	.
S	s	S
.	.	.
law	law	law
.	.	.
We	we	We
respect	respect	respect
the	the	the
decision	decis	decision
and	and	and
look	look	look
forward	forward	forward
to	to	to
continuing	continu	continuing
to	to	to
work	work	work
with	with	with
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
to	to	to
advance	advanc	advance
peace	peac	peace
and	and	and
security	secur	security
in	in	in
the	the	the
region	region	region
.	.	.
The	the	The
State	state	State
Department	depart	Department
official	offici	official
said	said	said
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
move	move	move
did	did	did
not	not	not
amount	amount	amount
to	to	to
cutting	cut	cutting
off	off	off
relations	relat	relation
with	with	with
the	the	the
PLO	plo	PLO
or	or	or
signal	signal	signal
an	an	an
intention	intent	intention
to	to	to
stop	stop	stop
working	work	working
with	with	with
the	the	the
Palestinian	palestinian	Palestinian
Authority	author	Authority
.	.	.
We	we	We
remain	remain	remain
focused	focus	focused
on	on	on
a	a	a
comprehensive	comprehens	comprehensive
peace	peac	peace
agreement	agreement	agreement
between	between	between
the	the	the
Israelis	isra	Israelis
and	and	and
the	the	the
Palestinians	palestinian	Palestinians
that	that	that
will	will	will
resolve	resolv	resolve
core	core	core
issues	issu	issue
between	between	between
the	the	the
parties	parti	party
,	,	,
the	the	the
official	offici	official
said	said	said
.	.	.
