ADU	adu	ADU
that	that	that
front	front	front
,	,	,
he	he	he
said	said	said
.	.	.
The	the	The
world	world	world
s	s	s
top	top	top
oil	oil	oil
exporter	export	exporter
says	say	say
it	it	it
wants	want	want
nuclear	nuclear	nuclear
power	power	power
to	to	to
diversify	diversifi	diversify
its	it	it
energy	energi	energy
supply	suppli	supply
mix	mix	mix
,	,	,
enabling	enabl	enabling
it	it	it
to	to	to
export	export	export
more	more	more
crude	crude	crude
rather	rather	rather
than	than	than
burning	burn	burning
it	it	it
to	to	to
generate	generat	generate
electricity	electr	electricity
.	.	.
Riyadh	riyadh	Riyadh
sent	sent	sent
a	a	a
request	request	request
for	for	for
information	inform	information
to	to	to
nuclear	nuclear	nuclear
reactor	reactor	reactor
suppliers	supplier	supplier
in	in	in
October	octob	October
in	in	in
a	a	a
first	first	first
step	step	step
towards	toward	towards
opening	open	opening
a	a	a
multi	multi	multi
-billion-dollar	-billion-dollar	-billion-dollar
tender	tender	tender
competition	competit	competition
for	for	for
two	two	two
nuclear	nuclear	nuclear
power	power	power
plants	plant	plant
,	,	,
and	and	and
plans	plan	plan
to	to	to
award	award	award
the	the	the
first	first	first
construction	construct	construction
contract	contract	contract
in	in	in
2018	2018	2018
.	.	.
Riyadh	riyadh	Riyadh
s	s	s
main	main	main
reason	reason	reason
for	for	for
leaving	leav	leaving
the	the	the
door	door	door
open	open	open
to	to	to
enrichment	enrich	enrichment
in	in	in
the	the	the
future	futur	future
may	may	may
be	be	be
political	polit	political
-	-	-
to	to	to
ensure	ensur	ensure
the	the	the
Sunni	sunni	Sunni
Muslim	muslim	Muslim
kingdom	kingdom	kingdom
has	has	ha
the	the	the
same	same	same
potential	potenti	potential
to	to	to
enrich	enrich	enrich
uranium	uranium	uranium
as	as	a
Shi	shi	Shi
ite	ite	ite
Muslim	muslim	Muslim
Iran	iran	Iran
,	,	,
industry	industri	industry
sources	sourc	source
and	and	and
analysts	analyst	analyst
say	say	say
.	.	.
