WINSTON	winston	WINSTON
legislators	legisl	legislator
to	to	to
biennial	biennial	biennial
terms	term	term
,	,	,
they	they	they
said	said	said
.	.	.
Last	last	Last
year	year	year
,	,	,
the	the	the
Southern	southern	Southern
Coalition	coalit	Coalition
for	for	for
Social	social	Social
Justice	justic	Justice
challenged	challeng	challenged
North	north	North
Carolina	carolina	Carolina
s	s	s
latest	latest	latest
political	polit	political
maps	map	map
,	,	,
saying	say	saying
legislative	legisl	legislative
district	district	district
lines	line	line
were	were	were
drawn	drawn	drawn
in	in	in
2011	2011	2011
so	so	so
as	as	a
to	to	to
dilute	dilut	dilute
the	the	the
state	state	state
s	s	s
black	black	black
vote	vote	vote
and	and	and
give	give	give
Republicans	republican	Republicans
an	an	an
advantage	advantag	advantage
.	.	.
The	the	The
three	three	three
-judge	-judg	-judge
panel	panel	panel
that	that	that
heard	heard	heard
the	the	the
case	case	case
agreed	agre	agreed
,	,	,
and	and	and
Tuesday	tuesday	Tuesday
s	s	s
order	order	order
,	,	,
essentially	essenti	essentially
an	an	an
extension	extens	extension
of	of	of
its	it	it
August	august	August
opinion	opinion	opinion
,	,	,
was	was	wa
hailed	hail	hailed
by	by	by
the	the	the
North	north	North
Carolina	carolina	Carolina
Democratic	democrat	Democratic
Party	parti	Party
.	.	.
A	a	A
separate	separ	separate
three	three	three
-judge	-judg	-judge
U	u	U
.	.	.
S	s	S
.	.	.
court	court	court
panel	panel	panel
ruled	rule	ruled
in	in	in
a	a	a
similar	similar	similar
case	case	case
a	a	a
week	week	week
ago	ago	ago
that	that	that
state	state	state
assembly	assembl	assembly
districts	district	district
in	in	in
Wisconsin	wisconsin	Wisconsin
,	,	,
as	as	a
redrawn	redrawn	redrawn
by	by	by
its	it	it
Republican	republican	Republican
-led	-led	-led
legislature	legislatur	legislature
,	,	,
were	were	were
unconstitutionally	unconstitut	unconstitutionally
gerrymandered	gerrymand	gerrymandered
.	.	.
Tuesday	tuesday	Tuesday
s	s	s
North	north	North
Carolina	carolina	Carolina
ruling	rule	ruling
sets	set	set
a	a	a
deadline	deadlin	deadline
of	of	of
March	march	March
15	15	15
for	for	for
newly	newli	newly
elected	elect	elected
legislators	legisl	legislator
to	to	to
approve	approv	approve
a	a	a
redistricting	redistrict	redistricting
plan	plan	plan
that	that	that
passes	pass	pass
constitutional	constitut	constitutional
muster	muster	muster
.	.	.
It	it	It
also	also	also
requires	requir	requires
the	the	the
state	state	state
to	to	to
hold	hold	hold
special	special	special
primary	primari	primary
and	and	and
general	general	general
elections	elect	election
in	in	in
the	the	the
late	late	late
summer	summer	summer
and	and	and
fall	fall	fall
of	of	of
2017	2017	2017
to	to	to
fill	fill	fill
those	those	those
28	28	28
House	hous	House
and	and	and
Senate	senat	Senate
seats	seat	seat
.	.	.
Moreover	moreov	Moreover
,	,	,
state	state	state
lawmakers	lawmak	lawmaker
elected	elect	elected
to	to	to
any	ani	any
of	of	of
the	the	the
disputed	disput	disputed
General	general	General
Assembly	assembl	Assembly
seats	seat	seat
in	in	in
2016	2016	2016
will	will	will
serve	serv	serve
for	for	for
just	just	just
one	one	one
year	year	year
,	,	,
instead	instead	instead
of	of	of
the	the	the
normal	normal	normal
two	two	two
,	,	,
the	the	the
court	court	court
ruled	rule	ruled
,	,	,
a	a	a
limit	limit	limit
set	set	set
for	for	for
those	those	those
elected	elect	elected
next	next	next
fall	fall	fall
as	as	a
well	well	well
.	.	.
