STRASBOURG	strasbourg	STRASBOURG
creating	creat	creating
a	a	a
combined	combin	combined
European	european	European
finance	financ	finance
and	and	and
economy	economi	economy
minister	minist	minister
.	.	.

We	we	We
need	need	need
a	a	a
European	european	European
minister	minist	minister
of	of	of
economy	economi	economy
and	and	and
finance	financ	finance
a	a	a
European	european	European
minister	minist	minister
that	that	that
promotes	promot	promotes
and	and	and
supports	support	support
structural	structur	structural
reforms	reform	reform
in	in	in
our	our	our
member	member	member
states	state	state
,	,	,
Juncker	juncker	Juncker
said	said	said
.	.	.

The	the	The
new	new	new
minister	minist	minister
should	should	should
coordinate	coordin	coordinate
all	all	all
EU	eu	EU
financial	financi	financial
instruments	instrument	instrument
that	that	that
can	can	can
be	be	be
deployed	deploy	deployed
when	when	when
a	a	a
member	member	member
state	state	state
is	is	is
in	in	in
a	a	a
recession	recess	recession
or	or	or
hit	hit	hit
by	by	by
a	a	a
fundamental	fundament	fundamental
crisis	crisi	crisis
.	.	.

He	he	He
said	said	said
that	that	that
instead	instead	instead
of	of	of
creating	creat	creating
a	a	a
new	new	new
post	post	post
,	,	,
the	the	the
job	job	job
should	should	should
be	be	be
given	given	given
to	to	to
a	a	a
vice	vice	vice
president	presid	president
of	of	of
the	the	the
European	european	European
Commission	commiss	Commission
a	a	a
suggestion	suggest	suggestion
that	that	that
is	is	is
bound	bound	bound
to	to	to
meet	meet	meet
with	with	with
vehement	vehement	vehement
resistance	resist	resistance
from	from	from
euro	euro	euro
zone	zone	zone
governments	govern	government
,	,	,
especially	especi	especially
Berlin	berlin	Berlin
.	.	.

His	his	His
comments	comment	comment
are	are	are
part	part	part
of	of	of
the	the	the
debate	debat	debate
on	on	on
the	the	the
future	futur	future
shape	shape	shape
of	of	of
the	the	the
19	19	19
-country	-countri	-country
euro	euro	euro
zone	zone	zone
,	,	,
which	which	which
Juncker	juncker	Juncker
said	said	said
should	should	should
expand	expand	expand
to	to	to
take	take	take
in	in	in
all	all	all
the	the	the
other	other	other
EU	eu	EU
members	member	member
that	that	that
are	are	are
not	not	not
yet	yet	yet
part	part	part
of	of	of
it	it	it
and	and	and
do	do	do
not	not	not
have	have	have
a	a	a
formal	formal	formal
option	option	option
to	to	to
opt	opt	opt
out	out	out
of	of	of
using	use	using
the	the	the
euro	euro	euro
.	.	.

Member	member	Member
states	state	state
that	that	that
want	want	want
to	to	to
join	join	join
the	the	the
euro	euro	euro
must	must	must
be	be	be
able	abl	able
to	to	to
do	do	do
so	so	so
.	.	.

This	this	This
is	is	is
why	whi	why
I	i	I
am	am	am
proposing	propos	proposing
to	to	to
create	creat	create
a	a	a
Euro	euro	Euro
-accession	-access	-accession
instrument	instrument	instrument
,	,	,
offering	offer	offering
technical	technic	technical
and	and	and
even	even	even
financial	financi	financial
assistance	assist	assistance
,	,	,
Juncker	juncker	Juncker
said	said	said
,	,	,
without	without	without
giving	give	giving
details	detail	detail
.	.	.

He	he	He
said	said	said
that	that	that
by	by	by
the	the	the
time	time	time
Britain	britain	Britain
leaves	leav	leaf
the	the	the
EU	eu	EU
in	in	in
March	march	March
2019	2019	2019
,	,	,
euro	euro	euro
zone	zone	zone
membership	membership	membership
and	and	and
participation	particip	participation
in	in	in
the	the	the
EU	eu	EU
s	s	s
banking	bank	banking
union	union	union
-	-	-
which	which	which
entails	entail	entail
a	a	a
single	singl	single
EU	eu	EU
supervisor	supervisor	supervisor
,	,	,
resolution	resolut	resolution
authority	author	authority
and	and	and
deposit	deposit	deposit
guarantee	guarante	guarantee
scheme	scheme	scheme
-	-	-
should	should	should
be	be	be
the	the	the
norm	norm	norm
for	for	for
all	all	all
EU	eu	EU
members	member	member
.	.	.

But	but	But
even	even	even
though	though	though
all	all	all
non	non	non
-euro	-euro	-euro
zone	zone	zone
countries	countri	country
of	of	of
the	the	the
EU	eu	EU
except	except	except
Denmark	denmark	Denmark
are	are	are
legally	legal	legally
obliged	oblig	obliged
to	to	to
join	join	join
the	the	the
euro	euro	euro
when	when	when
they	they	they
meet	meet	meet
a	a	a
set	set	set
of	of	of
criteria	criteria	criterion
,	,	,
some	some	some
of	of	of
the	the	the
biggest	biggest	biggest
,	,	,
like	like	like
Sweden	sweden	Sweden
and	and	and
Poland	poland	Poland
,	,	,
have	have	have
no	no	no
plans	plan	plan
to	to	to
do	do	do
so	so	so
in	in	in
the	the	the
foreseeable	forese	foreseeable
future	futur	future
,	,	,
believing	believ	believing
their	their	their
own	own	own
currency	currenc	currency
gives	give	give
their	their	their
economies	economi	economy
more	more	more
flexibility	flexibl	flexibility
.	.	.

Addressing	address	Addressing
French	french	French
and	and	and
German	german	German
ideas	idea	idea
of	of	of
creating	creat	creating
a	a	a
separate	separ	separate
budget	budget	budget
for	for	for
the	the	the
euro	euro	euro
zone	zone	zone
,	,	,
on	on	on
top	top	top
of	of	of
the	the	the
existing	exist	existing
long	long	long
-term	-term	-term
EU	eu	EU
budget	budget	budget
,	,	,
and	and	and
a	a	a
separate	separ	separate
euro	euro	euro
zone	zone	zone
parliament	parliament	parliament
,	,	,
alongside	alongsid	alongside
the	the	the
existing	exist	existing
EU	eu	EU
parliament	parliament	parliament
,	,	,
Juncker	juncker	Juncker
rejected	reject	rejected
both	both	both
.	.	.

We	we	We
do	do	do
not	not	not
need	need	need
a	a	a
budget	budget	budget
for	for	for
the	the	the
euro	euro	euro
area	area	area
but	but	but
a	a	a
strong	strong	strong
euro	euro	euro
area	area	area
budget	budget	budget
line	line	line
within	within	within
the	the	the
EU	eu	EU
budget	budget	budget
.	.	.

I	i	I
am	am	am
also	also	also
not	not	not
fond	fond	fond
of	of	of
the	the	the
idea	idea	idea
of	of	of
having	have	having
a	a	a
separate	separ	separate
euro	euro	euro
area	area	area
parliament	parliament	parliament
.	.	.

The	the	The
parliament	parliament	parliament
of	of	of
the	the	the
euro	euro	euro
area	area	area
is	is	is
the	the	the
European	european	European
Parliament	parliament	Parliament
,	,	,
he	he	he
said	said	said
.	.	.

He	he	He
said	said	said
the	the	the
euro	euro	euro
zone	zone	zone
bailout	bailout	bailout
fund	fund	fund
the	the	the
European	european	European
Stability	stabil	Stability
Mechanism	mechan	Mechanism
ESM	esm	ESM
should	should	should
be	be	be
transformed	transform	transformed
into	into	into
a	a	a
European	european	European
Monetary	monetari	Monetary
Fund	fund	Fund
and	and	and
become	becom	become
an	an	an
EU	eu	EU
institution	institut	institution
,	,	,
rather	rather	rather
than	than	than
an	an	an
intergovernmental	intergovernment	intergovernmental
one	one	one
as	as	a
the	the	the
ESM	esm	ESM
is	is	is
now	now	now
.	.	.

The	the	The
future	futur	future
European	european	European
finance	financ	finance
minister	minist	minister
would	would	would
be	be	be
in	in	in
change	chang	change
of	of	of
the	the	the
new	new	new
European	european	European
Monetary	monetari	Monetary
Fund	fund	Fund
EMF	emf	EMF
as	as	a
well	well	well
,	,	,
he	he	he
said	said	said
.	.	.

He	he	He
did	did	did
not	not	not
give	give	give
more	more	more
details	detail	detail
of	of	of
the	the	the
new	new	new
tasks	task	task
the	the	the
EMF	emf	EMF
could	could	could
take	take	take
on	on	on
,	,	,
saying	say	saying
only	onli	only
the	the	the
Commission	commiss	Commission
would	would	would
make	make	make
a	a	a
proposal	propos	proposal
on	on	on
that	that	that
,	,	,
as	as	a
well	well	well
as	as	a
the	the	the
prerogatives	prerog	prerogative
of	of	of
a	a	a
European	european	European
finance	financ	finance
minister	minist	minister
,	,	,
in	in	in
December	decemb	December
.	.	.

Euro	euro	Euro
zone	zone	zone
finance	financ	finance
ministers	minist	minister
will	will	will
open	open	open
a	a	a
debate	debat	debate
on	on	on
the	the	the
future	futur	future
of	of	of
the	the	the
single	singl	single
currency	currenc	currency
area	area	area
on	on	on
Friday	friday	Friday
at	at	at
an	an	an
informal	inform	informal
meeting	meet	meeting
in	in	in
the	the	the
Estonian	estonian	Estonian
capital	capit	capital
of	of	of
Tallinn	tallinn	Tallinn
.	.	.

