SAN	san	SAN
.	.	.
We	we	We
are	are	are
confident	confid	confident
that	that	that
the	the	the
president	presid	president
s	s	s
actions	action	action
are	are	are
lawful	law	lawful
to	to	to
protect	protect	protect
the	the	the
national	nation	national
security	secur	security
of	of	of
our	our	our
country	countri	country
,	,	,
the	the	the
Justice	justic	Justice
Department	depart	Department
said	said	said
in	in	in
a	a	a
statement	statement	statement
.	.	.
In	in	In
a	a	a
joint	joint	joint
filing	file	filing
,	,	,
Hawaii	hawaii	Hawaii
and	and	and
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
government	govern	government
asked	ask	asked
for	for	for
oral	oral	oral
arguments	argument	argument
in	in	in
the	the	the
case	case	case
to	to	to
be	be	be
held	held	held
March	march	March
15	15	15
,	,	,
a	a	a
day	day	day
before	befor	before
the	the	the
new	new	new
travel	travel	travel
order	order	order
is	is	is
set	set	set
to	to	to
take	take	take
effect	effect	effect
.	.	.
Separately	separ	Separately
,	,	,
in	in	in
a	a	a
case	case	case
brought	brought	brought
by	by	by
Washington	washington	Washington
state	state	state
against	against	against
the	the	the
first	first	first
Trump	trump	Trump
travel	travel	travel
order	order	order
,	,	,
the	the	the
Justice	justic	Justice
Department	depart	Department
on	on	on
Tuesday	tuesday	Tuesday
said	said	said
it	it	it
would	would	would
voluntarily	voluntarili	voluntarily
dismiss	dismiss	dismiss
its	it	it
own	own	own
appeal	appeal	appeal
of	of	of
a	a	a
Seattle	seattl	Seattle
federal	feder	federal
court	court	court
ruling	rule	ruling
that	that	that
had	had	had
suspended	suspend	suspended
the	the	the
order	order	order
.	.	.
Washington	washington	Washington
state	state	state
did	did	did
not	not	not
oppose	oppos	oppose
the	the	the
administration	administr	administration
s	s	s
request	request	request
to	to	to
end	end	end
its	it	it
appeal	appeal	appeal
,	,	,
the	the	the
filing	file	filing
said	said	said
.	.	.
Immigration	immigr	Immigration
advocates	advoc	advocate
said	said	said
the	the	the
new	new	new
ban	ban	ban
still	still	still
discriminates	discrimin	discriminates
against	against	against
Muslims	muslim	Muslims
and	and	and
fails	fail	fails
to	to	to
address	address	address
some	some	some
of	of	of
their	their	their
concerns	concern	concern
with	with	with
the	the	the
previous	previous	previous
directive	direct	directive
.	.	.
Legal	legal	Legal
experts	expert	expert
said	said	said
the	the	the
new	new	new
ban	ban	ban
would	would	would
be	be	be
harder	harder	harder
to	to	to
challenge	challeng	challenge
because	becaus	because
it	it	it
affects	affect	affect
fewer	fewer	fewer
people	peopl	people
living	live	living
in	in	in
the	the	the
United	unit	United
States	state	States
and	and	and
allows	allow	allows
more	more	more
exemptions	exempt	exemption
to	to	to
protect	protect	protect
them	them	them
.	.	.
Washington	washington	Washington
state	state	state
Attorney	attorney	Attorney
General	general	General
Bob	bob	Bob
Ferguson	ferguson	Ferguson
on	on	on
Monday	monday	Monday
said	said	said
his	his	his
office	offic	office
was	was	wa
evaluating	evalu	evaluating
whether	whether	whether
it	it	it
would	would	would
challenge	challeng	challenge
the	the	the
new	new	new
order	order	order
and	and	and
would	would	would
likely	like	likely
decide	decid	decide
this	this	this
week	week	week
.	.	.
The	the	The
9th	9th	9th
U	u	U
.	.	.
S	s	S
.	.	.
Circuit	circuit	Circuit
Court	court	Court
of	of	of
Appeals	appeal	Appeals
last	last	last
month	month	month
had	had	had
blocked	block	blocked
Trump	trump	Trump
s	s	s
first	first	first
order	order	order
,	,	,
saying	say	saying
Washington	washington	Washington
state	state	state
would	would	would
likely	like	likely
be	be	be
able	abl	able
to	to	to
prove	prove	prove
that	that	that
it	it	it
violated	violat	violated
constitutional	constitut	constitutional
protections	protect	protection
.	.	.
That	that	That
appeals	appeal	appeal
court	court	court
ruling	rule	ruling
has	has	ha
not	not	not
been	been	been
withdrawn	withdrawn	withdrawn
and	and	and
its	it	it
legal	legal	legal
reasoning	reason	reasoning
can	can	can
still	still	still
be	be	be
cited	cite	cited
as	as	a
precedent	preced	precedent
in	in	in
future	futur	future
cases	case	case
,	,	,
Washington	washington	Washington
attorney	attorney	attorney
general	general	general
spokesman	spokesman	spokesman
Peter	peter	Peter
Lavallee	lavalle	Lavallee
said	said	said
on	on	on
Tuesday	tuesday	Tuesday
.	.	.
