GOMA	goma	GOMA
killed	kill	killed
by	by	by
breaking	break	breaking
their	their	their
necks	neck	neck
,	,	,
Saambili	saambili	Saambili
Bamukoka	bamukoka	Bamukoka
,	,	,
chief	chief	chief
of	of	of
Beni	beni	Beni
s	s	s
Watalinga	watalinga	Watalinga
chiefdom	chiefdom	chiefdom
,	,	,
told	told	told
Reuters	reuter	Reuters
.	.	.

A	a	A
Congolese	congoles	Congolese
military	militari	military
spokesman	spokesman	spokesman
had	had	had
earlier	earlier	earlier
confirmed	confirm	confirmed
that	that	that
the	the	the
bodies	bodi	body
had	had	had
been	been	been
discovered	discov	discovered
near	near	near
the	the	the
road	road	road
,	,	,
but	but	but
did	did	did
not	not	not
know	know	know
how	how	how
many	mani	many
there	there	there
were	were	were
.	.	.

Bodies	bodi	Bodies
were	were	were
found	found	found
in	in	in
a	a	a
state	state	state
of	of	of
decomposition	decomposit	decomposition
,	,	,
said	said	said
local	local	local
army	armi	army
spokesman	spokesman	spokesman
Mak	mak	Mak
Hazukay	hazukay	Hazukay
,	,	,
adding	ad	adding
that	that	that
the	the	the
road	road	road
remained	remain	remained
closed	close	closed
to	to	to
civilian	civilian	civilian
traffic	traffic	traffic
.	.	.

We	we	We
must	must	must
first	first	first
have	have	have
the	the	the
time	time	time
to	to	to
secure	secur	secure
the	the	the
surrounding	surround	surrounding
area	area	area
.	.	.

The	the	The
day	day	day
after	after	after
the	the	the
attack	attack	attack
on	on	on
the	the	the
travelers	travel	traveler
,	,	,
militants	milit	militant
assaulted	assault	assaulted
two	two	two
nearby	nearbi	nearby
military	militari	military
bases	base	base
,	,	,
killing	kill	killing
two	two	two
U	u	U
.	.	.
N	n	N
.	.	.
peacekeepers	peacekeep	peacekeeper
and	and	and
injuring	injur	injuring
18	18	18
others	other	others
.	.	.

The	the	The
army	armi	army
and	and	and
U	u	U
.	.	.
N	n	N
.	.	.
peacekeeping	peacekeep	peacekeeping
mission	mission	mission
blamed	blame	blamed
the	the	the
raids	raid	raid
on	on	on
the	the	the
Allied	alli	Allied
Democratic	democrat	Democratic
Forces	forc	Forces
ADF	adf	ADF
,	,	,
a	a	a
Ugandan	ugandan	Ugandan
Islamist	islamist	Islamist
group	group	group
active	activ	active
near	near	near
the	the	the
border	border	border
.	.	.

Authorities	author	Authorities
have	have	have
also	also	also
accused	accus	accused
the	the	the
ADF	adf	ADF
of	of	of
carrying	carri	carrying
out	out	out
nearly	near	nearly
all	all	all
the	the	the
massacres	massacr	massacre
of	of	of
the	the	the
past	past	past
three	three	three
years	year	year
.	.	.

But	but	But
independent	independ	independent
and	and	and
separate	separ	separate
U	u	U
.	.	.
N	n	N
.	.	.
experts	expert	expert
say	say	say
several	sever	several
armed	arm	armed
groups	group	group
as	as	a
well	well	well
as	as	a
national	nation	national
army	armi	army
commanders	command	commander
have	have	have
been	been	been
involved	involv	involved
in	in	in
the	the	the
killings	kill	killing
as	as	a
they	they	they
vie	vie	vie
for	for	for
influence	influenc	influence
in	in	in
Congo	congo	Congo
s	s	s
lawless	lawless	lawless
eastern	eastern	eastern
borderlands	borderland	borderland
.	.	.

Millions	million	Millions
died	die	died
in	in	in
regional	region	regional
wars	war	war
that	that	that
ravaged	ravag	ravaged
eastern	eastern	eastern
Congo	congo	Congo
between	between	between
1996	1996	1996
-2003	-2003	-2003
and	and	and
spawned	spawn	spawned
dozens	dozen	dozen
of	of	of
armed	arm	armed
groups	group	group
that	that	that
continue	continu	continue
to	to	to
prey	prey	prey
on	on	on
local	local	local
populations	popul	population
.	.	.

