ERBIL	erbil	ERBIL
and	and	and
any	ani	any
military	militari	military
move	move	move
will	will	will
be	be	be
in	in	in
coordination	coordin	coordination
with	with	with
Baghdad	baghdad	Baghdad
and	and	and
our	our	our
allies	alli	ally
,	,	,
a	a	a
senior	senior	senior
Iranian	iranian	Iranian
official	offici	official
told	told	told
Reuters	reuter	Reuters
on	on	on
condition	condit	condition
of	of	of
anonymity	anonym	anonymity
.	.	.
Iran	iran	Iran
has	has	ha
vowed	vow	vowed
to	to	to
stand	stand	stand
alongside	alongsid	alongside
Baghdad	baghdad	Baghdad
in	in	in
the	the	the
fallout	fallout	fallout
following	follow	following
the	the	the
referendum	referendum	referendum
.	.	.
Allowing	allow	Allowing
Iraq	iraq	Iraq
to	to	to
seize	seiz	seize
border	border	border
posts	post	post
from	from	from
Kurdish	kurdish	Kurdish
control	control	control
would	would	would
further	further	further
cement	cement	cement
Iran	iran	Iran
s	s	s
stance	stanc	stance
to	to	to
renounce	renounc	renounce
dealings	deal	dealing
with	with	with
the	the	the
Kurdistan	kurdistan	Kurdistan
region	region	region
in	in	in
favor	favor	favor
of	of	of
the	the	the
central	central	central
government	govern	government
in	in	in
Baghdad	baghdad	Baghdad
.	.	.
Backed	back	Backed
by	by	by
Ankara	ankara	Ankara
and	and	and
Tehran	tehran	Tehran
,	,	,
the	the	the
Iraqi	iraqi	Iraqi
government	govern	government
has	has	ha
demanded	demand	demanded
that	that	that
the	the	the
Kurdish	kurdish	Kurdish
leadership	leadership	leadership
cancel	cancel	cancel
the	the	the
result	result	result
of	of	of
the	the	the
referendum	referendum	referendum
or	or	or
face	face	face
the	the	the
prospect	prospect	prospect
of	of	of
sanctions	sanction	sanction
,	,	,
international	intern	international
isolation	isol	isolation
and	and	and
possibly	possibl	possibly
a	a	a
military	militari	military
intervention	intervent	intervention
.	.	.
A	a	A
small	small	small
Iraqi	iraqi	Iraqi
force	forc	force
is	is	is
also	also	also
deployed	deploy	deployed
on	on	on
the	the	the
Turkish	turkish	Turkish
side	side	side
of	of	of
the	the	the
border	border	border
as	as	a
part	part	part
of	of	of
joint	joint	joint
drills	drill	drill
with	with	with
the	the	the
Turkish	turkish	Turkish
army	armi	army
.	.	.
Iran	iran	Iran
s	s	s
military	militari	military
chief	chief	chief
,	,	,
General	general	General
Mohammad	mohammad	Mohammad
Baqeri	baqeri	Baqeri
,	,	,
met	met	met
Turkish	turkish	Turkish
Chief	chief	Chief
of	of	of
Staff	staff	Staff
Hulusi	hulusi	Hulusi
Akar	akar	Akar
in	in	in
Tehran	tehran	Tehran
on	on	on
Monday	monday	Monday
.	.	.
Iran	iran	Iran
and	and	and
Turkey	turkey	Turkey
share	share	share
the	the	the
same	same	same
stance	stanc	stance
on	on	on
the	the	the
referendum	referendum	referendum
in	in	in
Iraqi	iraqi	Iraqi
Kurdistan	kurdistan	Kurdistan
and	and	and
both	both	both
insist	insist	insist
on	on	on
the	the	the
sovereignty	sovereignti	sovereignty
of	of	of
Iraq	iraq	Iraq
,	,	,
Baqeri	baqeri	Baqeri
was	was	wa
quoted	quot	quoted
as	as	a
saying	say	saying
by	by	by
state	state	state
news	news	news
agency	agenc	agency
IRNA	irna	IRNA
after	after	after
his	his	his
meeting	meet	meeting
with	with	with
Akar	akar	Akar
.	.	.
The	the	The
armed	arm	armed
forces	forc	force
of	of	of
both	both	both
countries	countri	country
will	will	will
increase	increas	increase
cooperation	cooper	cooperation
in	in	in
training	train	training
and	and	and
war	war	war
games	game	game
,	,	,
he	he	he
was	was	wa
quoted	quot	quoted
as	as	a
saying	say	saying
by	by	by
Tasnim	tasnim	Tasnim
news	news	news
agency	agenc	agency
.	.	.
