LOUISVILLE	louisvill	LOUISVILLE
Republican	republican	Republican
Party	parti	Party
.	.	.
Rowan	rowan	Rowan
County	counti	County
Democratic	democrat	Democratic
party	parti	party
officials	offici	official
could	could	could
not	not	not
be	be	be
reached	reach	reached
for	for	for
comment	comment	comment
.	.	.
Prior	prior	Prior
to	to	to
her	her	her
election	elect	election
,	,	,
Davis	davi	Davis
served	serv	served
as	as	a
a	a	a
deputy	deputi	deputy
to	to	to
her	her	her
mother	mother	mother
,	,	,
Jean	jean	Jean
Bailey	bailey	Bailey
,	,	,
who	who	who
served	serv	served
as	as	a
the	the	the
county	counti	county
clerk	clerk	clerk
for	for	for
nearly	near	nearly
four	four	four
decades	decad	decade
.	.	.
After	after	After
her	her	her
case	case	case
,	,	,
Kentucky	kentucki	Kentucky
lawmakers	lawmak	lawmaker
removed	remov	removed
all	all	all
county	counti	county
clerks	clerk	clerk
names	name	name
from	from	from
the	the	the
state	state	state
marriage	marriag	marriage
license	licens	license
form	form	form
.	.	.
A	a	A
federal	feder	federal
judge	judg	judge
later	later	later
ruled	rule	ruled
that	that	that
while	while	while
the	the	the
new	new	new
law	law	law
made	made	made
the	the	the
suits	suit	suit
against	against	against
her	her	her
moot	moot	moot
,	,	,
the	the	the
couples	coupl	couple
attorneys	attorney	attorney
were	were	were
still	still	still
entitled	entitl	entitled
to	to	to
legal	legal	legal
fees	fee	fee
.	.	.
The	the	The
earliest	earliest	earliest
Davis	davi	Davis
will	will	will
be	be	be
able	abl	able
to	to	to
file	file	file
for	for	for
re	re	re
-election	-elect	-election
is	is	is
Wednesday	wednesday	Wednesday
,	,	,
according	accord	according
to	to	to
the	the	the
Kentucky	kentucki	Kentucky
Secretary	secretari	Secretary
of	of	of
State	state	State
s	s	s
office	offic	office
.	.	.
