CLARK	clark	CLARK
grown	grown	grown
to	to	to
the	the	the
unprecedented	unpreced	unprecedented
,	,	,
critical	critic	critical
and	and	and
imminent	immin	imminent
level	level	level
.	.	.

Therefore	therefor	Therefore
,	,	,
we	we	we
have	have	have
to	to	to
take	take	take
calibrated	calibr	calibrated
and	and	and
different	differ	different
responses	respons	response
to	to	to
meet	meet	meet
with	with	with
that	that	that
level	level	level
of	of	of
threat	threat	threat
,	,	,
he	he	he
said	said	said
,	,	,
speaking	speak	speaking
through	through	through
a	a	a
translator	translat	translator
,	,	,
at	at	at
the	the	the
start	start	start
of	of	of
talks	talk	talk
in	in	in
the	the	the
Philippines	philippin	Philippines
.	.	.

South	south	South
Korea	korea	Korea
s	s	s
Song	song	Song
also	also	also
acknowledged	acknowledg	acknowledged
that	that	that
North	north	North
Korea	korea	Korea
s	s	s
provocative	provoc	provocative
behavior	behavior	behavior
is	is	is
becoming	becom	becoming
worse	wors	worse
and	and	and
worse	wors	worse
,	,	,
in	in	in
public	public	public
remarks	remark	remark
before	befor	before
reporters	report	reporter
were	were	were
escorted	escort	escorted
out	out	out
of	of	of
the	the	the
meeting	meet	meeting
room	room	room
.	.	.

Mattis	matti	Mattis
renewed	renew	renewed
sharp	sharp	sharp
criticism	critic	criticism
of	of	of
North	north	North
Korea	korea	Korea
s	s	s
tests	test	test
,	,	,
saying	say	saying
they	they	they
threaten	threaten	threaten
regional	region	regional
and	and	and
global	global	global
security	secur	security
.	.	.

Mattis	matti	Mattis
,	,	,
who	who	who
kicked	kick	kicked
off	off	off
a	a	a
week	week	week
-long	-long	-long
trip	trip	trip
to	to	to
the	the	the
region	region	region
on	on	on
Monday	monday	Monday
,	,	,
has	has	ha
been	been	been
eager	eager	eager
to	to	to
emphasize	emphas	emphasize
diplomatic	diplomat	diplomatic
efforts	effort	effort
to	to	to
resolve	resolv	resolve
the	the	the
crisis	crisi	crisis
peacefully	peac	peacefully
as	as	a
escalating	escal	escalating
tension	tension	tension
between	between	between
Washington	washington	Washington
and	and	and
Pyongyang	pyongyang	Pyongyang
stoked	stoke	stoked
fears	fear	fear
of	of	of
armed	arm	armed
confrontation	confront	confrontation
.	.	.

Asked	ask	Asked
about	about	about
his	his	his
conversation	convers	conversation
with	with	with
Onodera	onodera	Onodera
after	after	after
the	the	the
two	two	two
met	met	met
earlier	earlier	earlier
in	in	in
the	the	the
day	day	day
,	,	,
before	befor	before
joining	join	joining
South	south	South
Korea	korea	Korea
s	s	s
Song	song	Song
,	,	,
Mattis	matti	Mattis
said	said	said
they	they	they
discussed	discuss	discussed
maintaining	maintain	maintaining
stability	stabil	stability
and	and	and
peace	peac	peace
in	in	in
support	support	support
of	of	of
the	the	the
diplomats	diplomat	diplomat
.	.	.

Meanwhile	meanwhil	Meanwhile
,	,	,
former	former	former
U	u	U
.	.	.
S	s	S
.	.	.
President	presid	President
Jimmy	jimmi	Jimmy
Carter	carter	Carter
said	said	said
he	he	he
is	is	is
willing	will	willing
to	to	to
travel	travel	travel
to	to	to
North	north	North
Korea	korea	Korea
on	on	on
behalf	behalf	behalf
of	of	of
the	the	the
Trump	trump	Trump
administration	administr	administration
to	to	to
help	help	help
diffuse	diffus	diffuse
the	the	the
situation	situat	situation
,	,	,
the	the	the
New	new	New
York	york	York
Times	time	Times
reported	report	reported
.	.	.

Mattis	matti	Mattis
has	has	ha
been	been	been
more	more	more
cautious	cautious	cautious
in	in	in
his	his	his
public	public	public
remarks	remark	remark
than	than	than
U	u	U
.	.	.
S	s	S
.	.	.
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
,	,	,
who	who	who
has	has	ha
been	been	been
locked	lock	locked
in	in	in
a	a	a
war	war	war
of	of	of
words	word	word
with	with	with
North	north	North
Korean	korean	Korean
leader	leader	leader
Kim	kim	Kim
Jong	jong	Jong
Un	un	Un
,	,	,
threatening	threaten	threatening
to	to	to
destroy	destroy	destroy
North	north	North
Korea	korea	Korea
if	if	if
necessary	necessari	necessary
to	to	to
defend	defend	defend
the	the	the
United	unit	United
States	state	States
and	and	and
its	it	it
allies	alli	ally
.	.	.

Kim	kim	Kim
has	has	ha
blasted	blast	blasted
Trump	trump	Trump
as	as	a
mentally	mental	mentally
deranged	derang	deranged
.	.	.

Mattis	matti	Mattis
is	is	is
at	at	at
the	the	the
start	start	start
of	of	of
a	a	a
week	week	week
-long	-long	-long
trip	trip	trip
to	to	to
Asia	asia	Asia
and	and	and
will	will	will
attend	attend	attend
meetings	meet	meeting
hosted	host	hosted
by	by	by
defense	defens	defense
ministers	minist	minister
from	from	from
the	the	the
Association	associ	Association
of	of	of
Southeast	southeast	Southeast
Asian	asian	Asian
Nations	nation	Nations
ASEAN	asean	ASEAN
in	in	in
the	the	the
Philippines	philippin	Philippines
.	.	.

ASEAN	asean	ASEAN
defense	defens	defense
ministers	minist	minister
,	,	,
in	in	in
a	a	a
joint	joint	joint
statement	statement	statement
,	,	,
expressed	express	expressed
grave	grave	grave
concern	concern	concern
over	over	over
North	north	North
Korea	korea	Korea
s	s	s
nuclear	nuclear	nuclear
and	and	and
missile	missil	missile
programs	program	program
and	and	and
urged	urg	urged
the	the	the
reclusive	reclus	reclusive
country	countri	country
to	to	to
meet	meet	meet
its	it	it
international	intern	international
obligations	oblig	obligation
and	and	and
resume	resum	resume
communications	communic	communication
.	.	.

They	they	They
underscored	underscor	underscored
the	the	the
need	need	need
to	to	to
maintain	maintain	maintain
peace	peac	peace
and	and	and
stability	stabil	stability
in	in	in
the	the	the
region	region	region
and	and	and
called	call	called
for	for	for
the	the	the
exercise	exercis	exercise
of	of	of
self	self	self
-restraint	-restraint	-restraint
and	and	and
the	the	the
resumption	resumpt	resumption
of	of	of
dialogue	dialogu	dialogue
to	to	to
de	de	de
-escalate	-escal	-escalate
tensions	tension	tension
in	in	in
the	the	the
Korean	korean	Korean
peninsula	peninsula	peninsula
.	.	.

Mattis	matti	Mattis
trip	trip	trip
,	,	,
which	which	which
will	will	will
include	includ	include
a	a	a
stop	stop	stop
in	in	in
Thailand	thailand	Thailand
,	,	,
comes	come	come
before	befor	before
Trump	trump	Trump
s	s	s
first	first	first
visit	visit	visit
to	to	to
Asia	asia	Asia
next	next	next
month	month	month
,	,	,
including	includ	including
a	a	a
stop	stop	stop
in	in	in
China	china	China
.	.	.

Trump	trump	Trump
has	has	ha
been	been	been
pressuring	pressur	pressuring
China	china	China
to	to	to
do	do	do
more	more	more
to	to	to
rein	rein	rein
in	in	in
North	north	North
Korea	korea	Korea
s	s	s
missile	missil	missile
and	and	and
nuclear	nuclear	nuclear
program	program	program
.	.	.

China	china	China
is	is	is
North	north	North
Korea	korea	Korea
s	s	s
neighbor	neighbor	neighbor
and	and	and
biggest	biggest	biggest
trading	trade	trading
partner	partner	partner
.	.	.

Mattis	matti	Mattis
,	,	,
while	while	while
in	in	in
the	the	the
Philippines	philippin	Philippines
,	,	,
said	said	said
he	he	he
will	will	will
commend	commend	commend
the	the	the
military	militari	military
for	for	for
defeating	defeat	defeating
insurgents	insurg	insurgent
in	in	in
Marawi	marawi	Marawi
City	citi	City
on	on	on
the	the	the
islandof	islandof	islandof
Mindanao	mindanao	Mindanao
.	.	.

The	the	The
Philippines	philippin	Philippines
said	said	said
on	on	on
Monday	monday	Monday
it	it	it
has	has	ha
ended	end	ended
five	five	five
months	month	month
of	of	of
military	militari	military
operations	oper	operation
in	in	in
Marawi	marawi	Marawi
after	after	after
a	a	a
fierce	fierc	fierce
and	and	and
unfamiliar	unfamiliar	unfamiliar
urban	urban	urban
war	war	war
that	that	that
marked	mark	marked
the	the	the
country	countri	country
s	s	s
biggest	biggest	biggest
security	secur	security
crisis	crisi	crisis
in	in	in
years	year	year
.	.	.

Some	some	Some
experts	expert	expert
see	see	see
the	the	the
Marawi	marawi	Marawi
insurgency	insurg	insurgency
as	as	a
a	a	a
prelude	prelud	prelude
to	to	to
a	a	a
more	more	more
ambitious	ambiti	ambitious
bid	bid	bid
by	by	by
Islamic	islam	Islamic
State	state	State
loyalists	loyalist	loyalist
to	to	to
exploit	exploit	exploit
Mindanao	mindanao	Mindanao
s	s	s
poverty	poverti	poverty
and	and	and
use	use	use
its	it	it
jungles	jungl	jungle
and	and	and
mountains	mountain	mountain
as	as	a
a	a	a
base	base	base
to	to	to
train	train	train
,	,	,
recruit	recruit	recruit
and	and	and
launch	launch	launch
attacks	attack	attack
in	in	in
the	the	the
region	region	region
.	.	.

It	it	It
was	was	wa
a	a	a
tough	tough	tough
fight	fight	fight
,	,	,
Mattis	matti	Mattis
told	told	told
reporters	report	reporter
on	on	on
his	his	his
flight	flight	flight
to	to	to
the	the	the
Philippines	philippin	Philippines
,	,	,
adding	ad	adding
he	he	he
thought	thought	thought
the	the	the
Philippines	philippin	Philippines
military	militari	military
had	had	had
sent	sent	sent
a	a	a
very	veri	very
necessary	necessari	necessary
message	messag	message
to	to	to
the	the	the
terrorists	terrorist	terrorist
.	.	.

On	on	On
Thursday	thursday	Thursday
,	,	,
Mattis	matti	Mattis
will	will	will
lead	lead	lead
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
delegation	deleg	delegation
inThailand	inthailand	inThailand
for	for	for
the	the	the
cremation	cremat	cremation
rites	rite	rite
for	for	for
the	the	the
late	late	late
King	king	King
Bhumibol	bhumibol	Bhumibol
Adulyadej	adulyadej	Adulyadej
.	.	.

