ABU	abu	ABU
where	where	where
wealthy	wealthi	wealthy
Saudis	saudi	Saudis
park	park	park
their	their	their
money	money	money
abroad	abroad	abroad
.	.	.
In	in	In
addition	addit	addition
to	to	to
bank	bank	bank
accounts	account	account
,	,	,
they	they	they
buy	buy	buy
luxury	luxuri	luxury
apartments	apart	apartment
and	and	and
villas	villa	villa
in	in	in
Dubai	dubai	Dubai
and	and	and
invest	invest	invest
in	in	in
the	the	the
emirate	emir	emirate
s	s	s
volatile	volatil	volatile
stock	stock	stock
market	market	market
.	.	.
Huge	huge	Huge
amounts	amount	amount
of	of	of
money	money	money
may	may	may
be	be	be
at	at	at
stake	stake	stake
.	.	.
Corruption	corrupt	Corruption
has	has	ha
over	over	over
the	the	the
years	year	year
siphoned	siphon	siphoned
off	off	off
800	800	800
billion	billion	billion
from	from	from
Saudi	saudi	Saudi
state	state	state
revenues	revenu	revenue
,	,	,
an	an	an
official	offici	official
at	at	at
the	the	the
Riyadh	riyadh	Riyadh
Chamber	chamber	Chamber
of	of	of
Commerce	commerc	Commerce
and	and	and
Industry	industri	Industry
has	has	ha
estimated	estim	estimated
;	;	;
bankers	banker	banker
believe	believ	believe
much	much	much
of	of	of
it	it	it
is	is	is
held	held	held
abroad	abroad	abroad
,	,	,
in	in	in
countries	countri	country
including	includ	including
Switzerland	switzerland	Switzerland
and	and	and
Britain	britain	Britain
.	.	.
Some	some	Some
wealthy	wealthi	wealthy
Saudi	saudi	Saudi
individuals	individu	individual
have	have	have
been	been	been
liquidating	liquid	liquidating
assets	asset	asset
within	within	within
Saudi	saudi	Saudi
Arabia	arabia	Arabia
,	,	,
the	the	the
UAE	uae	UAE
and	and	and
other	other	other
Gulf	gulf	Gulf
countries	countri	country
this	this	this
week	week	week
,	,	,
apparently	appar	apparently
in	in	in
an	an	an
effort	effort	effort
to	to	to
move	move	move
money	money	money
out	out	out
of	of	of
the	the	the
region	region	region
and	and	and
escape	escap	escape
the	the	the
crackdown	crackdown	crackdown
,	,	,
private	privat	private
bankers	banker	banker
and	and	and
fund	fund	fund
managers	manag	manager
said	said	said
.	.	.
In	in	In
Riyadh	riyadh	Riyadh
,	,	,
rich	rich	rich
individual	individu	individual
investors	investor	investor
have	have	have
been	been	been
selling	sell	selling
equities	equiti	equity
heavily	heavili	heavily
,	,	,
although	although	although
buying	buy	buying
by	by	by
state	state	state
-linked	-link	-linked
funds	fund	fund
has	has	ha
helped	help	helped
to	to	to
support	support	support
the	the	the
market	market	market
.	.	.
In	in	In
Dubai	dubai	Dubai
,	,	,
shares	share	share
in	in	in
real	real	real
estate	estat	estate
developers	develop	developer
have	have	have
sunk	sunk	sunk
as	as	a
investors	investor	investor
worry	worri	worry
about	about	about
the	the	the
impact	impact	impact
on	on	on
the	the	the
property	properti	property
market	market	market
of	of	of
a	a	a
pull	pull	pull
-out	-out	-out
by	by	by
Saudis	saudi	Saudis
.	.	.
The	the	The
UAE	uae	UAE
commercial	commerci	commercial
bankers	banker	banker
said	said	said
they	they	they
had	had	had
not	not	not
been	been	been
asked	ask	asked
to	to	to
freeze	freez	freeze
the	the	the
Saudi	saudi	Saudi
accounts	account	account
at	at	at
their	their	their
institutions	institut	institution
,	,	,
but	but	but
they	they	they
believed	believ	believed
the	the	the
central	central	central
bank	bank	bank
s	s	s
request	request	request
for	for	for
information	inform	information
might	might	might
be	be	be
a	a	a
prelude	prelud	prelude
to	to	to
such	such	such
action	action	action
.	.	.
The	the	The
risk	risk	risk
of	of	of
the	the	the
accounts	account	account
being	be	being
frozen	frozen	frozen
jeopardizes	jeopard	jeopardizes
Dubai	dubai	Dubai
s	s	s
pitch	pitch	pitch
as	as	a
a	a	a
private	privat	private
banking	bank	banking
center	center	center
,	,	,
said	said	said
a	a	a
Gulf	gulf	Gulf
-based	-base	-based
banker	banker	banker
,	,	,
adding	ad	adding
Banks	bank	Banks
in	in	in
the	the	the
UAE	uae	UAE
are	are	are
full	full	full
of	of	of
Saudi	saudi	Saudi
money	money	money
.	.	.
One	one	One
senior	senior	senior
banker	banker	banker
at	at	at
an	an	an
international	intern	international
bank	bank	bank
with	with	with
business	busi	business
in	in	in
Saudi	saudi	Saudi
Arabia	arabia	Arabia
said	said	said
his	his	his
institution	institut	institution
had	had	had
already	alreadi	already
frozen	frozen	frozen
some	some	some
accounts	account	account
,	,	,
both	both	both
inside	insid	inside
the	the	the
kingdom	kingdom	kingdom
and	and	and
outside	outsid	outside
it	it	it
,	,	,
in	in	in
response	respons	response
to	to	to
Saudi	saudi	Saudi
government	govern	government
requests	request	request
.	.	.
The	the	The
bank	bank	bank
is	is	is
conducting	conduct	conducting
its	it	it
own	own	own
investigations	investig	investigation
into	into	into
accounts	account	account
linked	link	linked
to	to	to
people	peopl	people
who	who	who
have	have	have
been	been	been
detained	detain	detained
,	,	,
the	the	the
banker	banker	banker
said	said	said
without	without	without
elaborating	elabor	elaborating
.	.	.
Another	anoth	Another
banker	banker	banker
in	in	in
the	the	the
region	region	region
said	said	said
his	his	his
institution	institut	institution
was	was	wa
receiving	receiv	receiving
more	more	more
enquiries	enquiri	enquiry
from	from	from
Saudi	saudi	Saudi
clients	client	client
about	about	about
cross	cross	cross
-border	-border	-border
financial	financi	financial
transactions	transact	transaction
,	,	,
but	but	but
it	it	it
was	was	wa
handling	handl	handling
the	the	the
enquiries	enquiri	enquiry
with	with	with
extreme	extrem	extreme
caution	caution	caution
as	as	a
there	there	there
could	could	could
be	be	be
further	further	further
action	action	action
by	by	by
regulators	regul	regulator
.	.	.
The	the	The
risk	risk	risk
of	of	of
fund	fund	fund
outflows	outflow	outflow
from	from	from
the	the	the
region	region	region
has	has	ha
helped	help	helped
to	to	to
push	push	push
the	the	the
currencies	currenc	currency
of	of	of
Gulf	gulf	Gulf
Arab	arab	Arab
countries	countri	country
down	down	down
slightly	slight	slightly
against	against	against
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
dollar	dollar	dollar
in	in	in
the	the	the
forwards	forward	forward
market	market	market
this	this	this
week	week	week
.	.	.
The	the	The
Saudi	saudi	Saudi
riyal	riyal	riyal
dropped	drop	dropped
as	as	a
low	low	low
as	as	a
285	285	285
points	point	point
in	in	in
the	the	the
one	one	one
-year	-year	-year
forwards	forward	forward
market	market	market
on	on	on
Thursday	thursday	Thursday
-	-	-
implying	impli	implying
riyal	riyal	riyal
depreciation	depreci	depreciation
of	of	of
about	about	about
0	0	0
.	.	.
8	8	8
percent	percent	percent
against	against	against
the	the	the
dollar	dollar	dollar
in	in	in
the	the	the
next	next	next
12	12	12
months	month	month
-	-	-
from	from	from
around	around	around
115	115	115
points	point	point
before	befor	before
the	the	the
crackdown	crackdown	crackdown
.	.	.
However	howev	However
,	,	,
it	it	it
remains	remain	remains
much	much	much
stronger	stronger	stronger
than	than	than
it	it	it
was	was	wa
last	last	last
year	year	year
,	,	,
when	when	when
it	it	it
hit	hit	hit
levels	level	level
around	around	around
1	1	1
,	,	,
000	000	000
points	point	point
because	becaus	because
of	of	of
worries	worri	worry
about	about	about
Saudi	saudi	Saudi
Arabia	arabia	Arabia
s	s	s
ability	abil	ability
to	to	to
cope	cope	cope
with	with	with
an	an	an
era	era	era
of	of	of
low	low	low
oil	oil	oil
prices	price	price
.	.	.
