LOWELLVILLE	lowellvill	LOWELLVILLE
Youngstown	youngstown	Youngstown
,	,	,
nod	nod	nod
in	in	in
vigorous	vigor	vigorous
agreement	agreement	agreement
.	.	.
Meeting	meet	Meeting
voters	voter	voter
and	and	and
hearing	hear	hearing
their	their	their
daily	daili	daily
concerns	concern	concern
is	is	is
vital	vital	vital
,	,	,
he	he	he
says	say	say
.	.	.
In	in	In
Ohio	ohio	Ohio
,	,	,
as	as	a
in	in	in
other	other	other
politically	polit	politically
competitive	competit	competitive
swing	swing	swing
states	state	state
that	that	that
Democrats	democrat	Democrats
won	won	won
in	in	in
2012	2012	2012
but	but	but
lost	lost	lost
in	in	in
2016	2016	2016
,	,	,
Democrats	democrat	Democrats
are	are	are
struggling	struggl	struggling
to	to	to
come	come	come
up	up	up
with	with	with
a	a	a
clear	clear	clear
message	messag	message
and	and	and
identity	ident	identity
to	to	to
win	win	win
back	back	back
the	the	the
voters	voter	voter
they	they	they
lost	lost	lost
.	.	.
Listening	listen	Listening
to	to	to
voters	voter	voter
is	is	is
the	the	the
key	key	key
to	to	to
moving	move	moving
forward	forward	forward
,	,	,
some	some	some
three	three	three
dozen	dozen	dozen
Democratic	democrat	Democratic
Party	parti	Party
members	member	member
across	across	across
Ohio	ohio	Ohio
said	said	said
in	in	in
interviews	interview	interview
.	.	.
But	but	But
there	there	there
was	was	wa
little	littl	little
consensus	consensus	consensus
on	on	on
how	how	how
to	to	to
win	win	win
over	over	over
those	those	those
voters	voter	voter
.	.	.
Many	mani	Many
of	of	of
those	those	those
interviewed	interview	interviewed
said	said	said
the	the	the
party	parti	party
s	s	s
national	nation	national
leaders	leader	leader
have	have	have
not	not	not
learned	learn	learned
the	the	the
lessons	lesson	lesson
of	of	of
last	last	last
year	year	year
s	s	s
defeat	defeat	defeat
,	,	,
when	when	when
many	mani	many
voters	voter	voter
rejected	reject	rejected
the	the	the
party	parti	party
as	as	a
too	too	too
elitist	elitist	elitist
and	and	and
out	out	out
of	of	of
touch	touch	touch
with	with	with
working	work	working
Americans	american	Americans
.	.	.
David	david	David
Pepper	pepper	Pepper
,	,	,
chairman	chairman	chairman
of	of	of
the	the	the
state	state	state
party	parti	party
,	,	,
dismissed	dismiss	dismissed
that	that	that
criticism	critic	criticism
in	in	in
an	an	an
interview	interview	interview
,	,	,
saying	say	saying
he	he	he
and	and	and
his	his	his
team	team	team
have	have	have
been	been	been
traveling	travel	traveling
around	around	around
Ohio	ohio	Ohio
,	,	,
talking	talk	talking
to	to	to
voters	voter	voter
and	and	and
visiting	visit	visiting
their	their	their
homes	home	home
.	.	.
They	they	They
have	have	have
been	been	been
especially	especi	especially
focused	focus	focused
on	on	on
two	two	two
groups	group	group
the	the	the
people	peopl	people
who	who	who
voted	vote	voted
twice	twice	twice
for	for	for
President	presid	President
Barack	barack	Barack
Obama	obama	Obama
and	and	and
then	then	then
Trump	trump	Trump
,	,	,
and	and	and
Democratic	democrat	Democratic
voters	voter	voter
who	who	who
sat	sat	sat
out	out	out
the	the	the
last	last	last
election	elect	election
.	.	.
Democrats	democrat	Democrats
across	across	across
America	america	America
,	,	,
as	as	a
in	in	in
Ohio	ohio	Ohio
,	,	,
are	are	are
desperate	desper	desperate
to	to	to
win	win	win
again	again	again
as	as	a
they	they	they
look	look	look
ahead	ahead	ahead
to	to	to
next	next	next
year	year	year
s	s	s
congressional	congression	congressional
elections	elect	election
.	.	.
The	the	The
stakes	stake	stake
are	are	are
high	high	high
.	.	.
Without	without	Without
a	a	a
significant	signific	significant
shift	shift	shift
in	in	in
voting	vote	voting
patterns	pattern	pattern
,	,	,
the	the	the
party	parti	party
will	will	will
fail	fail	fail
to	to	to
recapture	recaptur	recapture
the	the	the
House	hous	House
of	of	of
Representatives	repres	Representatives
and	and	and
could	could	could
lose	lose	lose
more	more	more
seats	seat	seat
in	in	in
the	the	the
Senate	senat	Senate
,	,	,
where	where	where
they	they	they
are	are	are
already	alreadi	already
in	in	in
the	the	the
minority	minor	minority
.	.	.
On	on	On
Monday	monday	Monday
,	,	,
the	the	the
national	nation	national
Democratic	democrat	Democratic
Party	parti	Party
unveiled	unveil	unveiled
an	an	an
economic	econom	economic
platform	platform	platform
they	they	they
said	said	said
would	would	would
help	help	help
U	u	U
.	.	.
S	s	S
.	.	.
families	famili	family
.	.	.
Called	call	Called
A	a	A
Better	better	Better
Deal	deal	Deal
,	,	,
it	it	it
was	was	wa
the	the	the
first	first	first
major	major	major
step	step	step
by	by	by
the	the	the
party	parti	party
to	to	to
try	tri	try
to	to	to
reconnect	reconnect	reconnect
with	with	with
voters	voter	voter
since	sinc	since
the	the	the
election	elect	election
.	.	.
The	the	The
plan	plan	plan
called	call	called
for	for	for
creating	creat	creating
10	10	10
million	million	million
jobs	job	job
over	over	over
five	five	five
years	year	year
and	and	and
cracking	crack	cracking
down	down	down
on	on	on
monopolies	monopoli	monopoly
and	and	and
big	big	big
corporate	corpor	corporate
mergers	merger	merger
.	.	.
But	but	But
the	the	the
plan	plan	plan
was	was	wa
missing	miss	missing
a	a	a
vital	vital	vital
piece	piec	piece
,	,	,
said	said	said
Alan	alan	Alan
Melamed	melam	Melamed
,	,	,
a	a	a
longstanding	longstand	longstanding
member	member	member
of	of	of
the	the	the
Ohio	ohio	Ohio
Democratic	democrat	Democratic
Party	parti	Party
s	s	s
executive	execut	executive
committee	committe	committee
and	and	and
a	a	a
political	polit	political
consultant	consult	consultant
who	who	who
has	has	ha
worked	work	worked
on	on	on
dozens	dozen	dozen
of	of	of
campaigns	campaign	campaign
for	for	for
more	more	more
than	than	than
40	40	40
years	year	year
.	.	.
We	we	We
need	need	need
to	to	to
show	show	show
we	we	we
are	are	are
fighting	fight	fighting
for	for	for
people	peopl	people
.	.	.
The	the	The
plan	plan	plan
failed	fail	failed
to	to	to
do	do	do
that	that	that
.	.	.
Since	sinc	Since
Clinton	clinton	Clinton
s	s	s
defeat	defeat	defeat
in	in	in
November	novemb	November
,	,	,
Tom	tom	Tom
Perez	perez	Perez
,	,	,
the	the	the
head	head	head
of	of	of
the	the	the
Democratic	democrat	Democratic
National	nation	National
Committee	committe	Committee
the	the	the
body	bodi	body
which	which	which
runs	run	run
the	the	the
national	nation	national
party	parti	party
has	has	ha
conducted	conduct	conducted
a	a	a
nationwide	nationwid	nationwide
listening	listen	listening
tour	tour	tour
to	to	to
hear	hear	hear
why	whi	why
so	so	so
many	mani	many
traditionally	tradit	traditionally
Democratic	democrat	Democratic
voters	voter	voter
defected	defect	defected
to	to	to
Trump	trump	Trump
last	last	last
year	year	year
.	.	.
Yet	yet	Yet
when	when	when
he	he	he
came	came	came
to	to	to
Ohio	ohio	Ohio
,	,	,
some	some	some
Democrats	democrat	Democrats
said	said	said
,	,	,
he	he	he
didn	didn	didn
t	t	t
do	do	do
much	much	much
listening	listen	listening
just	just	just
a	a	a
lot	lot	lot
of	of	of
talking	talk	talking
.	.	.
In	in	In
June	june	June
,	,	,
the	the	the
listening	listen	listening
tour	tour	tour
came	came	came
to	to	to
Youngstown	youngstown	Youngstown
.	.	.
About	about	About
75	75	75
party	parti	party
stalwarts	stalwart	stalwart
paid	paid	paid
25	25	25
each	each	each
to	to	to
attend	attend	attend
a	a	a
Pizza	pizza	Pizza
with	with	with
Perez	perez	Perez
event	event	event
at	at	at
a	a	a
local	local	local
pizzeria	pizzeria	pizzeria
.	.	.
What	what	What
I	i	I
saw	saw	saw
was	was	wa
a	a	a
typical	typic	typical
campaign	campaign	campaign
event	event	event
,	,	,
with	with	with
the	the	the
audience	audienc	audience
doing	do	doing
the	the	the
listening	listen	listening
while	while	while
Democratic	democrat	Democratic
operatives	oper	operative
touted	tout	touted
their	their	their
positions	posit	position
,	,	,
said	said	said
John	john	John
Russo	russo	Russo
,	,	,
the	the	the
former	former	former
co	co	co
-director	-director	-director
of	of	of
the	the	the
Center	center	Center
for	for	for
Working	work	Working
Class	class	Class
Studies	studi	Studies
at	at	at
Youngstown	youngstown	Youngstown
University	univers	University
and	and	and
a	a	a
political	polit	political
analyst	analyst	analyst
.	.	.
We	we	We
paid	paid	paid
25	25	25
to	to	to
be	be	be
told	told	told
by	by	by
Perez	perez	Perez
what	what	what
he	he	he
thought	thought	thought
we	we	we
were	were	were
thinking	think	thinking
.	.	.
Michael	michael	Michael
Tyler	tyler	Tyler
,	,	,
a	a	a
spokesman	spokesman	spokesman
for	for	for
Perez	perez	Perez
,	,	,
disputed	disput	disputed
that	that	that
account	account	account
,	,	,
saying	say	saying
Perez	perez	Perez
had	had	had
done	done	done
a	a	a
lot	lot	lot
of	of	of
listening	listen	listening
at	at	at
the	the	the
event	event	event
.	.	.
Too	too	Too
many	mani	many
in	in	in
Ohio	ohio	Ohio
and	and	and
elsewhere	elsewher	elsewhere
feel	feel	feel
politically	polit	politically
homeless	homeless	homeless
because	becaus	because
for	for	for
too	too	too
long	long	long
the	the	the
national	nation	national
party	parti	party
focused	focus	focused
solely	sole	solely
on	on	on
electing	elect	electing
the	the	the
president	presid	president
of	of	of
the	the	the
United	unit	United
States	state	States
at	at	at
the	the	the
expense	expens	expense
of	of	of
local	local	local
concerns	concern	concern
,	,	,
Tyler	tyler	Tyler
said	said	said
.	.	.
That	that	That
s	s	s
exactly	exact	exactly
why	whi	why
Ohio	ohio	Ohio
was	was	wa
among	among	among
the	the	the
first	first	first
places	place	place
Tom	tom	Tom
visited	visit	visited
when	when	when
he	he	he
decided	decid	decided
to	to	to
run	run	run
for	for	for
DNC	dnc	DNC
chair	chair	chair
.	.	.
One	one	One
of	of	of
the	the	the
national	nation	national
politicians	politician	politician
unveiling	unveil	unveiling
A	a	A
Better	better	Better
Deal	deal	Deal
in	in	in
the	the	the
town	town	town
of	of	of
Berryville	berryvill	Berryville
,	,	,
Virginia	virginia	Virginia
at	at	at
the	the	the
northern	northern	northern
end	end	end
of	of	of
the	the	the
Shenandoah	shenandoah	Shenandoah
Valley	valley	Valley
,	,	,
was	was	wa
Nancy	nanci	Nancy
Pelosi	pelosi	Pelosi
,	,	,
the	the	the
top	top	top
Democrat	democrat	Democrat
in	in	in
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
House	hous	House
of	of	of
Representatives	repres	Representatives
.	.	.
Mention	mention	Mention
Pelosi	pelosi	Pelosi
to	to	to
Democrats	democrat	Democrats
in	in	in
Ohio	ohio	Ohio
and	and	and
many	mani	many
roll	roll	roll
their	their	their
eyes	eye	eye
.	.	.
A	a	A
California	california	California
liberal	liber	liberal
,	,	,
Pelosi	pelosi	Pelosi
is	is	is
part	part	part
of	of	of
the	the	the
problem	problem	problem
,	,	,
not	not	not
the	the	the
solution	solut	solution
,	,	,
they	they	they
said	said	said
in	in	in
interviews	interview	interview
.	.	.
They	they	They
view	view	view
Pelosi	pelosi	Pelosi
as	as	a
part	part	part
of	of	of
a	a	a
coastal	coastal	coastal
elite	elit	elite
that	that	that
does	doe	doe
not	not	not
understand	understand	understand
the	the	the
struggles	struggl	struggle
of	of	of
Americans	american	Americans
in	in	in
the	the	the
Midwest	midwest	Midwest
.	.	.
Christopher	christoph	Christopher
Celeste	celest	Celeste
,	,	,
the	the	the
son	son	son
of	of	of
former	former	former
Ohio	ohio	Ohio
governor	governor	governor
Dick	dick	Dick
Celeste	celest	Celeste
and	and	and
a	a	a
major	major	major
Democratic	democrat	Democratic
Party	parti	Party
donor	donor	donor
at	at	at
both	both	both
the	the	the
state	state	state
and	and	and
national	nation	national
level	level	level
,	,	,
said	said	said
the	the	the
retention	retent	retention
of	of	of
Pelosi	pelosi	Pelosi
as	as	a
a	a	a
party	parti	party
leader	leader	leader
earlier	earlier	earlier
this	this	this
year	year	year
was	was	wa
mindboggling	mindboggl	mindboggling
.	.	.
Drew	drew	Drew
Hammill	hammil	Hammill
,	,	,
a	a	a
spokesman	spokesman	spokesman
for	for	for
Pelosi	pelosi	Pelosi
,	,	,
said	said	said
the	the	the
Democratic	democrat	Democratic
leader	leader	leader
has	has	ha
raised	rais	raised
almost	almost	almost
570	570	570
million	million	million
for	for	for
Democrats	democrat	Democrats
since	sinc	since
becoming	becom	becoming
part	part	part
of	of	of
the	the	the
party	parti	party
leadership	leadership	leadership
in	in	in
2002	2002	2002
,	,	,
and	and	and
was	was	wa
a	a	a
master	master	master
legislator	legisl	legislator
and	and	and
strategist	strategist	strategist
.	.	.
While	while	While
some	some	some
may	may	may
find	find	find
it	it	it
politically	polit	politically
advantageous	advantag	advantageous
to	to	to
engage	engag	engage
in	in	in
a	a	a
circular	circular	circular
firing	fire	firing
squad	squad	squad
,	,	,
Leader	leader	Leader
Pelosi	pelosi	Pelosi
isn	isn	isn
t	t	t
in	in	in
Congress	congress	Congress
on	on	on
a	a	a
shift	shift	shift
.	.	.
She	she	She
s	s	s
on	on	on
a	a	a
mission	mission	mission
to	to	to
protect	protect	protect
the	the	the
Affordable	afford	Affordable
Care	care	Care
Act	act	Act
,	,	,
said	said	said
Hammill	hammil	Hammill
,	,	,
referring	refer	referring
to	to	to
Obama	obama	Obama
s	s	s
healthcare	healthcar	healthcare
reform	reform	reform
law	law	law
which	which	which
Trump	trump	Trump
wants	want	want
to	to	to
repeal	repeal	repeal
.	.	.
Joyce	joyc	Joyce
Beatty	beatti	Beatty
,	,	,
a	a	a
congresswoman	congresswoman	congresswoman
from	from	from
central	central	central
Ohio	ohio	Ohio
,	,	,
also	also	also
defended	defend	defended
Pelosi	pelosi	Pelosi
.	.	.
To	to	To
just	just	just
blame	blame	blame
Nancy	nanci	Nancy
Pelosi	pelosi	Pelosi
is	is	is
not	not	not
only	onli	only
wrong	wrong	wrong
,	,	,
but	but	but
it	it	it
s	s	s
wrong	wrong	wrong
for	for	for
Democrats	democrat	Democrats
to	to	to
do	do	do
it	it	it
.	.	.
If	if	If
there	there	there
has	has	ha
been	been	been
a	a	a
failure	failur	failure
we	we	we
all	all	all
need	need	need
to	to	to
own	own	own
it	it	it
.	.	.
Angered	anger	Angered
by	by	by
last	last	last
year	year	year
s	s	s
defeats	defeat	defeat
up	up	up
and	and	and
down	down	down
the	the	the
ballot	ballot	ballot
in	in	in
Ohio	ohio	Ohio
,	,	,
a	a	a
group	group	group
of	of	of
political	polit	political
consultants	consult	consultant
circulated	circul	circulated
a	a	a
memo	memo	memo
to	to	to
every	everi	every
member	member	member
of	of	of
the	the	the
state	state	state
party	parti	party
s	s	s
executive	execut	executive
committee	committe	committee
in	in	in
December	decemb	December
.	.	.
The	the	The
memo	memo	memo
,	,	,
which	which	which
has	has	ha
not	not	not
been	been	been
previously	previous	previously
reported	report	reported
,	,	,
lambastes	lambast	lambastes
the	the	the
party	parti	party
leadership	leadership	leadership
for	for	for
the	the	the
electoral	elector	electoral
carnage	carnag	carnage
of	of	of
2016	2016	2016
.	.	.
Read	read	Read
the	the	the
memo	memo	memo
here	here	here
tmsnrt	tmsnrt	tmsnrt
.	.	.
rs	rs	r
2h2sTgT	2h2stgt	2h2sTgT
Clinton	clinton	Clinton
lost	lost	lost
Ohio	ohio	Ohio
,	,	,
a	a	a
key	key	key
battleground	battleground	battleground
,	,	,
by	by	by
over	over	over
eight	eight	eight
points	point	point
.	.	.
Only	onli	Only
one	one	one
Democratic	democrat	Democratic
presidential	presidenti	presidential
candidate	candid	candidate
in	in	in
the	the	the
past	past	past
40	40	40
years	year	year
Walter	walter	Walter
Mondale	mondal	Mondale
in	in	in
1984	1984	1984
won	won	won
fewer	fewer	fewer
counties	counti	county
in	in	in
Ohio	ohio	Ohio
than	than	than
Clinton	clinton	Clinton
.	.	.
Ohio	ohio	Ohio
Democrats	democrat	Democrats
also	also	also
lost	lost	lost
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
Senate	senat	Senate
race	race	race
,	,	,
both	both	both
Democratic	democrat	Democratic
nominees	nomine	nominee
for	for	for
the	the	the
Ohio	ohio	Ohio
Supreme	suprem	Supreme
Court	court	Court
were	were	were
defeated	defeat	defeated
,	,	,
and	and	and
state	state	state
races	race	race
were	were	were
lost	lost	lost
.	.	.
Ohio	ohio	Ohio
s	s	s
Democratic	democrat	Democratic
congressional	congression	congressional
delegation	deleg	delegation
in	in	in
Washington	washington	Washington
is	is	is
at	at	at
its	it	it
lowest	lowest	lowest
in	in	in
decades	decad	decade
and	and	and
Republicans	republican	Republicans
control	control	control
the	the	the
governor	governor	governor
s	s	s
mansion	mansion	mansion
and	and	and
both	both	both
the	the	the
state	state	state
House	hous	House
and	and	and
Senate	senat	Senate
.	.	.
The	the	The
status	status	status
quo	quo	quo
cannot	cannot	cannot
stand	stand	stand
,	,	,
the	the	the
memo	memo	memo
says	say	say
.	.	.
It	it	It
calls	call	call
for	for	for
new	new	new
messages	messag	message
and	and	and
more	more	more
effective	effect	effective
strategies	strategi	strategy
for	for	for
delivering	deliv	delivering
them	them	them
.	.	.
The	the	The
memo	memo	memo
does	doe	doe
not	not	not
make	make	make
clear	clear	clear
what	what	what
those	those	those
messages	messag	message
should	should	should
be	be	be
.	.	.
A	a	A
source	sourc	source
close	close	close
to	to	to
the	the	the
state	state	state
party	parti	party
leadership	leadership	leadership
dismissed	dismiss	dismissed
the	the	the
memo	memo	memo
as	as	a
sniping	snipe	sniping
by	by	by
disgruntled	disgruntl	disgruntled
consultants	consult	consultant
.	.	.
Pepper	pepper	Pepper
,	,	,
the	the	the
Ohio	ohio	Ohio
party	parti	party
leader	leader	leader
,	,	,
does	doe	doe
not	not	not
want	want	want
to	to	to
relitigate	relitig	relitigate
the	the	the
past	past	past
.	.	.
We	we	We
need	need	need
to	to	to
go	go	go
and	and	and
talk	talk	talk
to	to	to
voters	voter	voter
and	and	and
win	win	win
them	them	them
back	back	back
,	,	,
he	he	he
said	said	said
.	.	.
