Note	note	Note
they	they	they
were	were	were
high	high	high
jinks	jink	jinks
.	.	.
The	the	The
report	report	report
came	came	came
after	after	after
another	anoth	another
British	british	British
newspaper	newspap	newspaper
,	,	,
the	the	the
Sun	sun	Sun
,	,	,
on	on	on
Friday	friday	Friday
described	describ	described
a	a	a
culture	cultur	culture
of	of	of
sexual	sexual	sexual
harassment	harass	harassment
among	among	among
lawmakers	lawmak	lawmaker
and	and	and
their	their	their
staff	staff	staff
working	work	working
in	in	in
parliament	parliament	parliament
.	.	.
Garnier	garnier	Garnier
was	was	wa
not	not	not
immediately	immedi	immediately
available	avail	available
for	for	for
comment	comment	comment
to	to	to
Reuters	reuter	Reuters
through	through	through
his	his	his
constituency	constitu	constituency
or	or	or
parliamentary	parliamentari	parliamentary
offices	offic	office
.	.	.
May	may	May
s	s	s
spokeswoman	spokeswoman	spokeswoman
said	said	said
on	on	on
Friday	friday	Friday
after	after	after
the	the	the
Sun	sun	Sun
s	s	s
report	report	report
that	that	that
any	ani	any
unwanted	unwant	unwanted
sexual	sexual	sexual
behavior	behavior	behavior
was	was	wa
completely	complet	completely
unacceptable	unaccept	unacceptable
and	and	and
any	ani	any
minister	minist	minister
who	who	who
acted	act	acted
inappropriately	inappropri	inappropriately
would	would	would
face	face	face
serious	serious	serious
action	action	action
.	.	.
Health	health	Health
Minister	minist	Minister
Jeremy	jeremi	Jeremy
Hunt	hunt	Hunt
said	said	said
on	on	on
Sunday	sunday	Sunday
May	may	May
had	had	had
asked	ask	asked
officials	offici	official
to	to	to
investigate	investig	investigate
if	if	if
Garnier	garnier	Garnier
,	,	,
whose	whose	whose
role	role	role
is	is	is
outside	outsid	outside
the	the	the
cabinet	cabinet	cabinet
immediately	immedi	immediately
surrounding	surround	surrounding
May	may	May
,	,	,
had	had	had
broken	broken	broken
the	the	the
government	govern	government
ministers	minist	minister
code	code	code
of	of	of
behavior	behavior	behavior
.	.	.
These	these	These
stories	stori	story
,	,	,
if	if	if
they	they	they
are	are	are
true	true	true
,	,	,
are	are	are
obviously	obvious	obviously
totally	total	totally
unacceptable	unaccept	unacceptable
,	,	,
Hunt	hunt	Hunt
told	told	told
BBC	bbc	BBC
television	televis	television
.	.	.
The	the	The
Cabinet	cabinet	Cabinet
Office	offic	Office
will	will	will
be	be	be
conducting	conduct	conducting
an	an	an
investigation	investig	investigation
as	as	a
to	to	to
whether	whether	whether
there	there	there
has	has	ha
been	been	been
a	a	a
breach	breach	breach
of	of	of
the	the	the
ministerial	ministeri	ministerial
code	code	code
in	in	in
this	this	this
particular	particular	particular
case	case	case
,	,	,
but	but	but
as	as	a
you	you	you
know	know	know
the	the	the
facts	fact	fact
are	are	are
disputed	disput	disputed
.	.	.
May	may	May
,	,	,
in	in	in
a	a	a
letter	letter	letter
released	releas	released
to	to	to
media	media	medium
,	,	,
also	also	also
asked	ask	asked
John	john	John
Bercow	bercow	Bercow
,	,	,
the	the	the
speaker	speaker	speaker
of	of	of
the	the	the
lower	lower	lower
house	hous	house
of	of	of
parliament	parliament	parliament
,	,	,
the	the	the
House	hous	House
of	of	of
Commons	common	Commons
,	,	,
on	on	on
Sunday	sunday	Sunday
for	for	for
his	his	his
advice	advic	advice
about	about	about
changing	chang	changing
the	the	the
culture	cultur	culture
there	there	there
.	.	.
I	i	I
believe	believ	believe
it	it	it
is	is	is
important	import	important
that	that	that
those	those	those
who	who	who
work	work	work
in	in	in
the	the	the
House	hous	House
of	of	of
Commons	common	Commons
are	are	are
treated	treat	treated
properly	proper	properly
and	and	and
fairly	fair	fairly
,	,	,
as	as	a
would	would	would
be	be	be
expected	expect	expected
in	in	in
any	ani	any
modern	modern	modern
workplace	workplac	workplace
,	,	,
May	may	May
said	said	said
in	in	in
the	the	the
letter	letter	letter
.	.	.
She	she	She
said	said	said
measures	measur	measure
such	such	such
as	as	a
a	a	a
disciplinary	disciplinari	disciplinary
procedure	procedur	procedure
suggested	suggest	suggested
by	by	by
the	the	the
Independent	independ	Independent
Parliamentary	parliamentari	Parliamentary
Standards	standard	Standards
Authority	author	Authority
and	and	and
a	a	a
voluntary	voluntari	voluntary
code	code	code
of	of	of
conduct	conduct	conduct
offered	offer	offered
by	by	by
the	the	the
Conservative	conserv	Conservative
Party	parti	Party
to	to	to
its	it	it
lawmakers	lawmak	lawmaker
did	did	did
not	not	not
go	go	go
far	far	far
enough	enough	enough
.	.	.
I	i	I
believe	believ	believe
that	that	that
we	we	we
must	must	must
establish	establish	establish
a	a	a
House	hous	House
-wide	-wide	-wide
mediation	mediat	mediation
service	servic	service
complemented	complement	complemented
by	by	by
a	a	a
contractually	contractu	contractually
binding	bind	binding
grievance	grievanc	grievance
procedure	procedur	procedure
available	avail	available
for	for	for
all	all	all
MPs	mps	MPs
lawmakers	lawmak	lawmaker
irrespective	irrespect	irrespective
of	of	of
their	their	their
party	parti	party
banner	banner	banner
,	,	,
she	she	she
said	said	said
in	in	in
the	the	the
letter	letter	letter
.	.	.
It	it	It
is	is	is
vital	vital	vital
that	that	that
staff	staff	staff
and	and	and
the	the	the
public	public	public
have	have	have
confidence	confid	confidence
in	in	in
parliament	parliament	parliament
,	,	,
and	and	and
resolving	resolv	resolving
this	this	this
employment	employ	employment
irregularity	irregular	irregularity
on	on	on
a	a	a
cross	cross	cross
-party	-parti	-party
basis	basi	basis
can	can	can
play	play	play
an	an	an
important	import	important
role	role	role
in	in	in
this	this	this
.	.	.
Reports	report	Reports
of	of	of
inappropriate	inappropri	inappropriate
behavior	behavior	behavior
in	in	in
British	british	British
politics	polit	politics
,	,	,
and	and	and
in	in	in
other	other	other
industries	industri	industry
,	,	,
came	came	came
in	in	in
the	the	the
wake	wake	wake
of	of	of
dozens	dozen	dozen
of	of	of
allegations	alleg	allegation
against	against	against
Hollywood	hollywood	Hollywood
producer	produc	producer
Harvey	harvey	Harvey
Weinstein	weinstein	Weinstein
.	.	.
Weinstein	weinstein	Weinstein
has	has	ha
denied	deni	denied
having	have	having
non	non	non
-consensual	-consensu	-consensual
sex	sex	sex
with	with	with
anyone	anyon	anyone
.	.	.
Britain	britain	Britain
s	s	s
environment	environ	environment
minister	minist	minister
Michael	michael	Michael
Gove	gove	Gove
apologized	apolog	apologized
on	on	on
Saturday	saturday	Saturday
after	after	after
he	he	he
likened	liken	likened
being	be	being
interviewed	interview	interviewed
by	by	by
a	a	a
BBC	bbc	BBC
radio	radio	radio
presenter	present	presenter
to	to	to
entering	enter	entering
Weinstein	weinstein	Weinstein
s	s	s
bedroom	bedroom	bedroom
.	.	.
After	after	After
the	the	the
analogy	analog	analogy
was	was	wa
widely	wide	widely
criticized	critic	criticized
,	,	,
Gove	gove	Gove
,	,	,
a	a	a
cabinet	cabinet	cabinet
minister	minist	minister
,	,	,
apologized	apolog	apologized
for	for	for
what	what	what
he	he	he
said	said	said
was	was	wa
a	a	a
clumsy	clumsi	clumsy
attempt	attempt	attempt
at	at	at
humor	humor	humor
.	.	.
The	the	The
Sun	sun	Sun
newspaper	newspap	newspaper
said	said	said
on	on	on
Friday	friday	Friday
that	that	that
women	women	woman
working	work	working
in	in	in
politics	polit	politics
in	in	in
Westminster	westminst	Westminster
had	had	had
created	creat	created
a	a	a
WhatsApp	whatsapp	WhatsApp
instant	instant	instant
messaging	messag	messaging
group	group	group
to	to	to
discuss	discuss	discus
their	their	their
experiences	experi	experience
of	of	of
harassment	harass	harassment
and	and	and
warn	warn	warn
others	other	others
about	about	about
potential	potenti	potential
perpetrators	perpetr	perpetrator
.	.	.
The	the	The
prime	prime	prime
minister	minist	minister
was	was	wa
very	veri	very
clear	clear	clear
when	when	when
we	we	we
responded	respond	responded
to	to	to
the	the	the
reports	report	report
about	about	about
Harvey	harvey	Harvey
Weinstein	weinstein	Weinstein
in	in	in
the	the	the
last	last	last
few	few	few
weeks	week	week
that	that	that
any	ani	any
unwanted	unwant	unwanted
sexual	sexual	sexual
behavior	behavior	behavior
is	is	is
completely	complet	completely
unacceptable	unaccept	unacceptable
,	,	,
and	and	and
that	that	that
is	is	is
true	true	true
in	in	in
any	ani	any
walk	walk	walk
of	of	of
life	life	life
including	includ	including
politics	polit	politics
,	,	,
May	may	May
s	s	s
spokeswoman	spokeswoman	spokeswoman
said	said	said
on	on	on
Friday	friday	Friday
.	.	.
